op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.005, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004, 0.005, 0.008, 0.008, 0.008, 0.008, 0.008, 0.003, 0.002, 0.002, 0.002, 0.002
46, 0.030, 0.031, 0.031, 0.030, 0.030, 0.010, 0.010, 0.009, 0.008, 0.008, 0.023, 0.022, 0.023, 0.022, 0.022, 0.014, 0.013, 0.014, 0.014, 0.013, 0.034, 0.034, 0.034, 0.034, 0.034, 0.004, 0.003, 0.003, 0.003, 0.003
166, 0.130, 0.129, 0.128, 0.129, 0.129, 0.035, 0.033, 0.032, 0.031, 0.030, 0.088, 0.088, 0.088, 0.088, 0.088, 0.047, 0.048, 0.045, 0.048, 0.050, 0.135, 0.135, 0.135, 0.135, 0.135, 0.009, 0.008, 0.007, 0.007, 0.007
599, 0.551, 0.541, 0.541, 0.540, 0.541, 0.153, 0.140, 0.147, 0.121, 0.144, 0.346, 0.347, 0.345, 0.345, 0.344, 0.173, 0.182, 0.171, 0.179, 0.185, 0.500, 0.499, 0.504, 0.499, 0.503, 0.025, 0.025, 0.024, 0.024, 0.023
2154, 2.506, 2.241, 2.253, 2.223, 2.229, 0.583, 0.535, 0.558, 0.561, 0.567, 18.197, 1.415, 1.345, 1.336, 1.334, 0.710, 0.667, 0.664, 0.675, 0.671, 2.123, 1.868, 1.849, 1.853, 1.849, 0.104, 0.101, 0.103, 0.102, 0.100
7742, 9.298, 42.880, 9.144, 9.046, 9.125, 2.559, 2.399, 2.332, 2.255, 2.375, 5.181, 5.226, 88.672, 5.185, 5.185, 2.596, 2.559, 2.590, 2.672, 2.568, 53.589, 6.689, 6.681, 6.696, 6.684, 0.331, 0.327, 0.305, 0.325, 0.314
27825, 150.066, 115.159, 130.259, 176.961, 200.084, 166.303, 9.631, 9.471, 9.850, 9.891, 20.228, 20.296, 20.377, 20.305, 20.225, 166.343, 166.108, 181.804, 10.259, 135.604, 24.733, 133.757, 102.459, 104.985, 24.688, 1.452, 85.673, 1.263, 1.223, 1.218
100000, 492.688, 630.248, 590.498, 628.727, 629.689, 178.183, 213.890, 201.381, 182.415, 195.170, 352.109, 338.533, 342.458, 322.885, 321.324, 37.031, 37.360, 133.363, 134.574, 152.119, 340.284, 276.356, 271.066, 246.243, 236.900, 8.420, 80.225, 6.939, 68.306, 5.333
