op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.020, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002, 0.002, 0.005, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.002, 0.002, 0.002, 0.003, 0.002, 0.001, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.003, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.006, 0.006, 0.006, 0.006, 0.003, 0.002, 0.002, 0.002, 0.002, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.002, 0.003, 0.003, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.001, 0.001, 0.001, 0.001
17, 0.009, 0.009, 0.009, 0.009, 0.009, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.005, 0.005, 0.007, 0.005, 0.009, 0.009, 0.009, 0.009, 0.009, 0.002, 0.002, 0.001, 0.001, 0.001
25, 0.014, 0.014, 0.014, 0.014, 0.014, 0.004, 0.004, 0.004, 0.004, 0.004, 0.011, 0.011, 0.011, 0.011, 0.011, 0.006, 0.007, 0.006, 0.006, 0.006, 0.016, 0.015, 0.016, 0.016, 0.016, 0.003, 0.002, 0.002, 0.002, 0.002
38, 0.022, 0.022, 0.022, 0.022, 0.023, 0.008, 0.006, 0.006, 0.006, 0.006, 0.017, 0.017, 0.017, 0.017, 0.017, 0.011, 0.010, 0.010, 0.010, 0.012, 0.025, 0.025, 0.025, 0.025, 0.025, 0.003, 0.002, 0.002, 0.002, 0.002
58, 0.036, 0.036, 0.036, 0.036, 0.036, 0.010, 0.008, 0.009, 0.009, 0.009, 0.026, 0.026, 0.026, 0.026, 0.026, 0.016, 0.016, 0.015, 0.013, 0.014, 0.040, 0.040, 0.039, 0.039, 0.039, 0.004, 0.003, 0.003, 0.003, 0.003
87, 0.057, 0.057, 0.057, 0.057, 0.057, 0.014, 0.013, 0.014, 0.014, 0.014, 0.040, 0.040, 0.040, 0.040, 0.040, 0.024, 0.024, 0.024, 0.024, 0.021, 0.061, 0.061, 0.060, 0.060, 0.060, 0.005, 0.004, 0.004, 0.004, 0.003
131, 0.091, 0.092, 0.091, 0.091, 0.091, 0.021, 0.028, 0.025, 0.022, 0.023, 0.063, 0.063, 0.062, 0.063, 0.062, 0.034, 0.038, 0.031, 0.033, 0.038, 0.098, 0.097, 0.097, 0.097, 0.097, 0.007, 0.006, 0.006, 0.005, 0.005
196, 0.144, 0.144, 0.144, 0.144, 0.144, 0.037, 0.033, 0.035, 0.032, 0.035, 0.097, 0.096, 0.096, 0.096, 0.096, 0.054, 0.053, 0.052, 0.055, 0.055, 0.149, 0.150, 0.148, 0.149, 0.149, 0.009, 0.009, 0.009, 0.008, 0.022
295, 0.300, 0.300, 0.229, 0.229, 0.228, 0.061, 0.060, 0.067, 0.062, 0.051, 0.150, 0.149, 0.149, 0.149, 0.149, 0.083, 0.079, 0.075, 0.076, 0.082, 0.220, 0.225, 0.219, 0.219, 0.220, 0.013, 0.012, 0.012, 0.011, 0.011
