op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.008, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004, 0.008, 0.007, 0.007, 0.007, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.031, 0.032, 0.032, 0.031, 0.033, 0.009, 0.009, 0.008, 0.008, 0.008, 0.023, 0.023, 0.024, 0.024, 0.023, 0.013, 0.016, 0.014, 0.013, 0.014, 0.026, 0.025, 0.026, 0.027, 0.026, 0.005, 0.004, 0.004, 0.004, 0.004
166, 0.144, 0.140, 0.141, 0.141, 0.141, 0.035, 0.033, 0.031, 0.033, 0.033, 0.089, 0.090, 0.088, 0.089, 0.089, 0.050, 0.048, 0.046, 0.048, 0.045, 0.098, 0.094, 0.100, 0.100, 0.100, 0.011, 0.010, 0.010, 0.009, 0.009
599, 0.594, 0.589, 0.591, 0.590, 0.591, 0.181, 0.137, 0.137, 0.138, 0.139, 0.339, 0.340, 0.335, 0.334, 0.336, 0.178, 0.175, 0.180, 0.178, 0.172, 0.368, 0.363, 0.380, 0.356, 0.366, 0.035, 0.033, 0.034, 0.034, 0.034
2154, 2.431, 2.488, 2.438, 2.431, 2.440, 0.544, 0.543, 0.521, 0.512, 0.630, 1.269, 1.275, 1.265, 1.277, 1.283, 0.701, 0.662, 0.698, 0.694, 0.684, 1.342, 1.331, 1.312, 31.829, 1.335, 0.125, 0.124, 0.126, 0.125, 0.122
7742, 10.084, 41.507, 9.919, 10.018, 44.218, 2.237, 2.132, 2.261, 2.264, 2.404, 4.811, 4.825, 83.079, 4.860, 4.843, 2.898, 2.846, 2.562, 2.511, 2.626, 4.783, 4.807, 4.811, 4.821, 4.897, 0.584, 0.470, 0.458, 0.457, 0.460
27825, 40.675, 213.040, 40.658, 258.643, 177.456, 10.486, 129.050, 151.358, 9.539, 9.946, 18.409, 18.717, 18.875, 18.693, 136.383, 105.273, 120.789, 10.675, 10.987, 10.490, 17.831, 17.519, 18.167, 18.143, 18.736, 1.705, 1.605, 128.590, 1.619, 1.593
100000, 757.930, 587.632, 787.573, 790.318, 722.112, 187.268, 230.143, 156.543, 133.798, 104.430, 275.726, 165.904, 181.636, 167.311, 165.790, 108.908, 79.683, 95.251, 94.253, 94.338, 84.080, 83.863, 84.047, 164.188, 114.569, 9.508, 9.175, 8.445, 9.054, 9.100
