op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.008, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.006, 0.006, 0.007, 0.005, 0.006, 0.004, 0.004, 0.004, 0.004, 0.005, 0.006, 0.007, 0.007, 0.006, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.032, 0.032, 0.031, 0.032, 0.032, 0.008, 0.008, 0.009, 0.009, 0.008, 0.023, 0.022, 0.023, 0.023, 0.024, 0.016, 0.013, 0.014, 0.014, 0.017, 0.025, 0.025, 0.027, 0.025, 0.025, 0.004, 0.004, 0.004, 0.003, 0.004
166, 0.139, 0.140, 0.139, 0.162, 0.139, 0.037, 0.033, 0.033, 0.032, 0.030, 0.090, 0.087, 0.086, 0.089, 0.086, 0.049, 0.055, 0.055, 0.048, 0.053, 0.095, 0.098, 0.096, 0.097, 0.094, 0.011, 0.010, 0.009, 0.009, 0.009
599, 0.602, 0.599, 0.612, 0.599, 0.683, 0.146, 0.130, 0.142, 0.145, 22.085, 0.331, 0.338, 0.333, 0.331, 0.342, 0.185, 0.170, 0.193, 0.186, 0.191, 0.361, 0.356, 0.353, 0.356, 0.382, 0.035, 0.034, 0.033, 0.033, 0.033
2154, 2.498, 2.604, 2.536, 2.477, 2.506, 0.565, 0.599, 0.591, 0.663, 0.651, 1.496, 1.260, 1.276, 1.275, 1.266, 0.663, 0.679, 0.722, 0.682, 0.669, 1.304, 1.385, 1.339, 2.010, 1.397, 0.112, 0.115, 0.114, 0.112, 0.124
7742, 10.697, 25.480, 17.967, 10.444, 10.404, 2.147, 2.175, 2.348, 2.350, 2.574, 5.813, 4.979, 4.984, 5.106, 5.058, 3.087, 2.735, 2.557, 2.543, 3.076, 4.784, 4.824, 5.604, 8.785, 5.059, 0.467, 0.456, 0.459, 0.489, 0.483
27825, 79.916, 83.356, 74.001, 49.571, 68.983, 13.979, 10.207, 9.694, 9.850, 9.919, 19.392, 28.085, 18.980, 19.396, 19.096, 12.516, 11.229, 11.022, 11.259, 10.632, 17.536, 17.546, 17.454, 17.156, 17.922, 1.812, 1.787, 1.778, 1.673, 1.659
100000, 169.553, 168.587, 167.444, 167.196, 170.888, 44.163, 44.718, 80.447, 47.150, 46.549, 78.773, 78.402, 78.061, 79.522, 170.022, 49.668, 52.381, 50.993, 47.837, 44.560, 64.936, 66.118, 65.662, 65.023, 65.708, 8.005, 7.344, 7.261, 7.390, 7.112
