op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.001, 0.001, 0.001, 0.001, 0.001, 32.936, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.008, 0.008, 0.008, 0.008, 0.008, 0.005, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.007, 0.006, 0.006, 0.005, 0.006, 0.011, 0.004, 0.004, 0.004, 0.004, 0.003, 0.002, 0.002, 0.002, 0.002
46, 0.040, 0.040, 0.040, 0.040, 0.040, 0.018, 0.018, 0.019, 0.019, 0.019, 0.023, 0.023, 0.024, 0.022, 0.022, 0.038, 0.025, 0.026, 0.026, 0.022, 0.019, 0.013, 0.013, 0.013, 0.013, 0.006, 0.005, 0.004, 0.003, 0.003
166, 0.212, 0.209, 0.186, 0.182, 0.183, 0.074, 0.073, 0.078, 0.074, 0.085, 0.143, 0.098, 0.098, 0.098, 0.097, 0.139, 0.096, 0.098, 0.112, 0.102, 0.056, 0.043, 0.043, 0.043, 0.043, 0.025, 0.014, 0.012, 0.010, 0.009
599, 0.837, 0.806, 0.820, 0.806, 0.811, 0.322, 0.302, 0.324, 0.337, 0.307, 0.421, 0.442, 0.418, 0.419, 0.419, 0.538, 0.438, 0.435, 0.436, 0.442, 0.183, 0.153, 0.153, 0.153, 0.154, 0.056, 0.051, 0.050, 0.048, 0.046
2154, 3.698, 3.470, 3.478, 3.461, 5.510, 1.367, 1.409, 1.303, 1.342, 1.509, 1.749, 1.748, 1.781, 1.784, 1.787, 2.576, 1.942, 1.738, 1.902, 1.793, 0.676, 1.700, 0.555, 0.550, 0.554, 0.199, 0.188, 0.191, 0.189, 0.191
7742, 16.035, 14.635, 14.898, 15.364, 15.046, 5.373, 5.548, 7.325, 6.156, 6.020, 7.527, 7.240, 17.503, 7.320, 13.276, 10.207, 28.790, 7.838, 8.229, 18.516, 2.517, 1.972, 1.982, 1.993, 2.133, 0.749, 0.710, 0.728, 0.751, 0.792
27825, 67.767, 66.492, 73.096, 71.104, 87.367, 30.003, 28.141, 32.673, 47.477, 56.983, 37.330, 35.659, 30.853, 31.028, 48.162, 50.546, 35.118, 36.542, 39.160, 38.466, 27.299, 7.448, 7.306, 7.503, 18.166, 2.833, 2.832, 2.746, 2.936, 2.995
100000, 300.726, 244.224, 243.153, 243.986, 244.718, 94.856, 92.402, 93.010, 96.524, 92.895, 122.506, 121.801, 120.980, 120.416, 121.575, 145.067, 120.218, 128.546, 127.824, 131.522, 50.850, 25.782, 25.892, 26.019, 25.802, 12.840, 13.513, 15.489, 18.824, 39.933
