op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.006, 0.006, 0.006, 0.006, 0.006, 0.004, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.032, 0.032, 0.033, 0.032, 0.032, 0.008, 0.009, 0.009, 0.007, 0.009, 0.024, 0.024, 0.024, 0.024, 0.024, 0.013, 0.016, 0.016, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.004, 0.003, 0.003, 0.003, 0.003
166, 0.137, 0.136, 0.135, 0.136, 0.135, 0.040, 0.039, 0.033, 0.029, 0.035, 0.094, 0.106, 0.096, 0.094, 0.094, 0.048, 0.048, 0.052, 0.051, 0.051, 0.045, 0.045, 0.045, 0.046, 0.045, 0.008, 0.007, 0.007, 0.006, 0.006
599, 0.567, 0.565, 0.568, 0.570, 0.567, 0.155, 0.146, 0.132, 0.142, 0.147, 0.364, 0.489, 0.363, 0.365, 0.363, 0.576, 0.196, 0.194, 0.196, 0.198, 0.160, 0.159, 0.159, 0.159, 0.161, 0.032, 0.031, 0.030, 0.031, 0.031
2154, 2.329, 3.698, 2.319, 2.364, 2.384, 0.576, 0.477, 0.567, 0.563, 0.652, 1.398, 1.423, 1.397, 1.397, 2.299, 0.731, 0.698, 0.689, 0.702, 0.681, 0.570, 0.572, 0.569, 0.567, 0.568, 0.107, 0.106, 0.107, 0.105, 0.108
7742, 9.457, 9.431, 46.872, 9.428, 9.645, 2.710, 2.535, 2.807, 2.520, 2.202, 5.439, 5.568, 5.411, 5.391, 5.368, 2.705, 2.680, 2.608, 2.659, 2.665, 2.166, 2.039, 70.861, 2.043, 2.042, 0.378, 0.376, 0.373, 0.380, 0.389
27825, 103.026, 37.840, 37.847, 147.172, 178.448, 181.186, 9.056, 10.231, 11.333, 11.228, 20.746, 21.001, 165.147, 166.193, 161.343, 10.362, 10.354, 10.557, 10.611, 166.922, 7.618, 7.450, 179.282, 7.419, 7.380, 1.601, 1.885, 1.840, 1.466, 1.577
100000, 704.769, 764.936, 622.081, 647.137, 651.343, 33.910, 38.762, 211.936, 185.060, 187.656, 348.208, 407.431, 355.861, 347.930, 309.951, 40.704, 148.372, 155.123, 148.790, 132.648, 26.733, 120.636, 120.728, 105.168, 104.750, 7.758, 6.310, 6.691, 6.466, 7.322
