op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.004, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.002, 0.002, 0.002, 0.001, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.003, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.002, 0.003, 0.002, 0.002, 0.005, 0.005, 0.005, 0.005, 0.005, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.004, 0.004, 0.004, 0.002, 0.001, 0.001, 0.001, 0.001
17, 0.010, 0.010, 0.010, 0.010, 0.010, 0.003, 0.003, 0.003, 0.004, 0.003, 0.008, 0.008, 0.008, 0.008, 0.008, 0.006, 0.005, 0.005, 0.005, 0.004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.002, 0.002, 0.001, 0.001, 0.001
25, 0.015, 0.015, 0.015, 0.015, 0.015, 0.004, 0.005, 0.005, 0.005, 0.004, 0.011, 0.011, 0.011, 0.011, 0.011, 0.009, 0.007, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.002, 0.002, 0.002, 0.002, 0.002
38, 0.024, 0.024, 0.024, 0.024, 0.024, 0.007, 0.007, 0.006, 0.007, 0.007, 0.018, 0.018, 0.018, 0.018, 0.018, 0.010, 0.010, 0.011, 0.010, 0.009, 0.010, 0.010, 0.010, 0.010, 0.010, 0.003, 0.002, 0.002, 0.002, 0.002
58, 0.038, 0.038, 0.038, 0.038, 0.038, 0.010, 0.010, 0.011, 0.010, 0.010, 0.028, 0.028, 0.028, 0.028, 0.028, 0.015, 0.017, 0.017, 0.016, 0.017, 0.015, 0.015, 0.015, 0.015, 0.015, 0.004, 0.003, 0.003, 0.003, 0.003
87, 0.061, 0.061, 0.061, 0.061, 0.061, 0.016, 0.016, 0.017, 0.017, 0.016, 0.044, 0.044, 0.043, 0.043, 0.043, 0.023, 0.023, 0.030, 0.026, 0.025, 0.022, 0.022, 0.022, 0.022, 0.022, 0.005, 0.004, 0.003, 0.003, 0.003
131, 0.096, 0.097, 0.096, 0.096, 0.096, 0.024, 0.025, 0.022, 0.025, 0.019, 0.067, 0.067, 0.067, 0.066, 0.067, 0.038, 0.040, 0.038, 0.037, 0.037, 0.033, 0.033, 0.033, 0.033, 0.033, 0.007, 0.006, 0.005, 0.005, 0.005
196, 0.170, 0.155, 0.151, 0.153, 0.152, 0.036, 0.035, 0.038, 0.040, 0.036, 0.103, 0.102, 0.104, 0.103, 0.103, 0.055, 0.058, 0.055, 0.050, 0.056, 0.049, 0.049, 0.049, 0.049, 0.051, 0.009, 0.008, 0.007, 0.007, 0.007
295, 0.242, 0.242, 0.241, 0.247, 0.240, 0.049, 0.068, 0.060, 0.065, 0.064, 0.158, 0.158, 0.158, 0.159, 0.157, 0.085, 0.084, 0.088, 0.089, 0.081, 0.073, 0.073, 0.073, 0.073, 0.073, 0.012, 0.012, 0.011, 0.010, 0.010
443, 0.377, 0.382, 0.377, 0.377, 0.379, 0.096, 0.092, 0.106, 0.099, 0.094, 0.244, 0.243, 0.244, 0.243, 0.243, 0.129, 0.129, 0.135, 0.127, 0.132, 0.110, 0.110, 0.109, 0.114, 0.113, 0.018, 0.017, 0.017, 0.016, 0.015
666, 0.596, 0.596, 0.596, 0.602, 0.595, 0.163, 0.157, 0.236, 0.137, 0.150, 0.375, 0.375, 0.374, 0.373, 0.374, 0.197, 0.201, 0.194, 0.205, 0.190, 0.165, 0.164, 0.164, 0.164, 0.164, 0.025, 0.025, 0.025, 0.024, 0.023
999, 0.936, 0.930, 0.935, 0.925, 0.928, 0.189, 0.247, 0.251, 0.188, 0.245, 0.572, 0.572, 0.571, 0.573, 0.572, 0.294, 0.421, 0.297, 0.301, 0.297, 0.246, 0.246, 0.246, 0.246, 0.276, 0.038, 0.038, 0.038, 0.037, 0.037
1501, 1.468, 1.469, 1.559, 1.464, 1.467, 0.360, 0.392, 0.434, 0.383, 0.367, 0.879, 0.886, 0.880, 0.882, 0.879, 0.472, 0.478, 0.467, 0.441, 0.464, 0.370, 0.369, 0.370, 0.369, 0.369, 0.057, 0.058, 0.057, 0.057, 0.056
2253, 2.299, 2.296, 2.288, 2.305, 2.290, 0.528, 0.602, 0.630, 0.622, 0.514, 1.351, 1.353, 1.380, 1.366, 1.354, 0.685, 0.712, 0.683, 0.717, 0.698, 0.553, 0.553, 0.553, 0.554, 0.554, 0.088, 0.088, 0.089, 0.089, 0.088
3383, 3.564, 3.562, 3.561, 3.559, 3.633, 0.929, 0.906, 0.906, 0.973, 0.841, 2.075, 2.077, 2.076, 2.075, 2.074, 1.077, 1.075, 1.556, 1.097, 1.043, 0.830, 0.831, 0.830, 0.829, 0.831, 0.133, 0.133, 0.133, 0.134, 0.133
5080, 5.601, 5.612, 5.667, 5.888, 5.604, 1.500, 1.329, 1.495, 1.601, 1.420, 3.257, 3.189, 3.169, 3.175, 3.175, 1.613, 1.641, 1.650, 1.614, 1.626, 1.249, 1.245, 1.247, 1.253, 1.318, 0.209, 0.206, 0.204, 0.206, 0.207
7626, 8.676, 8.624, 8.680, 8.761, 8.730, 2.343, 2.183, 2.237, 2.486, 2.460, 4.909, 4.848, 4.843, 4.853, 4.858, 2.483, 2.474, 2.463, 2.488, 2.476, 1.871, 1.873, 1.874, 1.872, 1.875, 0.313, 0.321, 0.316, 0.311, 0.316
11450, 13.534, 13.576, 13.541, 13.526, 13.613, 3.398, 3.846, 3.208, 3.897, 3.560, 7.438, 7.522, 7.425, 7.475, 7.435, 3.949, 3.709, 3.774, 3.770, 3.819, 2.826, 2.844, 2.825, 2.810, 2.809, 0.493, 0.481, 0.481, 0.483, 0.483
17190, 21.033, 21.107, 21.137, 21.458, 21.087, 5.768, 5.679, 5.063, 5.435, 5.447, 11.420, 11.412, 11.394, 11.517, 11.403, 5.878, 5.858, 5.815, 5.814, 5.776, 4.325, 4.399, 4.224, 4.223, 4.222, 0.819, 0.773, 0.751, 0.758, 0.747
25808, 32.858, 32.620, 32.419, 32.761, 32.522, 8.688, 8.645, 9.038, 7.896, 7.186, 17.522, 17.387, 17.594, 17.861, 17.386, 9.519, 9.055, 9.325, 9.381, 9.282, 6.395, 6.383, 6.368, 6.433, 6.335, 1.228, 1.186, 1.187, 1.178, 1.192
