op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.008, 0.008, 0.007, 0.008, 0.008, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.007, 0.007, 0.006, 0.007, 0.004, 0.005, 0.005, 0.004, 0.004, 0.006, 0.006, 0.006, 0.005, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.034, 0.035, 0.033, 0.034, 0.035, 0.010, 0.009, 0.009, 0.008, 0.009, 0.025, 0.025, 0.024, 0.025, 0.024, 0.013, 0.015, 0.014, 0.015, 0.014, 0.019, 0.019, 0.020, 0.018, 0.020, 0.004, 0.003, 0.003, 0.003, 0.003
166, 0.144, 0.145, 0.145, 0.146, 0.147, 0.035, 0.034, 0.040, 0.037, 0.030, 0.091, 0.093, 0.097, 0.094, 0.095, 0.048, 0.050, 0.049, 0.054, 0.050, 0.072, 0.072, 0.073, 0.071, 0.072, 0.009, 0.008, 0.008, 0.007, 0.007
599, 0.611, 0.615, 0.612, 0.621, 0.613, 0.130, 0.132, 0.139, 0.160, 0.116, 0.495, 0.357, 0.352, 0.476, 0.372, 0.186, 0.196, 0.192, 0.190, 0.183, 0.262, 0.264, 0.265, 0.261, 0.263, 0.026, 0.025, 0.025, 0.024, 0.024
2154, 2.556, 2.522, 2.556, 2.683, 2.516, 0.608, 0.574, 0.562, 0.654, 0.625, 1.384, 1.395, 1.354, 1.367, 1.355, 0.728, 0.711, 0.725, 0.713, 0.720, 0.962, 0.952, 0.948, 0.969, 0.960, 0.122, 0.120, 0.124, 0.123, 0.122
7742, 10.251, 10.412, 94.202, 10.868, 10.329, 2.515, 69.364, 2.612, 2.629, 2.796, 5.278, 5.198, 5.345, 5.187, 99.374, 2.830, 2.735, 118.745, 2.727, 2.693, 3.468, 3.445, 3.459, 3.461, 107.961, 0.454, 0.454, 0.454, 0.462, 0.467
27825, 182.285, 198.286, 197.943, 182.783, 198.601, 9.410, 8.280, 10.495, 8.293, 182.132, 20.633, 20.624, 20.703, 20.604, 20.331, 11.848, 11.801, 122.131, 12.349, 12.437, 13.201, 169.643, 156.634, 185.078, 13.085, 1.715, 1.271, 1.288, 1.255, 1.263
100000, 786.433, 593.822, 808.696, 637.053, 728.641, 171.779, 163.840, 155.740, 98.853, 42.282, 299.290, 261.464, 266.495, 254.260, 246.818, 96.791, 146.064, 96.918, 98.126, 83.509, 82.701, 97.487, 99.130, 97.520, 81.839, 8.221, 7.786, 7.354, 7.853, 8.330
