op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.008, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.007, 0.006, 0.006, 0.006, 0.004, 0.005, 0.004, 0.005, 0.004, 0.006, 0.006, 0.006, 0.006, 0.006, 0.003, 0.002, 0.002, 0.002, 0.002
46, 0.031, 0.031, 0.031, 0.031, 0.031, 0.012, 0.010, 0.010, 0.010, 0.011, 0.025, 0.025, 0.025, 0.025, 0.025, 0.014, 0.015, 0.014, 0.016, 0.017, 0.026, 0.024, 0.024, 0.062, 0.024, 0.005, 0.004, 0.025, 0.004, 0.004
166, 0.133, 0.132, 0.132, 0.132, 0.132, 0.051, 0.041, 0.045, 0.047, 0.043, 0.096, 0.095, 0.095, 0.095, 0.095, 0.051, 0.049, 0.051, 0.050, 0.051, 0.097, 0.095, 0.094, 0.095, 0.095, 0.011, 0.009, 0.008, 0.007, 0.007
599, 0.561, 0.557, 0.559, 0.557, 0.557, 0.192, 0.188, 0.178, 0.179, 0.206, 0.379, 0.377, 0.378, 0.379, 0.377, 0.182, 0.193, 0.184, 0.182, 0.185, 0.353, 0.349, 0.361, 0.347, 0.347, 0.033, 0.029, 0.028, 0.027, 0.026
2154, 2.289, 2.279, 36.294, 2.290, 2.286, 0.866, 1.036, 0.841, 0.771, 0.869, 1.450, 1.449, 1.453, 1.481, 1.451, 0.702, 0.744, 0.710, 0.705, 0.739, 1.267, 1.263, 1.263, 1.414, 1.268, 0.127, 0.126, 0.133, 0.124, 0.124
7742, 9.380, 56.481, 9.565, 83.318, 9.555, 3.368, 75.167, 3.488, 3.256, 3.610, 5.569, 5.577, 5.587, 5.577, 5.588, 2.833, 2.774, 2.660, 2.877, 2.968, 4.600, 4.617, 4.577, 4.579, 4.591, 0.428, 0.427, 0.430, 0.421, 0.343
27825, 116.012, 115.777, 178.332, 177.943, 193.649, 13.534, 14.652, 114.710, 14.960, 13.522, 21.986, 22.089, 22.085, 162.572, 162.440, 150.876, 10.607, 166.957, 11.140, 11.625, 16.773, 16.542, 16.644, 79.657, 16.778, 1.531, 1.411, 1.392, 1.336, 1.357
100000, 577.915, 618.085, 629.015, 802.247, 806.025, 228.503, 235.660, 360.253, 212.173, 182.624, 372.830, 337.141, 308.784, 333.544, 249.184, 132.079, 152.757, 141.978, 136.689, 132.652, 248.111, 153.807, 138.173, 138.355, 116.867, 6.966, 6.649, 65.223, 6.092, 6.756
