op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.007, 0.008, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.007, 0.006, 0.006, 0.006, 0.004, 0.004, 0.005, 0.004, 0.005, 0.005, 0.006, 0.006, 0.005, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.032, 0.033, 0.032, 0.033, 0.032, 0.009, 0.009, 0.009, 0.010, 0.009, 0.024, 0.024, 0.025, 0.024, 0.025, 0.013, 0.015, 0.016, 0.012, 0.017, 0.040, 0.031, 0.029, 0.035, 0.029, 0.005, 0.004, 0.004, 0.004, 0.004
166, 0.142, 0.140, 0.140, 0.139, 0.137, 0.045, 0.042, 0.041, 0.045, 0.040, 0.097, 0.096, 0.096, 0.095, 0.094, 0.054, 0.047, 0.046, 0.052, 0.054, 0.167, 0.186, 0.144, 0.151, 0.178, 0.013, 0.011, 0.010, 0.011, 0.010
599, 0.600, 0.590, 0.602, 0.600, 0.597, 0.197, 0.257, 0.226, 0.200, 0.195, 0.363, 0.365, 0.376, 0.374, 0.369, 0.189, 0.193, 0.201, 0.195, 0.190, 0.997, 0.699, 0.839, 1.028, 0.771, 0.040, 0.038, 0.037, 0.038, 0.039
2154, 2.485, 2.478, 2.478, 2.486, 2.493, 0.929, 1.011, 0.837, 0.859, 0.773, 1.423, 1.376, 1.372, 1.427, 1.413, 0.712, 0.726, 0.720, 0.733, 0.992, 3.634, 3.837, 3.576, 3.853, 3.236, 0.137, 0.130, 0.130, 0.127, 0.130
7742, 72.845, 10.196, 74.880, 10.218, 88.589, 3.278, 3.561, 4.076, 3.339, 3.624, 5.333, 5.332, 5.373, 5.314, 5.726, 2.786, 2.731, 2.780, 2.704, 96.976, 14.614, 16.168, 95.873, 16.488, 15.184, 0.547, 0.551, 0.557, 0.550, 0.550
27825, 182.593, 197.982, 198.164, 166.408, 198.110, 141.385, 14.656, 171.250, 155.067, 185.123, 20.997, 20.806, 20.720, 21.532, 20.985, 175.659, 12.863, 12.685, 12.390, 12.777, 399.295, 212.926, 385.667, 219.943, 379.097, 1.879, 1.813, 1.863, 158.502, 1.797
100000, 817.581, 806.584, 602.519, 571.907, 496.871, 133.272, 219.038, 155.928, 292.975, 149.023, 267.802, 242.134, 174.674, 171.373, 159.157, 99.854, 97.684, 119.864, 70.315, 91.093, 571.112, 466.517, 276.396, 303.473, 282.058, 9.625, 9.544, 9.251, 9.296, 9.304
