op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.003, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.005, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.002, 0.003, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.006, 0.006, 0.006, 0.006, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.006, 0.006, 0.004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.002, 0.001, 0.001, 0.001, 0.001
17, 0.010, 0.010, 0.010, 0.010, 0.010, 0.004, 0.004, 0.005, 0.004, 0.005, 0.006, 0.006, 0.006, 0.006, 0.006, 0.007, 0.008, 0.007, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.002, 0.002, 0.001, 0.001, 0.001
25, 0.016, 0.016, 0.016, 0.016, 0.016, 0.007, 0.007, 0.006, 0.007, 0.007, 0.009, 0.009, 0.009, 0.009, 0.009, 0.012, 0.012, 0.010, 0.011, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.002, 0.002, 0.002, 0.002, 0.002
38, 0.026, 0.026, 0.026, 0.026, 0.026, 0.010, 0.010, 0.013, 0.010, 0.010, 0.015, 0.015, 0.015, 0.015, 0.015, 0.017, 0.021, 0.018, 0.015, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.003, 0.003, 0.002, 0.002, 0.002
58, 0.044, 0.043, 0.043, 0.044, 0.044, 0.016, 0.016, 0.016, 0.016, 0.015, 0.025, 0.025, 0.025, 0.025, 0.025, 0.029, 0.027, 0.033, 0.033, 0.023, 0.024, 0.023, 0.023, 0.023, 0.023, 0.004, 0.003, 0.003, 0.003, 0.003
87, 0.071, 0.072, 0.071, 0.071, 0.071, 0.023, 0.023, 0.031, 0.026, 0.024, 0.041, 0.041, 0.040, 0.041, 0.041, 0.042, 0.042, 0.046, 0.038, 0.045, 0.035, 0.034, 0.034, 0.034, 0.034, 0.006, 0.005, 0.004, 0.004, 0.003
131, 0.115, 0.114, 0.114, 0.114, 0.114, 0.039, 0.038, 0.039, 0.045, 0.039, 0.066, 0.066, 0.066, 0.066, 0.066, 0.074, 0.062, 0.068, 0.066, 0.058, 0.052, 0.052, 0.051, 0.051, 0.051, 0.008, 0.006, 0.006, 0.005, 0.005
196, 0.185, 0.185, 0.184, 0.184, 0.184, 0.061, 0.061, 0.063, 0.064, 0.063, 0.105, 0.105, 0.105, 0.105, 0.105, 0.102, 0.099, 0.099, 0.106, 0.100, 0.078, 0.077, 0.077, 0.077, 0.077, 0.011, 0.009, 0.008, 0.008, 0.007
295, 0.295, 0.296, 0.324, 0.295, 0.295, 0.106, 0.101, 0.097, 0.097, 0.098, 0.171, 0.171, 0.170, 0.170, 0.170, 0.168, 0.179, 0.173, 0.172, 0.175, 0.117, 0.115, 0.115, 0.115, 0.115, 0.016, 0.013, 0.012, 0.011, 0.011
443, 0.518, 0.514, 0.571, 0.458, 0.458, 0.141, 0.149, 0.152, 0.157, 0.147, 0.265, 0.266, 0.265, 0.265, 0.265, 0.253, 0.247, 0.253, 0.238, 0.266, 0.189, 0.169, 0.168, 0.169, 0.168, 0.024, 0.020, 0.019, 0.017, 0.017
666, 0.743, 0.729, 0.731, 0.730, 0.728, 0.245, 0.245, 0.206, 0.229, 0.225, 0.423, 0.423, 0.422, 0.423, 0.423, 0.462, 0.395, 0.383, 0.390, 0.374, 0.350, 0.254, 0.254, 0.255, 0.275, 0.035, 0.030, 0.027, 0.026, 0.026
999, 1.169, 1.147, 1.149, 1.146, 1.145, 0.403, 0.355, 0.382, 0.361, 0.372, 0.672, 0.673, 0.669, 0.670, 0.673, 0.737, 0.649, 0.659, 0.613, 0.687, 0.428, 0.381, 0.380, 0.380, 0.380, 0.050, 0.044, 0.041, 0.040, 0.040
1501, 1.867, 1.829, 1.840, 1.820, 1.829, 0.558, 0.538, 0.566, 0.594, 0.607, 1.100, 1.065, 1.062, 1.063, 1.065, 1.160, 0.972, 1.043, 1.003, 1.036, 0.646, 0.571, 0.621, 0.571, 0.571, 0.074, 0.065, 0.064, 0.062, 0.061
2253, 2.955, 2.856, 2.855, 2.859, 3.093, 0.895, 0.899, 0.870, 0.851, 0.994, 1.680, 1.683, 1.686, 1.676, 1.679, 1.821, 1.562, 1.587, 1.625, 1.574, 0.984, 0.858, 0.857, 0.857, 0.856, 0.111, 0.098, 0.097, 0.098, 0.096
3383, 4.595, 4.495, 4.496, 4.641, 4.516, 1.408, 1.417, 1.409, 1.455, 1.381, 2.672, 2.651, 2.645, 2.661, 2.650, 2.773, 2.475, 2.447, 2.421, 2.422, 1.481, 1.288, 1.359, 1.288, 1.291, 0.163, 0.146, 0.148, 0.146, 0.148
5080, 7.206, 7.193, 7.070, 7.103, 7.071, 2.232, 2.332, 2.218, 2.207, 2.126, 4.178, 4.172, 4.230, 4.169, 4.168, 4.202, 3.684, 3.734, 3.763, 3.789, 2.242, 1.937, 1.934, 1.936, 1.947, 0.250, 0.225, 0.250, 0.234, 0.239
7626, 11.222, 11.064, 11.047, 11.021, 11.017, 3.417, 3.437, 3.285, 3.496, 3.423, 6.583, 6.570, 6.556, 6.544, 6.737, 6.876, 6.608, 6.133, 5.793, 5.993, 3.374, 2.907, 2.970, 2.905, 2.902, 0.410, 0.394, 0.406, 0.425, 0.436
11450, 17.708, 17.311, 17.307, 17.322, 17.333, 5.228, 5.457, 5.289, 5.725, 5.487, 10.241, 10.260, 10.269, 10.227, 10.323, 9.572, 9.082, 9.382, 8.683, 8.934, 5.115, 4.363, 4.357, 4.365, 4.372, 0.735, 0.705, 0.740, 0.799, 0.850
17190, 27.682, 27.500, 27.007, 26.842, 26.959, 8.514, 8.072, 8.033, 7.931, 9.250, 16.112, 16.015, 15.982, 16.052, 16.092, 15.703, 13.872, 13.920, 13.853, 14.044, 7.672, 6.599, 6.547, 6.737, 6.552, 1.150, 1.212, 1.257, 1.255, 1.312
25808, 44.170, 42.146, 41.930, 42.161, 42.004, 12.987, 12.246, 12.897, 12.213, 12.384, 24.980, 25.315, 25.122, 24.912, 25.013, 23.168, 23.416, 23.104, 22.091, 22.186, 11.856, 9.829, 9.850, 9.830, 9.824, 2.199, 1.995, 2.117, 2.326, 2.517
38746, 67.200, 66.195, 66.130, 65.964, 65.365, 19.518, 19.254, 20.011, 19.004, 20.938, 39.156, 39.137, 39.134, 39.064, 38.907, 36.637, 37.993, 37.286, 37.618, 37.216, 19.660, 14.851, 14.817, 15.141, 14.753, 3.455, 2.986, 3.167, 3.590, 3.918
58170, 104.739, 102.687, 102.385, 102.603, 102.331, 32.529, 31.370, 31.082, 34.644, 30.146, 61.679, 61.425, 61.453, 61.576, 61.641, 56.468, 58.646, 61.455, 62.027, 64.215, 31.520, 22.236, 22.302, 22.232, 22.203, 5.914, 5.629, 5.959, 6.719, 7.097
87332, 164.091, 161.411, 162.734, 161.313, 161.670, 51.058, 49.061, 50.021, 54.273, 47.138, 97.802, 98.443, 98.534, 98.227, 98.206, 91.027, 92.504, 94.104, 101.168, 97.666, 51.776, 33.373, 33.361, 33.495, 33.422, 11.669, 10.972, 12.743, 14.069, 13.821
131113, 255.502, 251.637, 252.803, 252.289, 253.634, 80.299, 81.007, 77.935, 77.337, 76.352, 155.614, 155.957, 154.941, 155.761, 154.896, 146.852, 142.013, 148.359, 153.409, 160.246, 81.739, 50.124, 50.305, 50.428, 51.057, 19.607, 18.483, 19.695, 21.362, 23.239
196841, 402.188, 392.342, 392.436, 393.718, 400.024, 132.452, 125.218, 125.607, 122.181, 127.093, 243.835, 242.860, 243.938, 243.564, 243.619, 224.186, 227.581, 226.771, 233.676, 237.540, 130.581, 75.268, 75.656, 76.257, 76.383, 33.175, 32.358, 37.019, 40.460, 43.310
295520, 636.129, 603.459, 608.426, 607.849, 610.216, 202.217, 193.114, 186.285, 197.457, 202.667, 379.540, 380.885, 382.406, 380.192, 379.673, 348.783, 344.718, 356.653, 385.542, 372.454, 199.099, 113.353, 114.507, 114.374, 114.045, 55.186, 55.641, 63.305, 71.664, 76.901
443668, 974.911, 931.645, 942.569, 941.018, 944.909, 313.175, 304.753, 294.880, 321.232, 295.272, 589.614, 588.598, 589.919, 589.485, 588.673, 574.720, 541.450, 563.531, 602.670, 634.145, 306.850, 169.839, 170.001, 173.978, 172.273, 90.359, 92.792, 105.538, 121.118, 127.776
666084, 1509.388, 1439.162, 1459.393, 1453.018, 1470.210, 472.588, 459.024, 482.811, 448.542, 476.448, 910.017, 909.930, 914.431, 913.058, 911.064, 904.717, 793.239, 869.497, 919.779, 881.249, 472.242, 255.128, 255.587, 256.129, 256.065, 134.047, 141.646, 159.524, 181.829, 191.531
1000000, 2328.767, 2230.188, 2228.481, 2241.043, 2246.330, 692.489, 705.301, 699.675, 686.619, 700.944, 1408.201, 1404.419, 1411.756, 1408.387, 1412.431, 1401.965, 1309.757, 1364.286, 1379.034, 1402.130, 724.352, 382.710, 384.773, 384.679, 389.845, 201.245, 209.551, 236.858, 273.656, 290.918
