op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.005, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.001, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
12, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.008, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.004, 0.005, 0.009, 0.008, 0.008, 0.009, 0.008, 0.003, 0.003, 0.003, 0.003, 0.003
46, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.013, 0.012, 0.013, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.016, 0.017, 0.017, 0.017, 0.017, 0.047, 0.045, 0.045, 0.046, 0.045, 0.007, 0.007, 0.007, 0.007, 0.007
166, 0.042, 0.042, 0.042, 0.042, 0.042, 0.045, 0.048, 0.047, 0.069, 0.046, 0.043, 0.042, 0.042, 0.042, 0.042, 0.064, 0.065, 0.067, 0.063, 0.063, 0.221, 0.212, 0.221, 0.216, 0.215, 0.025, 0.024, 0.025, 0.026, 0.024
599, 0.166, 0.166, 0.166, 0.196, 0.167, 0.183, 0.185, 0.184, 0.185, 0.184, 0.167, 0.190, 0.165, 0.167, 0.165, 0.267, 0.298, 0.282, 0.276, 0.266, 0.985, 0.995, 0.992, 0.982, 0.997, 0.091, 0.091, 0.090, 0.093, 0.091
2154, 0.661, 0.661, 0.658, 0.660, 0.657, 0.758, 0.743, 0.746, 0.759, 0.753, 0.652, 0.648, 0.649, 0.651, 0.650, 1.205, 1.113, 1.186, 1.172, 1.154, 4.346, 4.351, 4.334, 4.346, 4.369, 0.355, 0.365, 0.365, 0.357, 0.354
7742, 3.071, 2.680, 2.760, 2.822, 2.796, 3.107, 3.213, 3.056, 3.084, 3.369, 2.825, 2.760, 5.101, 2.685, 2.741, 5.472, 5.449, 5.143, 5.182, 5.495, 19.261, 19.470, 20.067, 19.665, 19.540, 1.556, 1.697, 1.580, 1.610, 1.566
27825, 12.302, 21.202, 13.779, 12.726, 13.082, 13.798, 19.733, 16.200, 14.711, 15.360, 12.595, 12.276, 12.495, 13.077, 12.952, 31.421, 31.805, 31.738, 29.295, 33.340, 85.340, 84.980, 82.268, 82.729, 82.470, 6.974, 7.153, 7.208, 7.197, 7.232
100000, 58.538, 58.117, 61.227, 59.121, 61.047, 76.240, 75.221, 82.713, 79.006, 79.272, 63.523, 58.792, 59.188, 60.667, 61.135, 183.312, 177.861, 178.922, 177.824, 175.091, 380.965, 367.364, 371.678, 374.438, 391.174, 47.822, 41.443, 46.274, 47.649, 39.301
