op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
7, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003, 0.002, 0.003, 0.003, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
11, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.006, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.007, 0.006, 0.006, 0.007, 0.007, 0.003, 0.002, 0.002, 0.002, 0.002
17, 0.005, 0.005, 0.005, 0.007, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.006, 0.006, 0.005, 0.006, 0.011, 0.013, 0.012, 0.011, 0.011, 0.003, 0.003, 0.003, 0.003, 0.003
25, 0.007, 0.006, 0.006, 0.006, 0.007, 0.007, 0.007, 0.007, 0.006, 0.007, 0.007, 0.007, 0.006, 0.006, 0.007, 0.008, 0.007, 0.008, 0.008, 0.012, 0.019, 0.017, 0.020, 0.019, 0.020, 0.004, 0.004, 0.004, 0.004, 0.004
38, 0.010, 0.010, 0.009, 0.009, 0.009, 0.010, 0.010, 0.010, 0.010, 0.013, 0.010, 0.009, 0.010, 0.010, 0.010, 0.013, 0.012, 0.015, 0.012, 0.013, 0.032, 0.032, 0.034, 0.029, 0.032, 0.006, 0.006, 0.006, 0.006, 0.006
58, 0.015, 0.015, 0.018, 0.014, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.014, 0.015, 0.014, 0.017, 0.014, 0.019, 0.019, 0.020, 0.022, 0.019, 0.055, 0.055, 0.054, 0.051, 0.053, 0.009, 0.009, 0.008, 0.008, 0.011
87, 0.022, 0.022, 0.022, 0.022, 0.022, 0.023, 0.025, 0.024, 0.024, 0.023, 0.025, 0.022, 0.022, 0.022, 0.022, 0.031, 0.030, 0.033, 0.029, 0.030, 0.090, 0.089, 0.089, 0.086, 0.092, 0.013, 0.013, 0.013, 0.013, 0.013
131, 0.034, 0.033, 0.033, 0.036, 0.033, 0.035, 0.035, 0.036, 0.038, 0.036, 0.036, 0.033, 0.033, 0.033, 0.033, 0.050, 0.048, 0.045, 0.048, 0.045, 0.188, 0.149, 0.148, 0.155, 0.154, 0.019, 0.019, 0.021, 0.019, 0.022
196, 0.051, 0.054, 0.050, 0.051, 0.054, 0.054, 0.053, 0.059, 0.053, 0.061, 0.051, 0.051, 0.054, 0.051, 0.051, 0.070, 0.072, 0.072, 0.071, 0.076, 0.248, 0.283, 0.239, 0.250, 0.246, 0.028, 0.028, 0.028, 0.031, 0.028
295, 0.079, 0.077, 0.078, 0.078, 0.078, 0.083, 0.082, 0.086, 0.086, 0.090, 0.081, 0.082, 0.081, 0.081, 0.081, 0.111, 0.111, 0.120, 0.111, 0.115, 0.399, 0.404, 0.403, 0.475, 0.420, 0.046, 0.046, 0.046, 0.046, 0.046
