op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.006, 0.007, 0.006, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004, 0.005, 0.004, 0.008, 0.007, 0.007, 0.007, 0.007, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.028, 0.028, 0.028, 0.028, 0.028, 0.008, 0.008, 0.007, 0.007, 0.007, 0.022, 0.022, 0.022, 0.022, 0.021, 0.013, 0.014, 0.013, 0.012, 0.013, 0.028, 0.028, 0.028, 0.028, 0.028, 0.004, 0.003, 0.003, 0.003, 0.003
166, 0.121, 0.121, 0.121, 0.121, 0.121, 0.029, 0.030, 0.028, 0.034, 0.029, 0.083, 0.083, 0.083, 0.083, 0.084, 0.049, 0.045, 0.044, 0.044, 0.044, 0.106, 0.105, 0.105, 0.104, 0.105, 0.008, 0.007, 0.007, 0.007, 0.007
599, 0.511, 0.512, 0.512, 0.511, 0.511, 0.112, 0.128, 0.131, 0.114, 0.131, 0.329, 0.326, 0.326, 0.326, 0.326, 0.177, 0.170, 0.177, 0.166, 0.170, 0.390, 0.389, 0.389, 0.389, 0.389, 0.022, 0.021, 0.021, 0.020, 0.021
2154, 2.131, 2.128, 2.146, 2.133, 2.130, 0.538, 0.513, 0.501, 0.605, 0.542, 1.268, 1.267, 1.267, 1.272, 1.266, 0.629, 0.606, 0.619, 0.617, 0.632, 1.409, 1.407, 1.406, 1.408, 1.405, 0.080, 0.080, 0.078, 0.077, 0.078
7742, 8.800, 8.819, 8.802, 8.885, 8.828, 66.632, 2.463, 2.177, 2.087, 2.441, 4.992, 4.966, 4.966, 4.946, 4.993, 2.453, 2.341, 2.341, 2.327, 2.430, 5.125, 5.105, 5.094, 5.132, 5.122, 0.298, 0.298, 0.300, 0.297, 0.301
27825, 183.322, 207.314, 191.920, 35.612, 176.225, 8.832, 8.809, 8.468, 118.823, 8.945, 19.216, 19.299, 19.305, 160.010, 159.971, 8.793, 118.525, 8.887, 10.253, 9.564, 112.508, 19.831, 136.464, 129.668, 18.831, 1.438, 1.250, 1.166, 1.225, 1.166
100000, 566.406, 612.954, 611.678, 564.826, 611.490, 187.921, 202.086, 208.325, 183.037, 177.630, 216.077, 340.308, 290.471, 273.680, 153.250, 142.164, 143.594, 126.474, 35.372, 33.678, 242.097, 259.579, 236.923, 167.163, 117.823, 6.095, 5.930, 68.940, 5.929, 6.114
