op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.002, 0.006, 0.006, 0.006, 0.006, 0.006, 0.004, 0.005, 0.005, 0.004, 0.004, 0.005, 0.006, 0.005, 0.005, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.029, 0.029, 0.031, 0.031, 0.029, 0.009, 0.008, 0.007, 0.007, 0.007, 0.022, 0.022, 0.021, 0.022, 0.022, 0.014, 0.015, 0.012, 0.016, 0.013, 0.020, 0.019, 0.019, 0.018, 0.018, 0.004, 0.004, 0.003, 0.003, 0.003
166, 0.129, 0.130, 0.130, 0.133, 0.129, 0.025, 0.028, 0.029, 0.032, 0.029, 0.083, 0.082, 0.082, 0.083, 0.081, 0.048, 0.046, 0.047, 0.051, 0.045, 0.070, 0.064, 0.065, 0.070, 0.067, 0.009, 0.008, 0.008, 0.008, 0.008
599, 0.559, 0.556, 0.556, 0.560, 0.555, 0.122, 0.124, 0.117, 0.126, 0.171, 0.317, 0.313, 0.313, 0.315, 0.315, 0.173, 0.158, 0.166, 0.165, 0.164, 0.244, 0.242, 0.252, 0.244, 0.242, 0.028, 0.026, 0.025, 0.025, 0.025
2154, 2.328, 2.348, 2.321, 2.355, 2.336, 0.565, 0.483, 0.598, 0.574, 0.519, 1.200, 1.195, 1.194, 1.188, 1.190, 0.619, 0.614, 0.598, 0.617, 0.645, 0.890, 0.894, 0.888, 0.890, 0.886, 0.090, 0.088, 0.091, 0.088, 0.088
7742, 9.585, 9.678, 92.801, 9.722, 9.723, 2.215, 2.211, 2.706, 2.389, 2.230, 4.527, 4.554, 4.573, 4.549, 4.557, 2.348, 2.545, 2.324, 2.300, 2.429, 3.244, 3.219, 3.234, 3.243, 3.229, 0.417, 0.417, 0.357, 0.328, 0.332
27825, 211.650, 155.361, 179.974, 180.514, 39.572, 9.097, 9.286, 9.056, 181.446, 10.618, 18.049, 18.020, 17.773, 17.776, 142.857, 10.608, 10.149, 9.767, 9.494, 9.393, 13.180, 11.980, 12.464, 184.212, 11.931, 1.280, 1.257, 1.293, 1.722, 1.282
100000, 784.737, 749.976, 662.748, 619.409, 567.047, 170.492, 44.110, 122.381, 105.601, 149.024, 273.132, 177.905, 263.296, 162.207, 256.481, 75.353, 42.425, 91.751, 89.666, 88.936, 95.214, 109.956, 88.318, 94.010, 76.177, 8.233, 8.474, 8.788, 8.478, 8.809
