op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.004, 0.002, 0.001, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.006, 0.006, 0.007, 0.006, 0.002, 0.002, 0.002, 0.003, 0.003, 0.006, 0.005, 0.006, 0.005, 0.006, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002
17, 0.011, 0.011, 0.011, 0.010, 0.011, 0.003, 0.003, 0.004, 0.003, 0.003, 0.009, 0.008, 0.009, 0.008, 0.008, 0.006, 0.006, 0.005, 0.005, 0.007, 0.008, 0.007, 0.008, 0.007, 0.007, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.016, 0.017, 0.016, 0.017, 0.016, 0.004, 0.005, 0.005, 0.004, 0.004, 0.013, 0.013, 0.013, 0.012, 0.013, 0.010, 0.007, 0.009, 0.008, 0.008, 0.012, 0.011, 0.011, 0.011, 0.010, 0.003, 0.003, 0.003, 0.002, 0.002
38, 0.027, 0.026, 0.026, 0.027, 0.026, 0.007, 0.006, 0.007, 0.006, 0.007, 0.021, 0.020, 0.019, 0.019, 0.019, 0.012, 0.010, 0.012, 0.012, 0.011, 0.017, 0.017, 0.015, 0.016, 0.017, 0.004, 0.003, 0.003, 0.003, 0.003
58, 0.044, 0.044, 0.044, 0.044, 0.044, 0.010, 0.009, 0.009, 0.012, 0.011, 0.031, 0.029, 0.029, 0.029, 0.030, 0.019, 0.017, 0.017, 0.017, 0.019, 0.025, 0.024, 0.025, 0.028, 0.025, 0.005, 0.004, 0.004, 0.004, 0.004
87, 0.068, 0.069, 0.070, 0.069, 0.066, 0.018, 0.015, 0.015, 0.015, 0.015, 0.046, 0.046, 0.044, 0.045, 0.045, 0.025, 0.027, 0.025, 0.027, 0.026, 0.037, 0.037, 0.040, 0.038, 0.035, 0.006, 0.006, 0.005, 0.005, 0.005
131, 0.108, 0.108, 0.109, 0.109, 0.110, 0.024, 0.023, 0.030, 0.028, 0.026, 0.072, 0.069, 0.069, 0.069, 0.068, 0.045, 0.040, 0.039, 0.038, 0.039, 0.059, 0.056, 0.056, 0.058, 0.059, 0.009, 0.008, 0.008, 0.008, 0.008
196, 0.176, 0.177, 0.184, 0.173, 0.179, 0.046, 0.036, 0.037, 0.045, 0.040, 0.105, 0.107, 0.134, 0.103, 0.106, 0.062, 0.062, 0.063, 0.056, 0.056, 0.085, 0.087, 0.091, 0.083, 0.083, 0.013, 0.012, 0.011, 0.011, 0.011
295, 0.275, 0.285, 0.281, 0.285, 0.281, 0.066, 0.058, 0.059, 0.055, 0.056, 0.165, 0.165, 0.161, 0.164, 0.165, 0.093, 0.086, 0.093, 0.094, 0.095, 0.131, 0.130, 0.133, 0.134, 0.127, 0.018, 0.016, 0.015, 0.016, 0.015
443, 0.450, 0.460, 0.441, 0.438, 0.448, 0.098, 0.092, 0.097, 0.090, 0.100, 0.251, 0.250, 0.249, 0.249, 0.249, 0.136, 0.135, 0.139, 0.147, 0.137, 0.204, 0.204, 0.207, 0.203, 0.206, 0.026, 0.024, 0.023, 0.024, 0.023
666, 0.718, 0.730, 0.718, 0.729, 0.737, 0.148, 0.149, 0.174, 0.176, 0.185, 0.400, 0.395, 0.395, 0.399, 0.396, 0.210, 0.213, 0.209, 0.214, 0.215, 0.305, 0.309, 0.319, 0.312, 0.314, 0.040, 0.038, 0.036, 0.037, 0.036
999, 1.154, 1.162, 1.173, 1.138, 1.145, 0.272, 0.256, 0.245, 0.279, 0.253, 0.599, 0.606, 0.608, 0.607, 0.604, 0.342, 0.337, 0.341, 0.339, 0.328, 0.464, 0.466, 0.468, 0.469, 0.459, 0.056, 0.056, 0.054, 0.057, 0.056
1501, 1.811, 1.824, 1.840, 1.874, 1.880, 0.406, 0.410, 0.394, 0.402, 0.382, 0.956, 0.963, 0.965, 0.960, 0.956, 0.525, 0.511, 0.518, 0.505, 0.512, 0.735, 0.735, 0.720, 0.725, 0.738, 0.083, 0.086, 0.082, 0.085, 0.082
