op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.008, 0.008, 0.008, 0.008, 0.008, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.009, 0.007, 0.005, 0.006, 0.006, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.037, 0.037, 0.038, 0.037, 0.037, 0.016, 0.016, 0.015, 0.014, 0.014, 0.022, 0.022, 0.022, 0.022, 0.022, 0.026, 0.025, 0.021, 0.019, 0.025, 0.015, 0.013, 0.013, 0.013, 0.013, 0.004, 0.003, 0.003, 0.003, 0.003
166, 0.166, 0.164, 0.165, 0.166, 0.167, 0.063, 0.052, 0.062, 0.060, 0.062, 0.097, 0.096, 0.097, 0.096, 0.096, 0.106, 0.104, 0.117, 0.096, 0.096, 0.044, 0.042, 0.042, 0.042, 0.042, 0.009, 0.008, 0.008, 0.007, 0.007
599, 0.706, 0.733, 0.710, 0.708, 0.744, 0.248, 0.253, 0.248, 0.247, 0.223, 0.431, 0.415, 0.420, 0.416, 0.418, 0.434, 0.430, 0.430, 0.446, 0.437, 0.162, 0.158, 0.155, 0.156, 0.157, 0.034, 0.028, 0.026, 0.026, 0.025
2154, 5.016, 2.991, 3.000, 2.985, 2.951, 1.039, 0.975, 1.047, 0.964, 1.144, 1.692, 1.701, 1.707, 1.677, 1.674, 2.129, 1.733, 1.711, 1.844, 1.751, 0.653, 0.545, 0.547, 0.545, 0.562, 0.111, 0.114, 0.111, 0.097, 0.096
7742, 12.660, 12.486, 12.274, 12.297, 12.329, 4.125, 4.212, 4.242, 4.014, 3.941, 6.877, 6.910, 6.866, 6.886, 6.999, 8.493, 7.354, 7.408, 7.549, 6.948, 2.484, 1.958, 1.992, 1.942, 1.949, 0.471, 0.397, 0.399, 0.392, 0.396
27825, 51.650, 49.997, 50.454, 50.291, 50.079, 17.702, 16.909, 17.169, 14.681, 15.005, 28.196, 28.155, 28.142, 28.363, 28.438, 33.503, 38.025, 30.270, 29.085, 34.831, 9.524, 7.110, 7.164, 7.116, 7.199, 2.504, 2.236, 2.179, 2.042, 2.121
100000, 214.113, 201.380, 199.688, 200.418, 202.328, 72.835, 66.684, 66.789, 60.880, 67.520, 112.918, 114.887, 112.689, 114.013, 112.216, 129.832, 123.812, 112.886, 119.156, 120.690, 35.977, 26.120, 26.730, 25.701, 26.240, 14.888, 13.177, 13.977, 13.338, 14.476
