op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
12, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.005, 0.008, 0.006, 0.009, 0.008, 0.008, 0.003, 0.003, 0.003, 0.003, 0.003
46, 0.014, 0.013, 0.015, 0.014, 0.014, 0.014, 0.015, 0.014, 0.014, 0.017, 0.014, 0.013, 0.014, 0.013, 0.014, 0.017, 0.021, 0.017, 0.017, 0.016, 0.040, 0.041, 0.039, 0.038, 0.038, 0.008, 0.007, 0.008, 0.008, 0.008
166, 0.051, 0.052, 0.051, 0.052, 0.049, 0.055, 0.054, 0.057, 0.054, 0.054, 0.052, 0.051, 0.049, 0.052, 0.051, 0.061, 0.066, 0.063, 0.064, 0.063, 0.196, 0.192, 0.197, 0.194, 0.184, 0.025, 0.024, 0.025, 0.025, 0.025
599, 0.196, 0.194, 0.195, 0.193, 0.194, 0.214, 0.211, 0.221, 0.218, 0.209, 0.197, 0.193, 0.198, 0.192, 0.199, 0.265, 0.272, 0.256, 0.275, 0.275, 0.889, 0.878, 0.907, 0.891, 0.903, 0.096, 0.094, 0.094, 0.094, 0.094
2154, 0.791, 0.779, 0.784, 0.789, 0.786, 0.887, 0.885, 0.868, 0.851, 0.880, 0.789, 0.799, 0.792, 0.792, 0.793, 1.144, 1.191, 1.289, 1.218, 1.207, 3.975, 3.984, 4.291, 4.080, 4.008, 0.382, 0.371, 0.376, 0.398, 0.369
7742, 3.048, 3.097, 3.051, 6.738, 3.434, 3.682, 3.503, 3.780, 3.478, 3.525, 3.058, 3.245, 3.121, 3.187, 3.212, 7.098, 5.337, 5.628, 6.139, 5.379, 17.172, 17.188, 17.136, 17.331, 17.312, 1.623, 1.657, 1.707, 1.691, 1.710
27825, 12.704, 13.164, 12.536, 12.841, 12.566, 14.798, 15.530, 14.835, 16.899, 16.270, 13.847, 13.198, 13.497, 13.550, 12.603, 26.532, 29.929, 29.701, 29.625, 27.142, 75.210, 74.021, 75.289, 79.546, 75.060, 7.302, 7.410, 7.560, 7.352, 7.405
100000, 72.630, 66.409, 75.236, 79.225, 82.699, 95.142, 95.830, 102.350, 99.331, 102.831, 83.268, 81.726, 82.443, 81.879, 82.887, 196.191, 237.657, 234.030, 237.604, 235.594, 373.717, 370.013, 355.592, 355.686, 359.613, 48.323, 50.779, 49.349, 50.003, 51.772
