op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
12, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.002, 0.001, 0.001, 0.001
46, 0.011, 0.011, 0.011, 0.011, 0.011, 0.008, 0.009, 0.010, 0.009, 0.010, 0.011, 0.011, 0.011, 0.011, 0.011, 0.005, 0.005, 0.005, 0.005, 0.005, 0.024, 0.024, 0.024, 0.024, 0.024, 0.003, 0.003, 0.002, 0.002, 0.002
166, 0.040, 0.040, 0.040, 0.040, 0.040, 0.043, 0.035, 0.047, 0.038, 0.042, 0.041, 0.041, 0.041, 0.041, 0.041, 0.017, 0.016, 0.017, 0.017, 0.017, 0.091, 0.091, 0.093, 0.091, 0.091, 0.008, 0.007, 0.006, 0.005, 0.004
599, 0.153, 0.152, 0.153, 0.153, 0.155, 0.176, 0.165, 0.160, 0.165, 0.197, 0.159, 0.159, 0.159, 0.159, 0.159, 0.071, 0.071, 0.067, 0.066, 0.067, 0.336, 0.331, 0.334, 0.334, 0.333, 0.024, 0.024, 0.025, 0.024, 0.023
2154, 0.594, 0.592, 0.598, 0.593, 0.602, 0.758, 0.760, 0.863, 63.437, 0.759, 0.620, 0.619, 0.619, 0.619, 0.626, 0.262, 0.276, 0.267, 0.264, 0.255, 1.210, 1.203, 1.207, 1.204, 1.207, 0.089, 0.090, 0.090, 0.089, 0.090
7742, 2.369, 2.314, 2.318, 2.391, 2.369, 3.010, 3.306, 3.172, 121.665, 2.912, 2.397, 2.382, 2.456, 2.408, 2.381, 1.173, 1.026, 1.436, 1.414, 1.103, 145.050, 4.361, 4.386, 4.358, 4.380, 172.154, 0.334, 0.339, 0.338, 0.342
27825, 9.371, 9.182, 9.146, 9.197, 165.506, 14.281, 11.906, 12.989, 12.749, 14.381, 9.547, 9.490, 181.309, 9.502, 9.506, 4.634, 4.912, 114.422, 5.020, 5.196, 141.168, 16.329, 15.917, 16.246, 16.095, 1.412, 1.412, 110.795, 1.462, 1.413
100000, 36.141, 175.808, 35.422, 207.265, 162.188, 194.122, 225.708, 216.379, 210.006, 188.406, 207.458, 161.523, 161.578, 161.461, 36.663, 18.273, 114.298, 19.144, 66.824, 88.477, 168.820, 154.353, 152.964, 261.940, 263.443, 7.341, 7.291, 7.117, 106.107, 7.237
