op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
12, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.002, 0.002, 0.001, 0.001
46, 0.011, 0.011, 0.011, 0.011, 0.011, 0.010, 0.008, 0.008, 0.009, 0.009, 0.011, 0.012, 0.011, 0.011, 0.011, 0.005, 0.005, 0.005, 0.005, 0.005, 0.024, 0.023, 0.023, 0.023, 0.023, 0.003, 0.003, 0.002, 0.002, 0.002
166, 0.041, 0.040, 0.040, 0.040, 0.040, 0.035, 0.036, 0.041, 0.041, 0.036, 0.040, 0.041, 0.040, 0.041, 0.040, 0.017, 0.017, 0.017, 0.017, 0.017, 0.092, 0.089, 0.089, 0.089, 0.090, 0.007, 0.007, 0.006, 0.005, 0.005
599, 0.155, 0.156, 0.156, 0.155, 0.158, 0.164, 0.228, 0.162, 0.153, 0.175, 0.159, 0.158, 0.158, 0.160, 0.158, 0.063, 0.062, 0.064, 0.060, 0.064, 0.329, 0.328, 0.328, 0.327, 0.328, 0.026, 0.026, 0.025, 0.024, 0.024
2154, 0.607, 0.608, 0.608, 0.611, 0.604, 0.647, 0.720, 0.749, 0.813, 0.737, 0.622, 0.621, 0.628, 0.617, 0.624, 0.251, 0.269, 0.265, 0.256, 0.259, 1.192, 1.217, 2.129, 1.194, 1.203, 0.091, 0.091, 0.092, 0.093, 0.090
7742, 2.416, 2.449, 2.525, 2.437, 2.427, 2.920, 3.089, 3.021, 3.260, 2.825, 2.423, 2.434, 2.460, 2.430, 2.453, 1.152, 1.151, 1.147, 1.115, 1.178, 4.324, 4.323, 4.359, 4.526, 4.409, 0.342, 0.340, 0.337, 0.329, 0.341
27825, 10.091, 9.688, 9.517, 9.597, 9.468, 12.853, 15.047, 15.291, 14.138, 12.831, 9.575, 9.797, 9.580, 9.628, 9.726, 4.666, 6.445, 5.219, 5.187, 5.519, 16.268, 17.062, 15.753, 16.103, 16.228, 1.405, 1.390, 1.426, 1.437, 1.392
100000, 38.844, 37.451, 37.296, 37.000, 37.134, 58.274, 51.118, 52.200, 55.069, 47.767, 36.834, 36.956, 36.963, 38.264, 37.778, 17.289, 22.352, 21.406, 21.667, 23.505, 59.433, 60.510, 60.086, 60.927, 60.679, 8.337, 7.964, 7.906, 8.176, 7.976
