op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
12, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.006, 0.006, 0.006, 0.007, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.011, 0.011, 0.011, 0.011, 0.011, 0.008, 0.010, 0.010, 0.009, 0.011, 0.012, 0.011, 0.011, 0.011, 0.011, 0.006, 0.008, 0.006, 0.006, 0.006, 0.035, 0.031, 0.035, 0.036, 0.035, 0.003, 0.003, 0.003, 0.003, 0.003
166, 0.041, 0.044, 0.040, 0.045, 0.041, 0.041, 0.039, 0.047, 0.048, 0.035, 0.042, 0.041, 0.042, 0.041, 0.042, 0.022, 0.024, 0.022, 0.023, 0.022, 0.188, 0.182, 0.191, 0.187, 0.184, 0.009, 0.008, 0.008, 0.009, 0.009
599, 0.160, 0.161, 0.160, 0.160, 0.159, 0.163, 0.183, 0.194, 0.181, 0.222, 0.163, 0.160, 0.164, 0.162, 0.168, 0.139, 0.102, 0.105, 0.103, 0.106, 0.886, 0.870, 0.886, 0.883, 0.878, 0.037, 0.036, 0.036, 0.037, 0.036
2154, 0.639, 0.639, 0.639, 0.641, 0.640, 0.731, 0.897, 0.826, 1.017, 0.853, 0.645, 0.648, 0.647, 0.660, 0.655, 0.596, 0.655, 0.667, 0.664, 0.714, 3.915, 3.937, 3.927, 3.910, 3.924, 0.164, 0.162, 0.161, 0.163, 0.161
7742, 2.614, 2.633, 2.628, 2.630, 2.627, 97.698, 4.050, 4.125, 4.158, 4.057, 2.653, 2.658, 2.657, 2.663, 2.667, 3.192, 3.646, 3.693, 3.801, 3.706, 17.117, 17.151, 17.138, 173.433, 17.172, 0.899, 0.902, 0.898, 0.906, 0.895
27825, 10.977, 11.260, 167.464, 11.081, 152.206, 174.572, 159.818, 159.261, 174.199, 162.843, 11.724, 11.197, 12.316, 82.040, 76.784, 18.351, 165.650, 24.996, 213.033, 23.625, 384.885, 370.582, 230.404, 402.265, 351.910, 176.203, 4.521, 4.518, 4.607, 4.665
100000, 196.095, 389.705, 203.435, 348.061, 203.873, 498.443, 427.623, 278.796, 313.252, 453.580, 159.206, 238.049, 258.085, 133.028, 131.015, 346.370, 437.498, 387.056, 294.244, 330.502, 556.424, 376.146, 332.207, 338.165, 325.268, 22.524, 23.963, 23.734, 24.262, 24.347
