op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
12, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.006, 0.006, 0.006, 0.007, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.011, 0.013, 0.011, 0.011, 0.011, 0.009, 0.010, 0.009, 0.009, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.006, 0.009, 0.005, 0.006, 0.006, 0.032, 0.036, 0.037, 0.032, 0.038, 0.003, 0.003, 0.003, 0.003, 0.003
166, 0.041, 0.044, 0.041, 0.044, 0.041, 0.047, 0.040, 0.044, 0.041, 0.042, 0.042, 0.041, 0.070, 0.041, 0.041, 0.022, 0.026, 0.023, 0.025, 0.044, 0.190, 0.186, 0.188, 0.172, 0.183, 0.009, 0.009, 0.008, 0.009, 0.009
599, 0.164, 0.164, 0.163, 0.165, 0.164, 0.171, 0.175, 0.191, 0.195, 0.176, 0.164, 0.160, 0.165, 0.162, 0.164, 0.109, 0.117, 0.108, 0.111, 0.114, 0.865, 0.849, 0.871, 0.874, 0.864, 0.037, 0.037, 0.036, 0.037, 0.036
2154, 0.734, 0.663, 0.669, 0.660, 0.666, 0.758, 0.889, 0.861, 0.863, 0.795, 0.676, 0.673, 0.669, 0.672, 0.674, 0.615, 0.683, 0.670, 0.657, 0.666, 3.944, 3.909, 3.933, 4.028, 3.942, 0.164, 0.162, 0.257, 0.162, 0.168
7742, 2.786, 2.770, 2.679, 2.690, 2.998, 3.922, 4.210, 5.085, 3.941, 3.998, 2.870, 2.778, 2.754, 2.702, 2.727, 3.299, 3.887, 3.618, 3.910, 3.973, 17.374, 22.394, 17.154, 17.064, 16.831, 0.838, 0.860, 0.861, 0.875, 0.859
27825, 11.465, 11.640, 11.005, 11.963, 11.279, 19.591, 18.095, 19.876, 20.266, 18.712, 11.209, 12.041, 11.901, 11.282, 11.592, 20.244, 22.941, 26.281, 22.935, 24.693, 75.720, 76.469, 80.809, 78.868, 81.324, 5.259, 4.993, 4.941, 5.182, 6.237
100000, 76.841, 72.634, 74.402, 75.846, 78.495, 122.982, 127.554, 122.887, 135.159, 138.633, 79.534, 82.172, 80.266, 80.951, 83.235, 169.806, 213.011, 200.171, 216.329, 200.159, 347.155, 350.007, 348.433, 375.259, 375.884, 40.479, 53.854, 46.076, 47.315, 47.211
