op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
2, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.004, 0.005, 0.004, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
5, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.004, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.004, 0.003, 0.005, 0.006, 0.004, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003
7, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.006, 0.005, 0.005, 0.004, 0.006, 0.007, 0.006, 0.007, 0.006, 0.004, 0.003, 0.003, 0.003, 0.003
11, 0.008, 0.008, 0.008, 0.008, 0.008, 0.007, 0.008, 0.010, 0.007, 0.007, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.011, 0.010, 0.010, 0.011, 0.010, 0.005, 0.005, 0.005, 0.005, 0.005
17, 0.012, 0.011, 0.012, 0.015, 0.011, 0.011, 0.011, 0.009, 0.011, 0.010, 0.012, 0.011, 0.011, 0.011, 0.012, 0.011, 0.011, 0.010, 0.010, 0.010, 0.019, 0.019, 0.017, 0.018, 0.019, 0.007, 0.007, 0.007, 0.007, 0.007
25, 0.017, 0.017, 0.017, 0.017, 0.017, 0.015, 0.016, 0.016, 0.017, 0.014, 0.017, 0.017, 0.017, 0.017, 0.017, 0.016, 0.015, 0.016, 0.017, 0.019, 0.030, 0.029, 0.030, 0.032, 0.028, 0.010, 0.011, 0.010, 0.010, 0.010
38, 0.028, 0.025, 0.026, 0.026, 0.026, 0.024, 0.024, 0.024, 0.024, 0.028, 0.027, 0.025, 0.026, 0.026, 0.026, 0.042, 0.048, 0.030, 0.026, 0.029, 0.051, 0.054, 0.051, 0.050, 0.054, 0.017, 0.017, 0.017, 0.016, 0.017
58, 0.044, 0.043, 0.048, 0.041, 0.041, 0.043, 0.042, 0.048, 0.045, 0.045, 0.041, 0.041, 0.042, 0.047, 0.041, 0.048, 0.043, 0.047, 0.047, 0.039, 0.089, 0.087, 0.083, 0.087, 0.084, 0.027, 0.027, 0.026, 0.027, 0.030
87, 0.064, 0.065, 0.065, 0.064, 0.064, 0.070, 0.075, 0.063, 0.068, 0.074, 0.068, 0.064, 0.064, 0.066, 0.064, 0.093, 0.077, 0.077, 0.067, 0.074, 0.145, 0.145, 0.146, 0.140, 0.146, 0.042, 0.043, 0.042, 0.041, 0.041
131, 0.103, 0.108, 0.165, 0.107, 0.150, 0.114, 0.114, 0.104, 0.113, 0.108, 0.105, 0.103, 0.103, 0.104, 0.100, 0.124, 0.122, 0.117, 0.131, 0.112, 0.239, 0.243, 0.246, 0.238, 0.235, 0.069, 0.067, 0.073, 0.067, 0.069
196, 0.163, 0.163, 0.163, 0.161, 0.163, 0.184, 0.170, 0.187, 0.179, 0.183, 0.232, 0.163, 0.169, 0.161, 0.162, 0.193, 0.218, 0.185, 0.231, 0.173, 0.388, 0.393, 0.386, 0.398, 0.410, 0.112, 0.107, 0.109, 0.112, 0.109
295, 0.265, 0.260, 0.258, 0.261, 0.260, 0.337, 0.305, 0.306, 0.284, 0.301, 0.262, 0.260, 0.254, 0.258, 0.264, 0.310, 0.324, 0.305, 0.321, 0.326, 0.644, 0.654, 0.666, 0.659, 0.661, 0.183, 0.184, 0.181, 0.179, 0.182
443, 0.422, 0.425, 0.424, 0.418, 0.432, 0.481, 0.523, 0.526, 0.501, 0.545, 0.419, 0.423, 0.421, 0.416, 0.424, 0.542, 0.526, 0.585, 0.509, 0.515, 1.087, 1.112, 1.130, 1.143, 1.130, 0.302, 0.301, 0.301, 0.320, 0.296
