op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.006, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.003, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001
2, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.003, 0.002, 0.002, 0.003, 0.002, 0.003, 0.003, 0.006, 0.003, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
17, 0.004, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.005, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.005, 0.003, 0.005, 0.005, 0.007, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.005, 0.005, 0.005, 0.005, 0.005, 0.006, 0.007, 0.008, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.005, 0.008, 0.005, 0.007, 0.005, 0.009, 0.007, 0.008, 0.007, 0.006, 0.007, 0.002, 0.002, 0.002, 0.002, 0.002
38, 0.007, 0.007, 0.008, 0.007, 0.007, 0.009, 0.012, 0.011, 0.010, 0.012, 0.007, 0.007, 0.007, 0.006, 0.007, 0.010, 0.013, 0.011, 0.009, 0.010, 0.012, 0.012, 0.013, 0.012, 0.013, 0.003, 0.006, 0.003, 0.003, 0.003
58, 0.012, 0.011, 0.011, 0.011, 0.011, 0.017, 0.018, 0.017, 0.017, 0.014, 0.011, 0.011, 0.010, 0.011, 0.011, 0.019, 0.017, 0.014, 0.017, 0.014, 0.022, 0.021, 0.021, 0.021, 0.022, 0.004, 0.004, 0.004, 0.004, 0.007
87, 0.018, 0.017, 0.017, 0.018, 0.019, 0.033, 0.026, 0.029, 0.025, 0.028, 0.017, 0.017, 0.017, 0.018, 0.019, 0.028, 0.022, 0.024, 0.030, 0.021, 0.040, 0.043, 0.037, 0.039, 0.040, 0.006, 0.005, 0.006, 0.008, 0.005
131, 0.029, 0.030, 0.029, 0.033, 0.029, 0.047, 0.041, 0.041, 0.048, 0.044, 0.027, 0.027, 0.026, 0.030, 0.028, 0.035, 0.041, 0.042, 0.041, 0.036, 0.069, 0.067, 0.074, 0.074, 0.076, 0.009, 0.009, 0.011, 0.008, 0.008
196, 0.046, 0.048, 0.046, 0.047, 0.049, 0.075, 0.067, 0.079, 0.060, 0.067, 0.041, 0.046, 0.042, 0.044, 0.049, 0.072, 0.064, 0.075, 0.078, 0.071, 0.121, 0.115, 0.120, 0.120, 0.117, 0.013, 0.013, 0.015, 0.012, 0.012
295, 0.081, 0.075, 0.077, 0.074, 0.080, 0.104, 0.106, 0.113, 0.107, 0.131, 0.089, 0.069, 0.074, 0.072, 0.075, 0.174, 0.126, 0.139, 0.110, 0.117, 0.215, 0.218, 0.205, 0.210, 0.206, 0.023, 0.019, 0.022, 0.019, 0.021
443, 0.123, 0.125, 0.124, 0.121, 0.121, 0.196, 0.180, 0.174, 0.201, 0.182, 0.118, 0.116, 0.113, 0.110, 0.116, 0.177, 0.165, 0.157, 0.189, 0.183, 0.358, 0.359, 0.365, 0.351, 0.346, 0.032, 0.032, 0.028, 0.032, 0.032
666, 0.202, 0.198, 0.202, 0.202, 0.203, 0.266, 0.267, 0.269, 0.298, 0.276, 0.183, 0.186, 0.180, 0.175, 0.180, 0.275, 0.280, 0.280, 0.281, 0.283, 0.587, 0.598, 0.590, 0.600, 0.600, 0.049, 0.048, 0.048, 0.048, 0.047
999, 0.325, 0.343, 0.354, 0.336, 0.334, 0.452, 0.475, 0.484, 0.504, 0.424, 0.297, 0.300, 0.288, 0.290, 0.299, 0.434, 0.476, 0.432, 0.424, 0.456, 1.002, 0.997, 1.013, 1.005, 1.019, 0.078, 0.071, 0.075, 0.071, 0.074
1501, 0.520, 0.517, 0.516, 0.529, 0.516, 0.792, 0.733, 0.765, 0.768, 0.683, 0.458, 0.476, 0.486, 0.471, 0.465, 0.706, 0.726, 0.670, 0.661, 0.682, 1.654, 1.662, 1.667, 1.647, 1.642, 0.149, 0.110, 0.109, 0.111, 0.110
2253, 0.808, 0.800, 0.802, 0.805, 0.806, 1.073, 1.159, 1.157, 1.141, 1.106, 0.756, 0.721, 0.722, 0.848, 0.717, 1.030, 1.060, 1.085, 1.043, 1.110, 2.649, 2.640, 2.672, 2.851, 2.852, 0.207, 0.178, 0.175, 0.178, 0.175
3383, 1.333, 1.307, 1.321, 1.320, 1.295, 1.795, 1.743, 1.778, 1.926, 1.831, 1.176, 1.161, 1.172, 1.169, 1.158, 1.825, 1.847, 1.971, 2.018, 2.059, 4.360, 4.350, 4.377, 4.385, 4.345, 0.273, 0.273, 0.269, 0.274, 0.271
5080, 2.012, 2.034, 2.193, 2.134, 2.040, 2.626, 2.626, 2.757, 2.863, 2.919, 1.899, 1.844, 1.858, 1.828, 1.835, 2.835, 2.707, 2.776, 2.882, 2.826, 7.119, 7.084, 7.096, 7.100, 7.098, 0.436, 0.433, 0.470, 0.432, 0.433
7626, 3.251, 3.253, 3.221, 3.212, 3.290, 4.427, 4.328, 4.714, 4.620, 4.596, 2.926, 2.799, 3.023, 2.898, 2.902, 4.678, 4.386, 4.681, 4.551, 4.790, 11.507, 11.561, 11.637, 11.448, 11.453, 0.693, 0.683, 0.690, 0.690, 0.687
11450, 5.249, 5.079, 5.117, 5.179, 5.102, 6.981, 7.203, 7.403, 7.265, 7.301, 4.637, 4.599, 4.550, 4.646, 4.729, 7.594, 7.494, 7.618, 7.821, 7.645, 18.536, 18.300, 18.332, 18.368, 18.419, 1.121, 1.119, 1.090, 1.088, 1.081
17190, 8.158, 8.162, 8.104, 8.196, 8.183, 11.660, 11.369, 10.941, 11.670, 11.023, 7.550, 7.261, 7.425, 7.325, 7.246, 12.133, 12.323, 12.148, 12.239, 12.368, 29.873, 29.863, 30.017, 29.488, 29.499, 1.756, 1.718, 1.715, 1.850, 1.728
