op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
12, 0.005, 0.005, 0.005, 0.005, 0.005, 0.010, 0.006, 0.006, 0.005, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004, 0.007, 0.006, 0.005, 0.007, 0.005, 0.007, 0.006, 0.006, 0.004, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003
46, 0.017, 0.015, 0.015, 0.015, 0.015, 0.022, 0.019, 0.021, 0.021, 0.020, 0.017, 0.015, 0.015, 0.016, 0.015, 0.020, 0.023, 0.019, 0.019, 0.016, 0.027, 0.023, 0.024, 0.023, 0.020, 0.008, 0.008, 0.007, 0.008, 0.008
166, 0.073, 0.073, 0.069, 0.069, 0.065, 0.094, 0.103, 0.106, 0.101, 0.089, 0.070, 0.066, 0.067, 0.070, 0.062, 0.108, 0.090, 0.107, 0.088, 0.084, 0.134, 0.141, 0.129, 0.136, 0.140, 0.033, 0.033, 0.034, 0.035, 0.034
599, 0.493, 0.347, 0.350, 0.331, 0.323, 0.491, 0.461, 0.470, 0.483, 0.480, 0.324, 0.313, 0.317, 0.312, 0.321, 0.473, 0.455, 0.468, 0.436, 0.462, 0.757, 0.762, 0.746, 0.779, 0.741, 0.160, 0.161, 0.161, 0.157, 0.158
2154, 2.205, 1.698, 1.592, 1.559, 1.567, 2.274, 2.456, 2.415, 2.337, 2.296, 1.563, 1.542, 1.677, 1.609, 1.590, 2.437, 2.277, 2.219, 2.178, 2.205, 3.722, 3.767, 3.819, 3.801, 3.827, 0.847, 0.842, 0.859, 0.837, 0.824
7742, 9.614, 7.469, 7.649, 7.274, 7.480, 10.875, 10.983, 11.044, 12.395, 11.198, 7.424, 7.295, 7.225, 7.436, 7.745, 14.482, 11.598, 11.517, 11.039, 11.285, 18.219, 18.372, 18.095, 18.343, 18.736, 4.302, 5.790, 4.173, 4.228, 4.273
27825, 55.446, 39.024, 37.345, 36.797, 36.867, 59.818, 58.613, 59.730, 63.131, 60.422, 38.909, 37.515, 37.942, 37.681, 37.950, 72.345, 60.621, 61.439, 64.092, 65.930, 93.801, 96.736, 92.275, 90.092, 91.854, 25.190, 26.713, 25.241, 24.910, 23.695
100000, 259.166, 203.561, 184.053, 185.846, 189.027, 301.327, 302.386, 303.719, 282.924, 283.161, 173.746, 175.566, 206.473, 173.363, 171.810, 340.584, 329.029, 332.328, 321.474, 327.282, 417.476, 420.096, 418.230, 415.545, 421.506, 136.302, 130.500, 126.138, 131.760, 128.655
