op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
12, 0.010, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.006, 0.004, 0.003, 0.003, 0.004, 0.006, 0.003, 0.004, 0.003, 0.003, 0.005, 0.004, 0.004, 0.003, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.013, 0.015, 0.013, 0.015, 0.016, 0.009, 0.009, 0.009, 0.012, 0.011, 0.012, 0.011, 0.014, 0.010, 0.011, 0.011, 0.010, 0.013, 0.010, 0.009, 0.014, 0.015, 0.015, 0.017, 0.014, 0.005, 0.004, 0.004, 0.004, 0.004
166, 0.067, 0.076, 0.078, 0.075, 0.074, 0.041, 0.050, 0.046, 0.044, 0.048, 0.058, 0.049, 0.054, 0.049, 0.053, 0.054, 0.059, 0.058, 0.053, 0.041, 0.106, 0.105, 0.100, 0.109, 0.100, 0.019, 0.016, 0.013, 0.013, 0.016
599, 0.319, 0.341, 0.357, 0.324, 0.317, 0.212, 0.194, 0.205, 0.216, 0.201, 0.275, 0.243, 0.206, 0.206, 0.213, 0.318, 0.218, 0.256, 0.205, 0.236, 0.604, 0.566, 0.604, 0.581, 0.614, 0.054, 0.052, 0.052, 0.051, 0.052
2154, 1.456, 1.473, 1.482, 1.475, 1.446, 1.006, 0.949, 1.049, 0.917, 0.966, 0.893, 0.917, 0.896, 0.903, 0.889, 1.023, 1.052, 1.013, 0.987, 1.018, 2.986, 3.045, 3.090, 3.063, 3.075, 0.209, 0.204, 0.204, 0.209, 0.203
7742, 6.334, 6.183, 6.314, 8.665, 6.288, 4.240, 4.484, 4.274, 4.336, 4.478, 3.854, 3.609, 3.792, 3.692, 3.715, 4.302, 4.464, 4.835, 4.590, 4.730, 14.230, 14.217, 14.292, 14.540, 14.289, 0.863, 0.853, 0.858, 0.862, 0.867
27825, 27.641, 27.571, 27.744, 27.870, 27.328, 18.038, 18.776, 19.535, 19.301, 17.211, 15.328, 15.456, 15.464, 15.559, 15.421, 21.141, 21.485, 22.851, 22.382, 22.763, 64.239, 63.947, 64.304, 67.491, 67.634, 4.186, 4.118, 3.998, 3.928, 4.164
100000, 120.086, 124.100, 130.020, 131.003, 130.270, 91.806, 95.704, 95.136, 95.585, 96.174, 68.948, 72.486, 74.775, 71.145, 71.345, 122.068, 135.475, 147.126, 143.628, 144.228, 294.869, 292.866, 291.904, 296.794, 301.852, 18.523, 20.790, 20.656, 20.664, 20.771
