op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.006, 0.006, 0.006, 0.006, 0.007, 0.006, 0.004, 0.004, 0.004, 0.004, 0.008, 0.007, 0.007, 0.008, 0.006, 0.003, 0.002, 0.002, 0.002, 0.002
46, 0.031, 0.031, 0.031, 0.031, 0.032, 0.010, 0.010, 0.009, 0.009, 0.010, 0.023, 0.024, 0.025, 0.026, 0.024, 0.013, 0.017, 0.016, 0.015, 0.014, 0.043, 0.045, 0.046, 0.050, 0.047, 0.005, 0.005, 0.005, 0.005, 0.004
166, 0.135, 0.139, 0.134, 0.136, 0.135, 0.044, 0.042, 0.039, 0.044, 0.042, 0.093, 0.089, 0.089, 0.088, 0.090, 0.060, 0.049, 0.057, 0.053, 0.053, 0.266, 0.290, 0.317, 0.278, 0.282, 0.016, 0.015, 0.014, 0.013, 0.014
599, 0.591, 0.592, 0.591, 0.594, 0.587, 0.177, 0.204, 0.207, 0.192, 0.185, 0.362, 0.353, 0.350, 0.348, 0.356, 0.215, 0.208, 0.211, 0.284, 0.226, 1.587, 1.552, 1.641, 1.473, 1.627, 0.057, 0.053, 0.053, 0.052, 0.051
2154, 2.504, 2.494, 2.477, 2.476, 2.495, 0.811, 0.792, 0.855, 0.856, 0.778, 126.388, 1.359, 1.386, 1.372, 1.368, 0.928, 0.924, 0.922, 0.887, 0.907, 7.071, 8.367, 141.147, 7.395, 7.491, 0.219, 0.216, 0.217, 0.213, 0.213
7742, 10.458, 10.413, 10.441, 10.409, 10.465, 3.760, 3.994, 3.746, 160.313, 3.709, 5.406, 5.420, 5.402, 5.419, 5.410, 4.128, 114.785, 4.220, 4.046, 4.139, 207.974, 145.450, 196.711, 206.795, 174.823, 0.949, 0.962, 0.961, 0.952, 0.970
27825, 200.718, 169.856, 123.276, 123.149, 306.703, 126.041, 17.579, 17.381, 19.117, 17.750, 21.855, 21.649, 21.918, 22.090, 178.312, 176.475, 177.365, 22.409, 178.326, 177.065, 627.142, 609.909, 804.560, 551.000, 621.492, 4.508, 4.460, 4.452, 4.481, 145.671
100000, 1017.919, 777.985, 734.067, 605.770, 674.943, 265.582, 265.718, 235.783, 149.755, 193.532, 247.506, 170.835, 186.992, 199.159, 237.523, 212.398, 202.510, 247.426, 195.135, 170.852, 1172.584, 692.356, 670.720, 655.591, 644.213, 21.250, 20.768, 21.154, 20.718, 20.806
