op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.014, 0.001, 0.001, 0.016, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.004, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.005, 0.005, 0.006, 0.006, 0.002, 0.002, 0.003, 0.002, 0.003, 0.005, 0.005, 0.006, 0.005, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003, 0.006, 0.007, 0.006, 0.005, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002
17, 0.010, 0.009, 0.009, 0.009, 0.009, 0.003, 0.004, 0.003, 0.003, 0.003, 0.008, 0.007, 0.007, 0.008, 0.008, 0.004, 0.006, 0.006, 0.006, 0.006, 0.010, 0.010, 0.009, 0.010, 0.011, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.014, 0.014, 0.015, 0.014, 0.015, 0.005, 0.005, 0.005, 0.004, 0.004, 0.012, 0.011, 0.011, 0.011, 0.011, 0.008, 0.008, 0.008, 0.008, 0.007, 0.018, 0.017, 0.017, 0.014, 0.015, 0.003, 0.003, 0.003, 0.003, 0.003
38, 0.023, 0.023, 0.023, 0.025, 0.023, 0.007, 0.007, 0.007, 0.008, 0.007, 0.019, 0.072, 0.019, 0.017, 0.017, 0.012, 0.012, 0.011, 0.011, 0.011, 0.029, 0.035, 0.030, 0.027, 0.035, 0.004, 0.004, 0.004, 0.004, 0.004
58, 0.036, 0.038, 0.037, 0.037, 0.037, 0.012, 0.012, 0.011, 0.013, 0.011, 0.029, 0.027, 0.028, 0.028, 0.027, 0.016, 0.015, 0.015, 0.017, 0.017, 0.058, 0.073, 0.058, 0.048, 0.057, 0.006, 0.005, 0.005, 0.005, 0.005
87, 0.060, 0.060, 0.060, 0.059, 0.060, 0.020, 0.018, 0.018, 0.018, 0.018, 0.042, 0.043, 0.043, 0.045, 0.041, 0.027, 0.028, 0.023, 0.026, 0.025, 0.104, 0.217, 0.131, 0.124, 0.106, 0.009, 0.008, 0.007, 0.041, 0.089
131, 0.104, 0.163, 0.097, 0.098, 0.097, 0.033, 0.029, 0.028, 0.027, 0.031, 0.067, 0.065, 0.063, 0.066, 0.064, 0.041, 0.038, 0.041, 0.036, 0.037, 0.199, 0.188, 0.175, 0.180, 0.202, 0.013, 0.011, 0.011, 0.011, 0.011
196, 0.155, 0.156, 0.157, 0.207, 0.163, 0.048, 0.050, 0.044, 0.044, 0.050, 0.099, 0.099, 0.100, 0.099, 0.098, 0.059, 0.059, 0.057, 0.060, 0.056, 0.394, 0.282, 0.389, 0.304, 0.319, 0.018, 0.017, 0.016, 0.017, 0.016
295, 0.243, 0.246, 0.246, 0.245, 0.246, 0.078, 0.084, 0.072, 0.074, 0.079, 0.153, 0.152, 0.151, 0.150, 0.153, 0.112, 0.101, 0.141, 0.102, 0.099, 0.556, 0.656, 0.642, 0.529, 0.660, 0.027, 0.025, 0.025, 0.040, 0.025
443, 0.394, 0.387, 0.391, 0.391, 0.394, 0.119, 0.119, 0.139, 0.119, 0.128, 0.239, 0.238, 0.232, 0.236, 0.266, 0.144, 0.146, 0.144, 0.149, 0.150, 1.198, 1.058, 0.975, 0.998, 1.124, 0.041, 0.039, 0.037, 0.037, 0.037
666, 0.628, 0.623, 0.623, 0.619, 0.621, 0.208, 0.217, 0.188, 0.202, 0.201, 0.366, 0.365, 0.364, 0.360, 0.367, 0.224, 0.280, 0.233, 0.227, 0.333, 2.190, 1.772, 1.566, 1.787, 1.511, 0.061, 0.057, 0.058, 0.058, 0.057
999, 0.985, 0.980, 0.987, 1.032, 0.985, 0.332, 0.340, 0.315, 0.303, 0.321, 0.557, 0.612, 0.563, 0.560, 0.548, 0.350, 0.364, 0.398, 0.365, 0.337, 3.112, 4.004, 2.759, 2.970, 3.045, 0.093, 0.090, 0.090, 0.089, 0.089
1501, 1.554, 1.626, 1.558, 1.552, 1.575, 0.497, 0.481, 0.505, 0.496, 0.505, 0.864, 0.863, 0.861, 0.870, 0.858, 0.573, 0.587, 0.578, 0.580, 0.625, 4.413, 4.112, 4.974, 4.844, 4.758, 0.142, 0.140, 0.140, 0.140, 0.139
2253, 2.575, 2.474, 2.476, 2.549, 2.474, 0.833, 0.814, 0.800, 0.812, 0.759, 1.333, 1.322, 1.333, 1.348, 1.404, 0.913, 0.947, 0.946, 0.953, 0.912, 7.932, 7.435, 7.301, 9.457, 7.868, 0.224, 0.222, 0.222, 0.225, 0.220
3383, 3.887, 3.923, 3.906, 3.908, 3.902, 1.387, 1.388, 1.316, 1.356, 1.300, 2.032, 2.091, 2.054, 2.057, 2.015, 1.507, 1.542, 1.542, 1.485, 1.540, 11.779, 12.774, 13.435, 11.703, 13.199, 0.350, 0.351, 0.345, 0.346, 0.347
5080, 6.112, 6.121, 6.144, 6.156, 6.171, 2.203, 2.198, 2.275, 2.017, 2.265, 3.246, 3.123, 3.190, 3.144, 3.234, 2.400, 2.503, 2.451, 2.355, 2.428, 20.496, 20.437, 21.204, 21.578, 20.833, 0.559, 0.558, 0.573, 0.554, 0.560
7626, 9.685, 9.775, 9.644, 9.729, 9.953, 3.447, 3.263, 3.709, 3.465, 3.510, 4.912, 4.872, 4.949, 4.937, 4.885, 3.934, 3.911, 3.908, 3.871, 3.968, 30.961, 31.155, 32.563, 32.085, 34.079, 0.919, 0.919, 0.925, 0.924, 0.922
11450, 15.159, 15.176, 15.152, 15.159, 15.136, 5.503, 5.781, 5.380, 5.797, 5.618, 7.694, 7.717, 7.588, 7.708, 7.529, 6.269, 6.047, 6.333, 6.331, 6.175, 52.078, 53.918, 49.613, 48.594, 51.238, 1.491, 1.496, 1.498, 1.505, 1.494
17190, 24.140, 23.851, 23.726, 25.464, 23.830, 8.597, 9.140, 8.842, 8.754, 9.113, 11.594, 11.679, 11.626, 11.700, 11.630, 10.284, 9.884, 10.048, 10.109, 10.077, 80.511, 82.326, 79.405, 81.478, 81.797, 2.453, 2.477, 2.444, 2.478, 2.451
25808, 37.819, 37.616, 37.573, 37.442, 37.696, 14.160, 13.306, 15.158, 15.038, 14.466, 18.395, 17.916, 18.114, 17.952, 18.432, 16.620, 16.770, 16.165, 16.215, 16.173, 126.422, 133.569, 125.565, 129.089, 129.872, 3.963, 4.086, 3.986, 3.996, 3.972
38746, 58.693, 58.342, 58.503, 59.307, 58.387, 23.162, 21.838, 22.107, 25.222, 23.161, 28.120, 28.456, 27.995, 27.579, 27.701, 28.672, 29.226, 28.698, 28.598, 30.261, 200.601, 209.150, 202.455, 203.368, 208.340, 6.629, 6.363, 6.541, 6.755, 6.412
58170, 92.826, 92.529, 92.995, 92.161, 93.902, 37.168, 36.595, 38.829, 37.280, 35.781, 44.256, 44.785, 44.280, 43.457, 44.090, 49.066, 50.260, 49.198, 49.921, 49.146, 312.490, 318.295, 316.662, 319.153, 323.627, 10.303, 10.312, 10.301, 10.529, 10.226
87332, 149.171, 148.345, 147.495, 147.959, 149.576, 64.193, 62.687, 62.494, 63.138, 63.693, 72.290, 72.229, 72.094, 71.130, 70.885, 85.884, 83.936, 85.199, 83.896, 83.450, 497.855, 506.136, 503.467, 507.049, 509.153, 16.692, 16.633, 16.569, 16.598, 16.876
131113, 237.166, 239.101, 237.901, 239.973, 237.940, 110.702, 109.448, 112.835, 110.567, 106.049, 119.829, 118.191, 119.981, 118.522, 120.510, 145.424, 144.650, 142.832, 143.916, 143.998, 803.618, 795.200, 803.477, 794.277, 786.903, 29.827, 29.739, 29.254, 29.453, 30.422
196841, 386.001, 384.915, 385.072, 386.127, 386.303, 182.573, 178.959, 182.454, 178.730, 188.770, 193.714, 194.035, 194.876, 195.438, 195.531, 244.532, 243.536, 245.443, 243.395, 243.074, 1256.221, 1263.236, 1272.567, 1265.536, 1265.653, 55.743, 56.637, 56.812, 56.253, 55.958
295520, 617.107, 617.061, 617.084, 618.526, 616.482, 315.291, 305.552, 292.151, 318.065, 308.981, 315.430, 310.174, 315.310, 314.016, 311.822, 410.897, 411.234, 408.809, 406.973, 408.306, 1995.451, 2004.736, 2009.385, 1981.493, 2015.372, 102.996, 97.692, 98.046, 96.596, 98.455
443668, 999.073, 1002.737, 1001.505, 995.292, 999.401, 495.107, 519.278, 501.370, 501.555, 507.130, 515.788, 512.861, 515.516, 512.012, 509.739, 686.673, 689.182, 691.334, 692.318, 692.551, 3212.124, 3191.486, 3290.216, 3377.540, 3283.322, 172.481, 174.873, 168.006, 170.288, 175.650
666084, 1595.375, 1592.306, 1613.996, 1593.563, 1598.668, 861.268, 855.537, 857.069, 830.547, 818.834, 816.623, 815.534, 821.447, 815.159, 819.542, 1122.372, 1125.724, 1136.371, 1139.211, 1125.241, 5019.115, 5028.147, 5030.464, 5000.191, 5022.341, 296.535, 297.397, 296.657, 299.233, 299.236
1000000, 2534.843, 2529.521, 2530.412, 2550.672, 2525.706, 1375.990, 1295.315, 1376.076, 1383.397, 1374.087, 1309.734, 1320.284, 1327.121, 1330.812, 1328.163, 1895.380, 1893.255, 1902.706, 1892.040, 1896.630, 7981.256, 7965.466, 7965.098, 7962.638, 7964.897, 510.961, 516.977, 514.893, 516.419, 508.962
