op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.007, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.006, 0.006, 0.006, 0.006, 0.007, 0.005, 0.005, 0.005, 0.004, 0.004, 0.007, 0.005, 0.006, 0.006, 0.007, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.032, 0.031, 0.031, 0.032, 0.032, 0.011, 0.010, 0.010, 0.010, 0.009, 0.022, 0.023, 0.022, 0.023, 0.023, 0.014, 0.014, 0.015, 0.015, 0.014, 0.044, 0.040, 0.039, 0.038, 0.046, 0.005, 0.005, 0.005, 0.005, 0.005
166, 0.136, 0.138, 0.139, 0.139, 0.141, 0.038, 0.041, 0.043, 0.041, 0.041, 0.091, 0.087, 0.089, 0.088, 0.091, 0.056, 0.053, 0.054, 0.052, 0.056, 0.242, 0.239, 0.308, 0.230, 0.288, 0.016, 0.015, 0.014, 0.014, 0.014
599, 0.606, 0.602, 0.605, 0.602, 0.601, 0.183, 0.175, 0.187, 0.221, 0.181, 0.344, 0.358, 0.344, 0.353, 0.356, 0.215, 0.202, 0.220, 0.222, 0.209, 1.684, 1.981, 1.606, 1.513, 1.456, 0.056, 0.053, 0.052, 0.051, 0.052
2154, 2.521, 81.677, 2.549, 2.543, 2.571, 0.789, 0.814, 0.839, 0.812, 0.876, 1.362, 1.335, 1.359, 1.349, 1.360, 0.976, 0.938, 0.919, 0.946, 0.954, 7.330, 7.757, 7.031, 7.811, 6.505, 0.221, 0.219, 0.215, 0.218, 0.216
7742, 10.681, 10.587, 10.631, 10.736, 159.553, 3.735, 3.890, 3.564, 3.715, 3.597, 5.364, 5.242, 5.286, 145.897, 5.253, 4.147, 4.313, 157.190, 4.214, 4.258, 34.636, 174.587, 174.468, 174.042, 174.033, 0.995, 1.019, 1.012, 1.000, 1.000
27825, 185.533, 231.544, 122.716, 156.125, 159.281, 143.743, 158.422, 144.619, 16.717, 18.647, 178.545, 178.171, 190.064, 171.988, 22.095, 192.737, 25.369, 177.669, 197.621, 177.993, 585.174, 627.880, 604.816, 616.554, 575.543, 4.990, 4.918, 4.936, 5.036, 4.941
100000, 917.070, 800.944, 712.560, 701.227, 717.138, 295.530, 211.827, 165.508, 221.468, 243.840, 243.790, 210.756, 213.756, 240.380, 234.010, 275.185, 234.990, 279.157, 211.658, 208.661, 649.875, 668.025, 649.030, 573.644, 577.110, 21.598, 21.471, 22.454, 21.654, 21.737
