op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.008, 0.007, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.006, 0.005, 0.007, 0.006, 0.004, 0.005, 0.005, 0.004, 0.004, 0.006, 0.007, 0.006, 0.006, 0.005, 0.003, 0.002, 0.002, 0.002, 0.002
46, 0.031, 0.034, 0.030, 0.032, 0.032, 0.010, 0.010, 0.009, 0.009, 0.010, 0.024, 0.023, 0.023, 0.022, 0.026, 0.014, 0.017, 0.013, 0.014, 0.015, 0.038, 0.039, 0.041, 0.045, 0.042, 0.005, 0.005, 0.005, 0.005, 0.005
166, 0.141, 0.141, 0.141, 0.140, 0.145, 0.044, 0.045, 0.041, 0.045, 0.038, 0.088, 0.094, 0.089, 0.089, 0.088, 0.057, 0.054, 0.058, 0.055, 0.057, 0.270, 0.266, 0.236, 0.267, 0.228, 0.016, 0.015, 0.014, 0.014, 0.014
599, 0.619, 0.616, 0.617, 0.609, 0.608, 0.188, 0.196, 0.175, 0.190, 0.198, 0.349, 0.347, 0.340, 0.347, 0.342, 0.221, 0.228, 0.221, 0.228, 0.224, 1.542, 1.368, 1.555, 1.762, 1.280, 0.055, 0.053, 0.052, 0.051, 0.052
2154, 2.615, 2.607, 2.593, 2.589, 2.628, 0.813, 0.884, 0.827, 0.777, 0.896, 1.341, 1.363, 1.372, 1.377, 1.374, 0.946, 0.963, 0.951, 0.953, 0.957, 7.662, 7.789, 7.312, 8.489, 10.846, 0.220, 0.220, 0.220, 0.219, 0.220
7742, 11.263, 11.274, 13.759, 11.094, 11.563, 4.122, 3.921, 4.454, 3.779, 4.528, 5.599, 5.393, 5.688, 5.549, 5.667, 4.570, 4.549, 4.484, 4.603, 4.407, 37.722, 34.096, 33.554, 34.822, 34.669, 1.008, 1.021, 0.993, 1.034, 1.016
27825, 51.525, 50.770, 53.704, 57.184, 49.732, 22.086, 20.028, 20.274, 22.333, 21.796, 24.515, 25.423, 24.832, 26.008, 26.827, 26.279, 26.807, 26.550, 27.064, 25.681, 155.862, 162.427, 160.166, 161.469, 160.777, 5.287, 6.009, 5.103, 5.128, 5.334
100000, 238.353, 226.403, 236.322, 231.686, 245.585, 107.420, 111.613, 106.640, 103.211, 108.088, 116.715, 117.747, 131.900, 137.914, 122.834, 152.031, 148.249, 152.057, 148.280, 147.445, 677.727, 666.909, 693.338, 677.842, 686.432, 40.955, 39.103, 39.663, 38.805, 40.724
