op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.004, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.007, 0.002, 0.001, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
12, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004, 0.005, 0.004, 0.004, 0.004, 0.004, 0.012, 0.005, 0.006, 0.004, 0.006, 0.007, 0.006, 0.006, 0.006, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002
46, 0.030, 0.029, 0.031, 0.033, 0.030, 0.020, 0.016, 0.016, 0.018, 0.017, 0.016, 0.016, 0.016, 0.017, 0.015, 0.030, 0.024, 0.030, 0.021, 0.025, 0.034, 0.035, 0.033, 0.034, 0.032, 0.006, 0.005, 0.005, 0.005, 0.005
166, 0.148, 0.143, 0.136, 0.139, 0.140, 0.073, 0.069, 0.073, 0.072, 0.069, 0.066, 0.069, 0.066, 0.067, 0.065, 0.144, 0.103, 0.097, 0.104, 0.096, 0.191, 0.170, 0.176, 0.179, 0.172, 0.022, 0.018, 0.015, 0.015, 0.014
599, 0.641, 0.615, 0.591, 0.609, 0.619, 0.326, 0.321, 0.346, 0.308, 0.332, 0.271, 0.274, 0.277, 0.279, 0.284, 0.516, 0.416, 0.422, 0.445, 0.436, 0.854, 0.861, 0.838, 0.834, 0.833, 0.063, 0.059, 0.058, 0.057, 0.057
2154, 2.863, 2.641, 2.647, 2.622, 2.675, 1.307, 1.340, 1.337, 1.360, 1.354, 1.123, 1.151, 1.136, 1.144, 1.138, 143.358, 1.806, 1.978, 1.961, 1.959, 3.888, 3.775, 3.782, 3.767, 3.775, 0.243, 0.234, 0.235, 0.230, 0.233
7742, 11.806, 167.534, 11.112, 11.150, 11.084, 146.906, 5.876, 6.395, 6.013, 5.760, 4.793, 4.670, 4.870, 177.742, 4.716, 10.601, 8.076, 8.232, 8.188, 165.063, 17.074, 16.513, 167.209, 16.520, 126.216, 1.035, 1.116, 1.122, 1.087, 1.098
27825, 174.492, 188.445, 205.517, 174.613, 376.139, 25.183, 167.659, 26.247, 150.972, 25.558, 160.759, 173.464, 20.302, 160.807, 20.234, 279.367, 201.053, 136.574, 185.370, 163.256, 330.972, 340.948, 294.115, 236.500, 228.474, 5.685, 5.599, 161.931, 5.571, 5.561
100000, 978.978, 983.934, 854.065, 995.467, 961.098, 604.376, 629.694, 614.125, 630.395, 594.666, 393.255, 355.798, 374.200, 381.815, 350.952, 947.362, 772.186, 634.480, 748.277, 911.129, 1061.167, 751.926, 551.136, 633.471, 661.999, 30.838, 88.635, 85.432, 90.755, 92.967
