op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
12, 0.010, 0.011, 0.010, 0.009, 0.010, 0.010, 0.008, 0.007, 0.007, 0.007, 0.008, 0.007, 0.007, 0.008, 0.007, 0.010, 0.010, 0.010, 0.010, 0.010, 0.010, 0.009, 0.008, 0.009, 0.009, 0.005, 0.005, 0.005, 0.004, 0.004
46, 0.042, 0.046, 0.043, 0.040, 0.042, 0.031, 0.030, 0.031, 0.029, 0.033, 0.029, 0.029, 0.029, 0.028, 0.029, 0.042, 0.037, 0.040, 0.041, 0.041, 0.050, 0.050, 0.047, 0.045, 0.047, 0.016, 0.016, 0.016, 0.016, 0.016
166, 0.189, 0.197, 0.189, 0.195, 0.196, 0.138, 0.141, 0.146, 0.137, 0.143, 0.122, 0.125, 0.125, 0.122, 0.123, 0.175, 0.178, 0.174, 0.161, 0.175, 0.240, 0.240, 0.235, 0.235, 0.233, 0.066, 0.069, 0.068, 0.069, 0.076
599, 0.859, 0.859, 0.874, 0.896, 0.854, 0.671, 0.641, 0.687, 0.691, 0.673, 0.512, 0.521, 0.537, 0.530, 0.548, 1.015, 0.801, 0.808, 0.806, 0.864, 1.144, 1.134, 1.145, 1.170, 1.159, 0.308, 0.305, 0.304, 0.307, 0.303
2154, 4.319, 3.826, 3.789, 3.827, 3.782, 3.014, 3.192, 3.033, 3.080, 3.045, 2.324, 2.376, 2.315, 2.544, 2.355, 3.976, 3.378, 3.518, 3.476, 3.453, 5.256, 5.294, 5.507, 8.466, 5.408, 1.441, 1.501, 1.474, 1.429, 1.473
7742, 29.775, 18.442, 19.809, 17.741, 17.772, 15.163, 14.538, 15.551, 15.280, 15.954, 11.699, 12.018, 11.584, 11.113, 12.235, 18.687, 17.533, 17.675, 17.923, 17.339, 24.825, 25.223, 25.230, 25.139, 26.264, 7.158, 7.251, 7.271, 7.141, 7.193
27825, 173.574, 88.254, 106.552, 86.110, 85.519, 74.582, 77.059, 78.878, 82.560, 85.199, 58.342, 57.695, 74.796, 54.145, 52.981, 101.178, 94.198, 91.819, 92.319, 93.625, 115.554, 117.499, 118.744, 116.865, 118.250, 39.776, 39.166, 39.208, 38.468, 37.512
100000, 707.683, 431.984, 421.358, 427.813, 417.338, 390.249, 403.995, 429.530, 395.700, 392.658, 289.290, 271.682, 288.691, 238.673, 238.468, 489.288, 447.222, 452.452, 499.250, 492.457, 531.660, 537.970, 552.411, 559.723, 540.839, 193.040, 193.601, 193.326, 183.062, 185.091
