op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
12, 0.010, 0.009, 0.009, 0.009, 0.009, 0.005, 0.005, 0.005, 0.005, 0.005, 0.009, 0.008, 0.008, 0.008, 0.008, 0.008, 0.006, 0.006, 0.007, 0.007, 0.009, 0.008, 0.010, 0.008, 0.009, 0.004, 0.004, 0.004, 0.004, 0.004
46, 0.042, 0.039, 0.040, 0.040, 0.039, 0.022, 0.020, 0.021, 0.020, 0.020, 0.031, 0.030, 0.031, 0.030, 0.031, 0.026, 0.025, 0.025, 0.027, 0.026, 0.049, 0.075, 0.063, 0.053, 0.047, 0.014, 0.013, 0.013, 0.013, 0.013
166, 0.195, 0.178, 0.180, 0.180, 0.181, 0.095, 0.097, 0.099, 0.093, 0.095, 0.132, 0.128, 0.129, 0.129, 0.129, 0.107, 0.115, 0.133, 0.111, 0.120, 0.276, 0.355, 0.442, 0.307, 0.326, 0.058, 0.059, 0.058, 0.058, 0.058
599, 0.880, 0.848, 0.872, 0.865, 0.828, 0.484, 0.509, 0.454, 0.458, 0.509, 0.597, 0.580, 0.583, 2.216, 2.243, 0.541, 0.579, 0.586, 0.569, 0.590, 1.665, 2.413, 1.784, 2.027, 2.187, 0.326, 0.315, 0.320, 0.291, 0.300
2154, 4.176, 4.098, 4.191, 4.391, 4.163, 2.554, 2.615, 2.708, 2.770, 2.673, 2.856, 2.784, 3.040, 2.800, 2.719, 3.138, 3.676, 3.016, 3.121, 3.113, 12.431, 10.923, 12.265, 10.108, 10.701, 1.680, 1.732, 1.651, 1.648, 1.720
7742, 19.493, 19.736, 19.779, 19.101, 19.252, 12.654, 13.148, 13.012, 13.735, 13.853, 13.379, 13.286, 13.407, 13.499, 13.482, 16.958, 17.137, 17.661, 17.198, 17.011, 47.570, 49.651, 47.791, 48.445, 49.493, 9.166, 9.194, 8.975, 9.141, 9.278
27825, 87.989, 89.072, 87.446, 85.967, 85.814, 62.974, 68.936, 71.316, 75.965, 62.401, 59.828, 58.967, 60.062, 57.795, 57.484, 83.937, 91.076, 85.758, 82.895, 90.285, 223.700, 279.366, 200.773, 191.762, 193.479, 41.631, 41.533, 42.747, 41.564, 40.852
100000, 358.135, 357.789, 358.146, 356.248, 358.172, 280.205, 287.231, 277.114, 286.080, 282.620, 248.553, 246.521, 244.258, 246.357, 246.016, 376.561, 384.133, 381.742, 381.167, 385.057, 892.751, 899.086, 894.752, 891.655, 887.382, 210.450, 212.375, 206.127, 211.884, 212.322
