op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.017, 0.006, 0.006, 0.006, 0.006, 0.009, 0.003, 0.004, 0.004, 0.004, 0.012, 0.004, 0.004, 0.004, 0.004, 0.034, 0.007, 0.004, 0.006, 0.004, 0.006, 0.004, 0.004, 0.006, 0.004
12, 0.063, 0.039, 0.039, 0.039, 0.039, 0.024, 0.025, 0.022, 0.021, 0.023, 0.024, 0.024, 0.023, 0.023, 0.022, 0.025, 0.035, 0.061, 0.047, 0.038, 0.018, 0.017, 0.017, 0.016, 0.017
46, 0.208, 0.200, 0.200, 0.202, 0.201, 0.107, 0.108, 0.100, 0.100, 0.097, 0.104, 0.102, 0.105, 0.104, 0.102, 0.205, 0.164, 0.154, 0.143, 0.139, 0.063, 0.058, 0.061, 0.060, 0.058
166, 0.932, 0.929, 0.929, 0.931, 0.924, 0.460, 0.510, 0.453, 0.422, 0.505, 0.451, 0.509, 0.450, 0.449, 0.448, 0.739, 0.742, 0.731, 0.721, 0.688, 0.225, 0.207, 0.214, 0.211, 0.211
599, 4.118, 4.808, 4.136, 4.052, 4.053, 1.845, 2.040, 1.921, 1.910, 1.939, 1.915, 1.915, 1.899, 1.922, 1.905, 3.174, 2.849, 2.842, 3.068, 2.850, 0.822, 0.745, 0.757, 0.755, 0.750
2154, 17.511, 17.344, 17.341, 17.568, 17.390, 7.932, 8.081, 8.725, 7.936, 7.846, 7.943, 7.872, 7.912, 7.863, 7.921, 12.167, 12.687, 13.462, 14.232, 11.803, 3.031, 2.703, 2.697, 2.697, 2.744
7742, 72.380, 72.307, 72.067, 71.980, 71.953, 32.698, 35.995, 33.573, 33.185, 34.030, 32.172, 32.145, 32.755, 32.411, 32.349, 52.378, 50.624, 49.214, 52.897, 49.871, 10.471, 9.688, 9.692, 9.710, 9.799
27825, 294.694, 293.795, 292.312, 294.758, 292.738, 135.502, 133.524, 128.521, 139.676, 132.442, 128.502, 128.633, 130.046, 131.922, 128.671, 198.267, 201.371, 198.077, 200.735, 195.786, 37.982, 34.977, 35.338, 35.309, 35.111
100001, 1186.180, 1179.589, 1182.722, 1182.402, 1183.470, 519.228, 598.879, 549.929, 524.936, 533.724, 516.652, 516.331, 514.053, 517.259, 513.507, 836.146, 746.203, 777.995, 758.731, 778.857, 152.111, 125.614, 125.773, 126.537, 125.702
