op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4
1, 0.009, 0.006, 0.005, 0.005, 0.005, 0.006, 0.003, 0.003, 0.003, 0.003, 0.006, 0.004, 0.004, 0.004, 0.004, 0.006, 0.007, 0.006, 0.006, 0.008, 0.005, 0.004, 0.004, 0.003, 0.003
3, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.005, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.010, 0.006, 0.008, 0.009, 0.009, 0.006, 0.006, 0.005, 0.006, 0.005
12, 0.033, 0.033, 0.032, 0.031, 0.032, 0.018, 0.020, 0.017, 0.018, 0.018, 0.019, 0.019, 0.018, 0.020, 0.018, 0.031, 0.033, 0.034, 0.028, 0.031, 0.023, 0.021, 0.021, 0.021, 0.022
46, 0.175, 0.175, 0.176, 0.174, 0.174, 0.090, 0.088, 0.112, 0.093, 0.077, 0.096, 0.093, 0.093, 0.091, 0.107, 0.238, 0.153, 0.150, 0.175, 0.152, 0.083, 0.081, 0.085, 0.084, 0.084
166, 0.815, 0.817, 0.811, 0.813, 0.813, 0.337, 0.321, 0.340, 0.346, 0.325, 0.426, 0.420, 0.422, 0.421, 0.423, 0.673, 0.598, 0.670, 0.646, 0.680, 0.307, 0.305, 0.299, 0.304, 0.296
599, 3.859, 3.527, 3.530, 3.614, 3.676, 1.331, 1.412, 1.355, 1.314, 1.338, 1.900, 1.833, 1.836, 1.847, 1.914, 2.817, 2.702, 2.878, 2.759, 2.766, 1.098, 1.079, 1.086, 1.074, 1.074
2154, 14.867, 14.851, 14.861, 14.882, 14.844, 6.393, 5.464, 5.393, 5.378, 5.072, 7.856, 7.716, 7.862, 7.728, 8.219, 11.996, 10.526, 11.783, 11.785, 10.399, 3.966, 3.889, 3.862, 3.861, 3.858
7742, 60.749, 60.904, 60.838, 61.208, 60.801, 21.966, 22.498, 21.939, 22.437, 21.309, 32.858, 32.929, 32.267, 32.006, 31.899, 45.382, 45.683, 44.642, 47.053, 47.261, 14.283, 13.994, 13.982, 14.382, 13.948
27825, 247.625, 247.339, 248.373, 246.790, 247.373, 86.317, 87.501, 86.601, 87.127, 90.347, 130.042, 129.695, 129.768, 130.444, 129.563, 185.332, 182.514, 182.448, 182.581, 182.117, 51.154, 50.452, 50.183, 50.525, 50.276
100001, 989.659, 991.609, 990.349, 990.500, 989.675, 343.619, 342.339, 335.101, 362.447, 343.121, 521.651, 520.172, 521.048, 522.305, 534.361, 736.645, 726.163, 712.117, 700.049, 746.250, 207.047, 180.567, 180.743, 181.425, 180.528
