op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.001, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.004, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002, 0.005, 0.005, 0.005, 0.005, 0.005, 0.003, 0.004, 0.004, 0.004, 0.003, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.001, 0.001, 0.001, 0.001
17, 0.009, 0.009, 0.009, 0.009, 0.009, 0.003, 0.003, 0.003, 0.003, 0.003, 0.007, 0.007, 0.007, 0.007, 0.007, 0.005, 0.004, 0.005, 0.006, 0.006, 0.010, 0.010, 0.010, 0.010, 0.010, 0.002, 0.002, 0.001, 0.001, 0.001
25, 0.014, 0.014, 0.014, 0.014, 0.014, 0.004, 0.004, 0.004, 0.004, 0.005, 0.011, 0.011, 0.011, 0.011, 0.011, 0.008, 0.008, 0.007, 0.007, 0.008, 0.017, 0.017, 0.017, 0.017, 0.017, 0.003, 0.002, 0.002, 0.002, 0.002
38, 0.024, 0.024, 0.024, 0.024, 0.023, 0.007, 0.007, 0.006, 0.006, 0.006, 0.017, 0.017, 0.017, 0.017, 0.017, 0.013, 0.013, 0.013, 0.010, 0.011, 0.027, 0.026, 0.027, 0.027, 0.026, 0.004, 0.003, 0.002, 0.002, 0.002
58, 0.038, 0.038, 0.038, 0.038, 0.038, 0.010, 0.010, 0.010, 0.010, 0.010, 0.029, 0.028, 0.028, 0.028, 0.028, 0.017, 0.018, 0.017, 0.017, 0.016, 0.042, 0.042, 0.042, 0.042, 0.041, 0.005, 0.004, 0.003, 0.003, 0.003
87, 0.060, 0.059, 0.059, 0.060, 0.060, 0.015, 0.015, 0.015, 0.016, 0.016, 0.042, 0.042, 0.042, 0.042, 0.042, 0.023, 0.026, 0.023, 0.023, 0.023, 0.064, 0.065, 0.064, 0.064, 0.064, 0.006, 0.005, 0.004, 0.004, 0.004
131, 0.097, 0.096, 0.096, 0.096, 0.096, 0.025, 0.023, 0.022, 0.021, 0.025, 0.066, 0.066, 0.066, 0.066, 0.066, 0.040, 0.041, 0.037, 0.037, 0.040, 0.106, 0.102, 0.103, 0.102, 0.102, 0.008, 0.007, 0.006, 0.005, 0.006
196, 0.152, 0.151, 0.151, 0.151, 0.151, 0.036, 0.042, 0.036, 0.039, 0.040, 0.101, 0.101, 0.101, 0.101, 0.101, 0.057, 0.058, 0.054, 0.052, 0.058, 0.157, 0.157, 0.158, 0.157, 0.157, 0.010, 0.010, 0.009, 0.008, 0.008
295, 0.240, 0.241, 0.240, 0.240, 0.240, 0.061, 0.064, 0.058, 0.062, 0.085, 0.158, 0.158, 0.157, 0.157, 0.157, 0.090, 0.086, 0.081, 0.085, 0.082, 0.233, 0.231, 0.232, 0.231, 0.233, 0.015, 0.013, 0.013, 0.012, 0.012
443, 0.383, 0.388, 0.384, 0.380, 0.381, 0.094, 0.092, 0.091, 0.105, 0.089, 0.242, 0.243, 0.242, 0.242, 0.247, 0.130, 0.122, 0.124, 0.126, 0.131, 0.373, 0.365, 0.362, 0.362, 0.362, 0.021, 0.019, 0.019, 0.018, 0.018
666, 0.593, 0.592, 0.592, 0.600, 0.605, 0.143, 0.150, 0.145, 0.144, 0.130, 0.372, 0.372, 0.372, 0.372, 0.372, 0.193, 0.184, 0.200, 0.184, 0.192, 0.545, 0.543, 0.541, 0.543, 0.541, 0.030, 0.028, 0.028, 0.028, 0.028
999, 0.937, 0.940, 0.938, 0.943, 0.937, 0.225, 0.230, 0.227, 0.235, 0.249, 0.574, 0.582, 0.574, 0.574, 0.574, 0.296, 0.308, 0.297, 0.291, 0.301, 0.817, 0.817, 0.816, 0.816, 0.816, 0.042, 0.042, 0.040, 0.041, 0.040
1501, 1.498, 1.468, 1.464, 1.463, 1.466, 0.405, 0.380, 0.372, 0.360, 0.379, 0.896, 0.882, 0.879, 0.878, 0.878, 0.447, 0.447, 0.457, 0.463, 0.445, 1.239, 1.239, 1.243, 1.239, 1.243, 0.064, 0.064, 0.063, 0.066, 0.065
2253, 2.326, 2.307, 2.310, 2.334, 2.305, 0.614, 0.594, 0.544, 0.599, 0.534, 1.374, 1.358, 1.365, 1.358, 1.360, 0.701, 0.694, 0.693, 0.683, 0.720, 1.884, 1.898, 1.888, 1.883, 1.884, 0.096, 0.094, 0.094, 0.095, 0.094
3383, 4.550, 5.930, 6.269, 3.591, 3.607, 0.903, 0.924, 0.945, 0.924, 0.902, 2.088, 2.087, 2.091, 2.099, 2.087, 1.049, 1.055, 1.073, 1.075, 1.065, 2.791, 2.790, 2.787, 2.790, 2.788, 0.141, 0.141, 0.139, 0.138, 0.141
5080, 5.664, 5.643, 9.809, 9.833, 9.898, 2.839, 1.850, 2.466, 2.469, 2.593, 5.877, 5.828, 5.682, 5.799, 5.908, 2.763, 2.750, 2.685, 2.732, 2.632, 4.314, 4.298, 4.317, 4.296, 4.298, 0.223, 0.217, 0.217, 0.219, 0.218
7626, 8.884, 8.792, 8.767, 8.776, 8.793, 2.235, 2.164, 2.363, 2.556, 2.164, 4.954, 4.957, 4.953, 5.002, 4.949, 2.484, 2.474, 2.436, 2.509, 2.738, 6.418, 6.424, 6.423, 6.437, 6.434, 0.336, 0.310, 0.313, 0.311, 0.316
11450, 13.781, 13.893, 14.154, 13.651, 13.623, 3.467, 3.745, 3.529, 3.496, 3.516, 7.621, 7.609, 7.713, 7.751, 7.717, 4.290, 4.016, 4.346, 4.261, 4.566, 9.576, 9.686, 9.603, 9.572, 13.026, 0.763, 0.720, 0.722, 0.756, 0.739
17190, 21.738, 21.777, 21.537, 21.345, 21.407, 5.335, 5.553, 5.473, 5.600, 5.582, 11.831, 11.925, 12.023, 11.959, 11.972, 6.751, 6.518, 6.839, 7.055, 7.247, 14.956, 15.063, 14.600, 14.526, 14.596, 0.777, 0.727, 0.733, 0.736, 0.743
25808, 33.593, 33.402, 33.490, 33.255, 33.287, 9.117, 8.983, 9.576, 9.958, 9.490, 18.382, 18.441, 18.498, 18.466, 18.540, 10.745, 10.536, 10.334, 10.901, 10.732, 22.212, 22.148, 22.331, 22.016, 22.238, 1.395, 1.175, 1.162, 1.207, 1.155
38746, 52.134, 52.056, 52.171, 51.993, 51.568, 15.024, 12.995, 14.234, 13.577, 13.853, 27.747, 28.148, 28.562, 28.454, 44.890, 16.321, 18.488, 19.098, 18.345, 18.017, 33.050, 32.927, 32.736, 32.788, 32.948, 2.131, 1.754, 1.828, 1.785, 1.877
58170, 82.264, 80.344, 80.395, 80.014, 80.139, 21.051, 21.404, 22.172, 21.954, 20.743, 42.953, 43.401, 44.176, 43.927, 44.325, 27.302, 27.772, 29.428, 26.158, 26.460, 52.575, 50.196, 49.404, 49.638, 49.910, 3.396, 2.857, 3.175, 3.190, 2.941
87332, 129.392, 125.459, 126.649, 124.775, 124.864, 33.713, 32.969, 47.488, 34.566, 34.619, 65.735, 66.174, 67.323, 66.950, 67.461, 38.827, 39.262, 39.919, 38.907, 39.135, 77.912, 75.225, 75.269, 74.478, 74.749, 5.713, 4.654, 5.547, 5.047, 4.955
131113, 194.781, 195.556, 192.705, 194.410, 194.768, 50.141, 51.231, 51.577, 53.029, 51.789, 100.925, 101.959, 102.664, 108.868, 102.894, 65.260, 67.434, 63.213, 62.414, 80.382, 116.830, 114.748, 113.512, 112.322, 114.616, 9.256, 7.695, 7.592, 8.258, 8.513
196841, 305.001, 303.785, 304.231, 300.372, 301.246, 79.908, 79.838, 82.809, 82.541, 85.088, 154.484, 164.338, 157.586, 185.078, 158.133, 108.891, 94.780, 97.861, 103.254, 105.301, 179.129, 173.869, 170.251, 173.636, 170.731, 15.945, 15.192, 12.348, 13.392, 13.352
295520, 482.073, 462.637, 501.978, 464.951, 459.880, 120.368, 121.084, 125.282, 119.191, 125.792, 242.565, 238.926, 240.421, 291.151, 240.937, 136.083, 142.188, 160.737, 168.477, 164.293, 271.766, 264.820, 257.749, 256.365, 258.161, 18.963, 16.819, 21.630, 18.819, 17.479
443668, 731.903, 721.059, 707.727, 720.578, 709.528, 194.142, 192.838, 199.339, 195.829, 190.328, 367.208, 368.461, 390.642, 378.251, 369.882, 224.071, 228.065, 255.800, 239.007, 238.784, 406.340, 392.517, 384.335, 384.073, 384.642, 42.544, 43.352, 44.603, 28.155, 34.921
666084, 1122.051, 1125.748, 1129.408, 1123.925, 1096.340, 281.280, 318.718, 286.788, 291.066, 301.630, 573.804, 561.025, 565.706, 562.992, 568.657, 359.111, 377.742, 415.607, 405.272, 419.330, 623.702, 597.876, 578.814, 588.497, 592.833, 76.832, 66.310, 55.502, 62.834, 55.453
1000000, 1749.235, 1784.440, 1696.052, 1717.563, 1719.652, 459.567, 491.705, 452.769, 470.890, 466.851, 864.460, 861.108, 857.913, 858.936, 861.324, 542.357, 601.895, 609.608, 532.740, 546.801, 905.592, 868.823, 855.928, 866.236, 857.823, 101.045, 89.196, 82.761, 76.506, 87.466
