op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.001, 0.001, 0.001, 0.001, 0.001
11, 0.007, 0.007, 0.007, 0.006, 0.007, 0.003, 0.003, 0.003, 0.003, 0.002, 0.006, 0.005, 0.005, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.004, 0.002, 0.002, 0.001, 0.001, 0.001
17, 0.010, 0.010, 0.011, 0.011, 0.011, 0.003, 0.003, 0.003, 0.003, 0.003, 0.009, 0.009, 0.009, 0.008, 0.009, 0.005, 0.006, 0.006, 0.006, 0.006, 0.008, 0.006, 0.007, 0.006, 0.007, 0.002, 0.002, 0.002, 0.001, 0.002
25, 0.016, 0.017, 0.017, 0.017, 0.016, 0.004, 0.005, 0.005, 0.004, 0.004, 0.013, 0.013, 0.013, 0.012, 0.012, 0.009, 0.007, 0.007, 0.008, 0.008, 0.010, 0.010, 0.009, 0.010, 0.010, 0.003, 0.002, 0.002, 0.002, 0.002
38, 0.026, 0.026, 0.026, 0.026, 0.027, 0.007, 0.007, 0.006, 0.007, 0.007, 0.020, 0.020, 0.020, 0.019, 0.020, 0.013, 0.011, 0.011, 0.012, 0.012, 0.015, 0.016, 0.015, 0.014, 0.015, 0.003, 0.003, 0.003, 0.003, 0.002
58, 0.042, 0.043, 0.042, 0.042, 0.042, 0.011, 0.010, 0.011, 0.010, 0.011, 0.030, 0.031, 0.031, 0.043, 0.030, 0.017, 0.016, 0.015, 0.018, 0.015, 0.024, 0.022, 0.024, 0.021, 0.025, 0.004, 0.004, 0.003, 0.003, 0.003
87, 0.066, 0.068, 0.065, 0.065, 0.066, 0.013, 0.014, 0.017, 0.018, 0.017, 0.045, 0.045, 0.045, 0.045, 0.044, 0.028, 0.032, 0.025, 0.026, 0.024, 0.035, 0.035, 0.035, 0.035, 0.033, 0.006, 0.005, 0.004, 0.005, 0.005
131, 0.110, 0.107, 0.105, 0.106, 0.105, 0.023, 0.021, 0.026, 0.026, 0.023, 0.069, 0.070, 0.068, 0.093, 0.072, 0.040, 0.040, 0.040, 0.038, 0.039, 0.070, 0.052, 0.055, 0.052, 0.051, 0.008, 0.007, 0.006, 0.006, 0.006
196, 0.166, 0.165, 0.170, 0.166, 0.168, 0.043, 0.038, 0.048, 0.040, 0.040, 0.107, 0.108, 0.108, 0.106, 0.106, 0.057, 0.060, 0.057, 0.057, 0.056, 0.081, 0.079, 0.081, 0.080, 0.078, 0.010, 0.009, 0.009, 0.008, 0.008
295, 0.269, 0.266, 0.263, 0.268, 0.266, 0.066, 0.059, 0.058, 0.064, 0.059, 0.158, 0.165, 0.164, 0.164, 0.164, 0.087, 0.086, 0.087, 0.082, 0.088, 0.117, 0.123, 0.117, 0.133, 0.122, 0.015, 0.012, 0.013, 0.033, 0.013
443, 0.414, 0.420, 0.415, 0.417, 0.432, 0.085, 0.089, 0.104, 0.112, 0.091, 0.251, 0.248, 0.253, 0.249, 0.248, 0.132, 0.137, 0.133, 0.136, 0.141, 0.181, 0.190, 0.199, 0.181, 0.181, 0.020, 0.019, 0.018, 0.018, 0.018
666, 0.706, 0.668, 0.664, 0.663, 0.671, 0.178, 0.167, 0.126, 0.174, 0.159, 0.391, 0.383, 0.380, 0.374, 0.384, 0.197, 0.197, 0.200, 0.204, 0.208, 0.274, 0.276, 0.276, 0.276, 0.279, 0.031, 0.028, 0.028, 0.027, 0.028
999, 1.072, 1.046, 1.058, 1.097, 1.112, 0.240, 0.229, 0.242, 0.251, 0.282, 0.580, 0.584, 0.573, 0.579, 0.582, 0.314, 0.316, 0.351, 0.324, 0.332, 0.425, 0.428, 0.428, 0.423, 0.417, 0.045, 0.041, 0.042, 0.042, 0.042
1501, 1.628, 1.618, 1.641, 1.626, 1.657, 0.338, 0.355, 0.373, 0.434, 0.365, 0.897, 0.872, 0.882, 0.887, 0.907, 0.472, 0.476, 0.475, 0.470, 0.454, 0.625, 0.621, 0.625, 0.625, 0.621, 0.063, 0.062, 0.064, 0.062, 0.061
2253, 2.536, 2.579, 2.556, 2.525, 2.567, 0.530, 0.643, 0.510, 0.528, 0.578, 1.379, 1.395, 1.354, 1.383, 1.353, 0.722, 0.737, 0.736, 0.722, 0.702, 0.939, 0.969, 0.940, 0.954, 0.951, 0.095, 0.095, 0.095, 0.095, 0.096
3383, 3.933, 4.048, 3.994, 4.008, 4.048, 0.869, 0.915, 0.815, 0.987, 1.019, 2.056, 2.111, 2.070, 2.125, 2.084, 1.093, 1.153, 1.079, 1.111, 1.112, 1.422, 1.440, 1.411, 1.423, 1.428, 0.139, 0.138, 0.139, 0.138, 0.142
5080, 6.329, 6.392, 6.272, 6.356, 6.258, 1.363, 1.396, 1.370, 1.369, 1.479, 3.134, 3.190, 3.219, 3.171, 3.195, 1.680, 1.667, 1.721, 1.635, 1.711, 2.135, 2.138, 2.251, 2.135, 2.128, 0.211, 0.210, 0.209, 0.211, 0.211
7626, 9.628, 9.745, 9.874, 9.913, 9.701, 2.177, 2.139, 2.456, 2.429, 2.130, 4.839, 4.930, 4.845, 4.865, 4.906, 2.508, 2.494, 2.534, 2.550, 2.509, 3.214, 3.254, 3.209, 3.211, 3.210, 0.324, 0.326, 0.329, 0.326, 0.325
11450, 14.936, 14.962, 15.335, 15.314, 15.257, 3.420, 3.365, 3.493, 4.170, 3.626, 7.572, 7.761, 7.784, 7.904, 7.429, 3.844, 3.926, 3.929, 4.088, 3.970, 4.899, 4.886, 4.809, 4.854, 4.845, 0.494, 0.488, 0.483, 0.492, 0.482
17190, 24.175, 23.659, 24.017, 24.690, 24.508, 5.197, 5.112, 5.379, 5.906, 6.145, 11.490, 11.804, 11.642, 11.594, 11.992, 6.465, 6.346, 6.501, 6.423, 6.762, 7.343, 7.328, 7.345, 7.318, 7.301, 0.740, 0.744, 0.760, 0.736, 0.784
25808, 38.179, 37.800, 38.302, 38.244, 37.945, 9.959, 11.536, 8.969, 9.326, 9.709, 17.701, 18.140, 18.096, 17.823, 18.170, 10.977, 11.087, 11.197, 10.913, 10.895, 11.323, 11.244, 11.769, 11.540, 11.393, 1.150, 1.171, 1.145, 1.135, 1.155
38746, 58.246, 58.212, 58.599, 58.930, 59.261, 15.239, 12.504, 16.374, 14.277, 14.940, 28.052, 28.940, 28.021, 27.448, 26.832, 17.558, 17.818, 17.985, 17.661, 17.715, 18.130, 17.653, 17.556, 18.451, 17.833, 1.816, 1.848, 1.812, 1.763, 1.789
58170, 92.941, 93.367, 91.706, 93.215, 93.529, 23.481, 23.924, 20.628, 21.911, 21.475, 42.251, 42.496, 42.250, 43.414, 43.407, 27.416, 28.631, 27.780, 27.041, 27.289, 28.189, 28.528, 29.012, 30.162, 27.596, 3.543, 4.156, 3.453, 2.862, 2.725
87332, 142.616, 144.611, 143.325, 143.257, 143.543, 38.584, 39.379, 34.031, 38.023, 38.169, 66.196, 66.261, 67.656, 65.819, 66.640, 41.906, 41.703, 42.718, 43.779, 42.382, 40.695, 40.357, 40.816, 41.177, 40.695, 6.184, 6.146, 6.403, 6.877, 4.850
131113, 223.942, 225.958, 222.383, 223.596, 222.614, 60.495, 49.597, 57.247, 55.561, 68.608, 99.450, 100.534, 99.507, 100.898, 100.146, 66.811, 66.592, 64.171, 64.259, 65.034, 65.140, 65.361, 63.141, 62.624, 62.403, 8.960, 8.774, 9.249, 8.921, 8.998
196841, 344.973, 342.864, 337.969, 343.395, 340.662, 90.476, 101.609, 101.980, 97.366, 104.885, 153.748, 152.614, 160.050, 155.208, 153.463, 113.038, 109.764, 115.244, 112.293, 114.211, 98.493, 98.672, 96.671, 98.641, 98.329, 16.744, 17.068, 17.532, 17.190, 17.258
295520, 527.409, 530.152, 522.343, 540.242, 529.258, 145.196, 155.154, 171.994, 158.671, 151.602, 233.918, 234.528, 230.373, 237.853, 238.800, 155.844, 148.001, 151.433, 152.583, 150.516, 146.782, 149.258, 145.532, 144.909, 144.225, 27.650, 27.738, 27.746, 26.617, 26.659
443668, 824.090, 823.421, 807.366, 820.743, 807.330, 207.899, 212.039, 201.805, 233.488, 199.696, 359.603, 351.076, 358.523, 360.034, 354.002, 239.888, 244.465, 237.422, 236.733, 239.378, 223.021, 222.669, 223.502, 222.017, 223.361, 44.287, 42.490, 45.353, 43.372, 41.694
666084, 1268.275, 1258.375, 1295.655, 1284.657, 1291.070, 373.855, 400.515, 344.425, 408.645, 388.027, 632.078, 650.204, 650.959, 661.537, 658.743, 438.680, 450.352, 457.071, 447.568, 456.983, 410.520, 404.184, 409.617, 407.895, 414.904, 79.211, 80.955, 82.478, 75.662, 75.029
1000000, 2353.502, 2462.150, 2391.713, 2385.843, 2407.622, 663.113, 739.911, 740.497, 650.216, 592.441, 931.134, 964.630, 962.048, 952.428, 916.702, 633.801, 615.893, 619.541, 620.426, 622.460, 554.086, 557.674, 569.559, 555.975, 569.481, 115.934, 109.439, 115.900, 110.108, 109.840
