op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.002, 0.002, 0.002, 0.003, 0.001, 0.001, 0.001, 0.001, 0.003, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.002, 0.002, 0.003, 0.003, 0.004, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002
3, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.003, 0.003, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.001, 0.001, 0.001
11, 0.007, 0.007, 0.007, 0.007, 0.007, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.005, 0.005, 0.005, 0.004, 0.007, 0.005, 0.006, 0.011, 0.009, 0.007, 0.009, 0.008, 0.008, 0.007, 0.003, 0.003, 0.002, 0.003, 0.003
17, 0.015, 0.011, 0.011, 0.011, 0.011, 0.006, 0.006, 0.006, 0.005, 0.006, 0.007, 0.007, 0.007, 0.007, 0.007, 0.009, 0.009, 0.007, 0.008, 0.008, 0.009, 0.008, 0.008, 0.008, 0.008, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.018, 0.018, 0.018, 0.018, 0.018, 0.008, 0.008, 0.008, 0.008, 0.008, 0.011, 0.011, 0.011, 0.011, 0.011, 0.014, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.003, 0.002, 0.002, 0.002, 0.002
38, 0.030, 0.030, 0.030, 0.030, 0.030, 0.012, 0.011, 0.011, 0.011, 0.012, 0.017, 0.018, 0.018, 0.018, 0.017, 0.018, 0.022, 0.019, 0.020, 0.022, 0.018, 0.018, 0.018, 0.018, 0.018, 0.004, 0.003, 0.003, 0.002, 0.002
58, 0.050, 0.050, 0.050, 0.050, 0.051, 0.017, 0.018, 0.021, 0.018, 0.019, 0.029, 0.029, 0.029, 0.029, 0.029, 0.034, 0.033, 0.034, 0.034, 0.030, 0.028, 0.027, 0.027, 0.027, 0.027, 0.005, 0.004, 0.003, 0.003, 0.003
87, 0.082, 0.082, 0.083, 0.083, 0.083, 0.029, 0.033, 0.028, 0.028, 0.029, 0.047, 0.047, 0.047, 0.047, 0.047, 0.053, 0.053, 0.045, 0.059, 0.047, 0.041, 0.041, 0.040, 0.040, 0.040, 0.007, 0.005, 0.004, 0.004, 0.004
131, 0.136, 0.133, 0.132, 0.132, 0.133, 0.058, 0.048, 0.047, 0.050, 0.054, 0.076, 0.076, 0.076, 0.078, 0.077, 0.081, 0.078, 0.085, 0.082, 0.082, 0.061, 0.060, 0.061, 0.060, 0.060, 0.009, 0.008, 0.007, 0.006, 0.006
196, 0.216, 0.212, 0.213, 0.214, 0.213, 0.069, 0.072, 0.074, 0.072, 0.073, 0.121, 0.122, 0.122, 0.122, 0.122, 0.153, 0.122, 0.113, 0.135, 0.124, 0.091, 0.089, 0.090, 0.090, 0.091, 0.013, 0.011, 0.009, 0.009, 0.009
295, 0.351, 0.385, 0.357, 0.351, 0.344, 0.107, 0.110, 0.115, 0.116, 0.113, 0.204, 0.205, 0.203, 0.206, 0.204, 0.211, 0.190, 0.206, 0.218, 0.191, 0.142, 0.138, 0.138, 0.138, 0.138, 0.020, 0.016, 0.015, 0.014, 0.013
443, 0.565, 0.567, 0.565, 0.578, 0.561, 0.206, 0.178, 0.191, 0.174, 0.174, 0.325, 0.325, 0.328, 0.326, 0.334, 0.333, 0.345, 0.318, 0.328, 0.317, 0.212, 0.208, 0.208, 0.208, 0.209, 0.060, 0.024, 0.021, 0.021, 0.020
666, 0.897, 0.912, 0.893, 0.919, 0.932, 0.282, 0.267, 0.287, 0.304, 0.266, 0.521, 0.520, 0.519, 0.520, 0.519, 0.501, 0.542, 0.535, 0.501, 0.509, 0.352, 0.313, 0.312, 0.313, 0.312, 0.042, 0.036, 0.033, 0.032, 0.031
999, 1.436, 1.402, 1.404, 1.487, 1.412, 0.446, 0.405, 0.416, 0.423, 0.468, 0.824, 0.825, 0.825, 0.826, 0.827, 0.986, 0.773, 0.783, 0.789, 0.861, 0.532, 0.468, 0.468, 0.470, 0.468, 0.061, 0.053, 0.050, 0.049, 0.048
1501, 2.273, 2.230, 2.310, 2.304, 2.307, 0.714, 0.648, 0.718, 0.692, 0.715, 1.355, 1.347, 1.349, 1.349, 1.347, 1.496, 1.262, 1.281, 1.256, 1.353, 0.824, 0.726, 0.726, 0.728, 0.729, 0.092, 0.081, 0.080, 0.079, 0.078
2253, 3.688, 3.709, 3.641, 3.630, 3.630, 1.116, 1.091, 1.131, 1.138, 1.077, 2.129, 2.128, 2.137, 2.134, 2.133, 2.243, 2.107, 2.007, 1.947, 2.110, 1.244, 1.089, 1.090, 1.092, 1.093, 0.140, 0.133, 0.122, 0.122, 0.123
3383, 5.919, 5.932, 6.702, 7.468, 7.475, 2.014, 1.810, 1.778, 1.869, 1.786, 3.484, 3.488, 3.482, 3.497, 3.497, 3.627, 3.458, 3.336, 3.370, 3.249, 1.950, 1.693, 1.691, 1.697, 1.702, 0.217, 0.195, 0.194, 0.195, 0.196
5080, 9.488, 9.360, 9.395, 9.576, 9.656, 2.807, 3.042, 2.892, 2.864, 2.928, 5.725, 5.692, 5.703, 5.690, 5.683, 6.385, 9.022, 10.072, 9.326, 10.291, 3.046, 2.632, 2.634, 2.639, 2.667, 0.334, 0.305, 0.314, 0.323, 0.333
7626, 15.179, 15.107, 15.057, 15.348, 15.160, 4.755, 4.383, 4.118, 4.557, 4.609, 8.967, 8.964, 8.999, 8.968, 8.942, 9.019, 8.331, 8.532, 8.921, 8.664, 4.604, 3.948, 3.946, 3.978, 3.960, 0.521, 0.509, 0.556, 0.568, 0.570
11450, 23.799, 23.819, 23.637, 23.782, 27.876, 13.923, 12.454, 10.268, 6.873, 7.002, 14.242, 14.298, 14.261, 14.346, 14.244, 14.138, 13.987, 14.589, 14.183, 14.048, 6.979, 5.937, 5.920, 5.966, 5.950, 0.933, 0.842, 0.873, 0.971, 1.026
17190, 37.154, 37.088, 37.161, 37.313, 41.561, 11.561, 11.327, 11.448, 12.182, 11.499, 22.628, 22.705, 22.630, 22.506, 22.548, 20.966, 21.889, 22.067, 21.974, 21.812, 10.895, 8.901, 8.925, 8.932, 8.933, 1.704, 1.642, 1.799, 1.866, 1.956
25808, 58.065, 57.765, 57.752, 67.276, 68.162, 17.030, 18.595, 17.826, 17.164, 18.332, 35.061, 35.196, 34.642, 34.650, 33.599, 31.961, 36.205, 31.646, 34.879, 34.711, 17.207, 13.339, 13.324, 13.437, 13.459, 3.231, 3.001, 3.151, 3.315, 3.652
38746, 87.658, 87.188, 90.020, 91.443, 90.763, 28.408, 29.134, 29.252, 29.161, 27.554, 55.703, 55.652, 56.023, 55.598, 55.890, 53.001, 53.654, 53.667, 54.786, 55.733, 28.137, 20.095, 20.102, 20.169, 20.442, 5.045, 5.148, 5.961, 6.247, 6.068
58170, 139.904, 139.743, 144.203, 140.133, 140.520, 44.361, 43.920, 42.535, 45.014, 42.504, 86.007, 83.912, 83.828, 83.885, 83.742, 83.898, 83.597, 79.565, 86.824, 87.346, 45.075, 30.244, 30.187, 30.448, 30.371, 7.766, 7.532, 8.619, 10.168, 10.816
87332, 218.553, 263.321, 217.095, 218.128, 218.894, 68.080, 73.441, 69.194, 67.441, 86.797, 137.178, 136.603, 136.201, 136.009, 134.560, 137.086, 122.152, 132.648, 127.532, 132.692, 71.126, 45.340, 45.246, 45.550, 45.621, 13.286, 13.984, 16.719, 19.822, 21.334
131113, 342.264, 333.779, 420.625, 326.173, 329.900, 118.778, 112.556, 107.709, 103.893, 107.356, 212.848, 212.435, 233.887, 212.911, 209.444, 196.638, 211.018, 202.717, 198.508, 214.260, 124.535, 70.091, 65.603, 66.202, 66.229, 22.062, 21.493, 25.623, 28.485, 31.383
196841, 522.473, 498.507, 505.089, 505.040, 514.819, 160.246, 164.377, 163.723, 159.205, 159.599, 327.159, 326.809, 322.734, 329.395, 318.153, 302.125, 304.687, 307.103, 304.900, 312.591, 164.385, 98.610, 98.875, 99.459, 104.063, 42.378, 42.193, 46.672, 53.663, 55.840
295520, 812.567, 770.741, 782.887, 783.999, 789.180, 247.760, 250.451, 258.889, 276.330, 248.381, 495.440, 495.957, 497.458, 491.723, 493.919, 466.698, 467.609, 513.098, 471.467, 488.685, 257.596, 149.235, 245.227, 167.894, 144.308, 66.403, 68.118, 75.197, 85.115, 91.986
443668, 1256.646, 1187.519, 1223.175, 1209.405, 1223.502, 393.381, 390.413, 371.313, 372.212, 380.285, 760.042, 758.346, 760.204, 765.256, 765.215, 767.382, 711.939, 731.347, 767.027, 773.931, 408.631, 230.452, 231.102, 228.065, 229.103, 109.474, 107.604, 126.602, 147.893, 163.141
666084, 1980.895, 1881.652, 1866.781, 1871.548, 1883.166, 567.217, 576.837, 574.386, 620.043, 589.867, 1190.076, 1185.228, 1180.432, 1182.133, 1192.816, 1113.395, 1093.377, 1120.716, 1090.676, 1205.154, 640.470, 337.818, 340.172, 346.000, 344.171, 179.431, 180.045, 197.464, 222.100, 240.034
