op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.004, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.001, 0.001, 0.001, 0.001, 0.002
11, 0.008, 0.009, 0.008, 0.011, 0.009, 0.004, 0.004, 0.004, 0.003, 0.002, 0.006, 0.005, 0.005, 0.006, 0.006, 0.004, 0.004, 0.004, 0.005, 0.004, 0.006, 0.006, 0.006, 0.006, 0.006, 0.002, 0.002, 0.002, 0.002, 0.001
17, 0.010, 0.010, 0.010, 0.010, 0.010, 0.004, 0.003, 0.003, 0.003, 0.003, 0.008, 0.008, 0.008, 0.008, 0.008, 0.005, 0.006, 0.008, 0.005, 0.005, 0.010, 0.010, 0.010, 0.010, 0.010, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.015, 0.015, 0.015, 0.015, 0.015, 0.005, 0.005, 0.004, 0.004, 0.004, 0.012, 0.012, 0.012, 0.012, 0.012, 0.007, 0.008, 0.009, 0.007, 0.009, 0.015, 0.015, 0.015, 0.015, 0.015, 0.003, 0.002, 0.002, 0.002, 0.002
38, 0.024, 0.024, 0.024, 0.024, 0.024, 0.008, 0.006, 0.007, 0.007, 0.007, 0.019, 0.018, 0.019, 0.019, 0.019, 0.012, 0.012, 0.011, 0.016, 0.012, 0.025, 0.025, 0.025, 0.025, 0.025, 0.003, 0.003, 0.003, 0.003, 0.003
58, 0.041, 0.039, 0.040, 0.039, 0.039, 0.013, 0.009, 0.008, 0.011, 0.010, 0.029, 0.029, 0.029, 0.029, 0.029, 0.020, 0.017, 0.019, 0.021, 0.019, 0.038, 0.037, 0.037, 0.037, 0.037, 0.004, 0.004, 0.003, 0.003, 0.003
87, 0.064, 0.063, 0.064, 0.062, 0.063, 0.015, 0.015, 0.019, 0.018, 0.017, 0.045, 0.044, 0.044, 0.044, 0.044, 0.025, 0.025, 0.025, 0.024, 0.026, 0.058, 0.058, 0.058, 0.058, 0.058, 0.005, 0.005, 0.004, 0.004, 0.004
131, 0.101, 0.101, 0.101, 0.100, 0.100, 0.021, 0.024, 0.023, 0.023, 0.028, 0.070, 0.069, 0.069, 0.069, 0.069, 0.039, 0.042, 0.039, 0.048, 0.040, 0.088, 0.087, 0.087, 0.087, 0.086, 0.008, 0.007, 0.006, 0.006, 0.006
196, 0.161, 0.160, 0.159, 0.161, 0.159, 0.044, 0.040, 0.038, 0.048, 0.037, 0.106, 0.105, 0.105, 0.130, 0.108, 0.066, 0.073, 0.059, 0.060, 0.063, 0.132, 0.132, 0.132, 0.134, 0.133, 0.010, 0.010, 0.009, 0.008, 0.008
295, 0.253, 0.250, 0.251, 0.253, 0.257, 0.060, 0.061, 0.065, 0.062, 0.073, 0.173, 0.177, 0.175, 0.185, 0.174, 0.090, 0.091, 0.087, 0.086, 0.085, 0.201, 0.201, 0.202, 0.200, 0.202, 0.014, 0.013, 0.013, 0.012, 0.012
443, 0.393, 0.396, 0.398, 0.398, 0.396, 0.100, 0.105, 0.093, 0.097, 0.092, 0.251, 0.250, 0.251, 0.252, 0.255, 0.129, 0.142, 0.146, 0.140, 0.139, 0.312, 0.374, 0.309, 0.306, 0.303, 0.019, 0.019, 0.019, 0.019, 0.018
666, 0.636, 0.629, 0.631, 0.631, 0.627, 0.151, 0.155, 0.162, 0.139, 0.145, 0.391, 0.387, 0.390, 0.392, 0.412, 0.215, 0.217, 0.205, 0.214, 0.208, 0.474, 0.475, 0.478, 0.475, 0.478, 0.031, 0.030, 0.029, 0.028, 0.027
999, 1.013, 1.018, 1.018, 1.025, 1.018, 0.273, 0.236, 0.227, 0.230, 0.236, 0.618, 0.616, 0.627, 0.619, 0.619, 0.318, 0.331, 0.355, 0.331, 0.327, 0.716, 0.728, 0.740, 0.724, 0.727, 0.044, 0.044, 0.045, 0.045, 0.043
1501, 1.607, 1.617, 1.607, 1.593, 1.593, 0.434, 0.356, 0.394, 0.375, 0.363, 0.947, 0.961, 0.951, 0.951, 0.949, 0.497, 0.479, 0.506, 0.492, 0.461, 1.075, 1.096, 1.095, 1.101, 1.124, 0.067, 0.069, 0.069, 0.071, 0.069
2253, 2.591, 2.596, 2.589, 2.601, 2.620, 0.771, 0.601, 0.670, 0.626, 0.676, 1.510, 1.510, 1.510, 1.523, 1.510, 0.793, 0.818, 0.790, 0.800, 0.770, 1.667, 1.683, 1.675, 1.682, 1.679, 0.105, 0.106, 0.106, 0.105, 0.106
3383, 4.220, 4.312, 4.235, 4.245, 4.252, 1.105, 1.099, 1.207, 1.142, 1.180, 2.794, 2.807, 2.611, 2.632, 2.603, 1.274, 1.287, 1.303, 1.297, 1.241, 2.587, 2.665, 2.604, 2.635, 2.617, 0.175, 0.169, 0.172, 0.172, 0.170
5080, 6.504, 6.499, 6.492, 6.506, 6.499, 1.628, 1.715, 1.596, 1.599, 1.650, 3.846, 3.848, 3.838, 3.839, 3.823, 1.968, 2.013, 2.021, 2.025, 2.010, 4.064, 4.059, 4.039, 4.080, 4.043, 0.272, 0.276, 0.274, 0.270, 0.270
7626, 10.579, 10.591, 10.594, 10.618, 10.576, 2.579, 2.651, 2.661, 2.429, 2.520, 5.876, 5.882, 5.881, 5.903, 5.899, 2.924, 3.049, 2.961, 2.952, 2.908, 6.075, 6.139, 6.160, 6.159, 6.131, 0.406, 0.402, 0.390, 0.403, 0.391
11450, 17.191, 16.527, 17.147, 17.168, 16.493, 4.361, 4.128, 4.379, 4.095, 4.121, 8.956, 9.049, 8.982, 9.031, 8.966, 4.680, 4.681, 4.636, 4.606, 4.657, 9.460, 9.569, 9.532, 9.603, 9.565, 0.653, 0.661, 0.630, 0.629, 0.634
17190, 26.684, 25.781, 25.777, 25.863, 25.922, 6.568, 6.468, 6.388, 6.022, 6.215, 13.935, 13.908, 14.007, 13.927, 14.111, 6.973, 7.317, 6.960, 6.981, 7.038, 14.317, 14.476, 14.278, 14.494, 14.316, 1.004, 1.044, 1.001, 1.004, 0.987
25808, 41.722, 40.968, 40.358, 41.231, 41.843, 10.431, 10.179, 9.644, 10.458, 10.969, 22.047, 22.171, 21.391, 21.492, 21.463, 11.024, 10.840, 14.473, 10.605, 10.482, 20.976, 21.194, 21.226, 21.403, 20.998, 1.527, 1.569, 1.506, 1.514, 1.520
38746, 63.578, 64.280, 62.038, 62.236, 64.311, 17.273, 15.194, 15.550, 15.349, 15.923, 32.437, 32.900, 32.908, 32.724, 32.734, 16.424, 15.990, 16.523, 16.838, 16.524, 32.926, 32.774, 32.226, 32.912, 32.669, 2.565, 2.440, 2.595, 2.386, 2.591
58170, 97.478, 97.439, 100.115, 97.616, 100.210, 25.466, 24.633, 24.157, 28.708, 24.819, 50.925, 60.886, 50.867, 50.589, 51.760, 28.604, 26.622, 26.147, 24.600, 24.667, 49.103, 49.579, 48.714, 49.825, 49.623, 4.913, 3.757, 4.078, 3.696, 4.900
