op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
2, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
3, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.004, 0.002, 0.004, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.001, 0.001, 0.001, 0.001
5, 0.007, 0.005, 0.006, 0.007, 0.006, 0.004, 0.004, 0.004, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.005, 0.007, 0.003, 0.005, 0.004, 0.004, 0.005, 0.004, 0.004, 0.004, 0.002, 0.001, 0.001, 0.001, 0.002
7, 0.008, 0.008, 0.008, 0.008, 0.008, 0.004, 0.005, 0.004, 0.004, 0.005, 0.006, 0.007, 0.006, 0.006, 0.005, 0.004, 0.007, 0.010, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.006, 0.002, 0.002, 0.002, 0.001, 0.002
11, 0.014, 0.015, 0.014, 0.014, 0.015, 0.007, 0.007, 0.006, 0.006, 0.006, 0.009, 0.009, 0.009, 0.008, 0.009, 0.009, 0.009, 0.007, 0.010, 0.011, 0.007, 0.006, 0.006, 0.007, 0.008, 0.002, 0.002, 0.002, 0.002, 0.002
17, 0.024, 0.023, 0.024, 0.024, 0.024, 0.010, 0.011, 0.010, 0.011, 0.012, 0.015, 0.015, 0.014, 0.015, 0.014, 0.016, 0.014, 0.016, 0.016, 0.015, 0.010, 0.010, 0.010, 0.010, 0.010, 0.003, 0.002, 0.002, 0.002, 0.002
25, 0.039, 0.038, 0.038, 0.038, 0.039, 0.015, 0.014, 0.015, 0.015, 0.015, 0.023, 0.022, 0.019, 0.023, 0.023, 0.025, 0.021, 0.030, 0.021, 0.023, 0.014, 0.015, 0.014, 0.015, 0.014, 0.003, 0.003, 0.003, 0.003, 0.002
38, 0.064, 0.064, 0.064, 0.061, 0.064, 0.031, 0.028, 0.025, 0.025, 0.025, 0.038, 0.039, 0.039, 0.037, 0.037, 0.036, 0.037, 0.035, 0.033, 0.031, 0.022, 0.021, 0.021, 0.021, 0.022, 0.004, 0.004, 0.004, 0.003, 0.003
58, 0.105, 0.104, 0.104, 0.104, 0.103, 0.039, 0.040, 0.040, 0.036, 0.037, 0.063, 0.064, 0.063, 0.062, 0.062, 0.062, 0.056, 0.070, 0.059, 0.059, 0.033, 0.032, 0.031, 0.033, 0.032, 0.006, 0.006, 0.005, 0.005, 0.004
87, 0.169, 0.168, 0.166, 0.167, 0.166, 0.063, 0.060, 0.054, 0.057, 0.054, 0.100, 0.100, 0.102, 0.102, 0.100, 0.087, 0.094, 0.088, 0.095, 0.096, 0.048, 0.046, 0.047, 0.047, 0.046, 0.008, 0.007, 0.007, 0.006, 0.006
131, 0.188, 0.132, 0.131, 0.131, 0.130, 0.049, 0.049, 0.052, 0.099, 0.048, 0.080, 0.075, 0.076, 0.076, 0.075, 0.089, 0.082, 0.076, 0.084, 0.091, 0.039, 0.037, 0.037, 0.038, 0.038, 0.009, 0.007, 0.006, 0.006, 0.006
196, 0.224, 0.219, 0.217, 0.216, 0.221, 0.143, 0.082, 0.073, 0.071, 0.079, 0.189, 0.119, 0.119, 0.118, 0.119, 0.147, 0.134, 0.131, 0.135, 0.132, 0.058, 0.055, 0.055, 0.055, 0.055, 0.012, 0.010, 0.009, 0.009, 0.009
295, 0.338, 0.336, 0.336, 0.336, 0.337, 0.115, 0.132, 0.123, 0.124, 0.115, 0.191, 0.190, 0.192, 0.191, 0.194, 0.193, 0.209, 0.208, 0.197, 0.199, 0.086, 0.083, 0.082, 0.082, 0.082, 0.017, 0.014, 0.013, 0.013, 0.013
443, 0.564, 0.554, 0.552, 0.550, 0.552, 0.205, 0.202, 0.202, 0.186, 0.178, 0.314, 0.325, 0.309, 0.313, 0.311, 0.327, 0.328, 0.339, 0.314, 0.344, 0.176, 0.129, 0.126, 0.126, 0.129, 0.026, 0.021, 0.021, 0.020, 0.020
666, 0.891, 0.873, 0.879, 0.883, 0.880, 0.318, 0.264, 0.295, 0.290, 0.273, 0.491, 0.500, 0.492, 0.494, 0.494, 0.513, 0.512, 0.551, 0.515, 0.502, 0.199, 0.189, 0.190, 0.190, 0.190, 0.040, 0.033, 0.033, 0.031, 0.031
999, 1.450, 1.369, 1.376, 1.387, 1.388, 0.501, 0.526, 0.431, 0.473, 0.423, 0.779, 0.779, 0.782, 0.784, 0.790, 0.780, 0.845, 0.849, 0.818, 0.791, 0.296, 0.295, 0.284, 0.284, 0.285, 0.058, 0.049, 0.048, 0.048, 0.048
1501, 2.193, 2.188, 2.188, 2.190, 2.193, 0.741, 0.717, 0.783, 0.750, 0.758, 1.216, 1.224, 1.220, 1.217, 1.223, 1.277, 1.319, 1.189, 1.331, 1.262, 0.446, 0.483, 0.426, 0.426, 0.428, 0.086, 0.074, 0.073, 0.073, 0.073
2253, 3.453, 3.422, 3.445, 3.425, 3.429, 1.228, 1.062, 1.109, 1.133, 1.087, 1.915, 1.907, 1.919, 1.913, 1.918, 2.099, 2.042, 1.939, 1.997, 1.933, 0.665, 0.642, 0.642, 0.643, 0.644, 0.128, 0.116, 0.115, 0.114, 0.113
3383, 5.448, 5.412, 5.415, 5.414, 5.413, 1.776, 1.607, 1.740, 1.812, 1.807, 2.994, 3.022, 3.017, 3.017, 3.014, 3.122, 3.085, 3.200, 3.142, 3.246, 1.196, 0.958, 0.963, 0.964, 0.966, 0.206, 0.176, 0.178, 0.176, 0.176
