op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001
3, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.005, 0.004, 0.004, 0.005, 0.002, 0.001, 0.001, 0.002, 0.002
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.004, 0.003, 0.003, 0.004, 0.004, 0.004, 0.005, 0.004, 0.002, 0.003, 0.002, 0.002, 0.002, 0.005, 0.007, 0.006, 0.006, 0.006, 0.002, 0.002, 0.002, 0.001, 0.001
11, 0.005, 0.005, 0.005, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004, 0.003, 0.006, 0.006, 0.005, 0.006, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003, 0.010, 0.010, 0.010, 0.010, 0.010, 0.002, 0.002, 0.002, 0.002, 0.002
17, 0.009, 0.008, 0.009, 0.009, 0.008, 0.006, 0.006, 0.006, 0.006, 0.005, 0.008, 0.008, 0.008, 0.008, 0.008, 0.004, 0.004, 0.004, 0.004, 0.004, 0.017, 0.017, 0.017, 0.017, 0.017, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.013, 0.012, 0.011, 0.012, 0.012, 0.009, 0.010, 0.011, 0.011, 0.010, 0.012, 0.011, 0.012, 0.011, 0.012, 0.005, 0.005, 0.005, 0.005, 0.005, 0.025, 0.026, 0.025, 0.026, 0.025, 0.003, 0.002, 0.002, 0.002, 0.002
38, 0.018, 0.017, 0.017, 0.017, 0.018, 0.012, 0.014, 0.015, 0.019, 0.013, 0.017, 0.018, 0.018, 0.017, 0.018, 0.008, 0.007, 0.008, 0.007, 0.007, 0.043, 0.042, 0.043, 0.042, 0.043, 0.003, 0.003, 0.002, 0.002, 0.002
58, 0.027, 0.028, 0.027, 0.028, 0.029, 0.020, 0.019, 0.025, 0.028, 0.023, 0.028, 0.026, 0.027, 0.028, 0.027, 0.011, 0.012, 0.012, 0.011, 0.011, 0.067, 0.066, 0.067, 0.071, 0.067, 0.004, 0.003, 0.003, 0.003, 0.002
