op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.004, 0.003, 0.002, 0.003, 0.001, 0.001, 0.001, 0.001, 0.001
7, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.005, 0.005, 0.004, 0.004, 0.001, 0.001, 0.001, 0.002, 0.001
11, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.006, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.007, 0.008, 0.008, 0.006, 0.008, 0.002, 0.002, 0.002, 0.002, 0.002
17, 0.005, 0.005, 0.005, 0.009, 0.005, 0.004, 0.004, 0.004, 0.003, 0.003, 0.005, 0.005, 0.005, 0.006, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003, 0.011, 0.010, 0.043, 0.013, 0.012, 0.002, 0.002, 0.002, 0.002, 0.002
25, 0.008, 0.008, 0.008, 0.008, 0.008, 0.006, 0.006, 0.007, 0.005, 0.006, 0.008, 0.007, 0.008, 0.008, 0.007, 0.004, 0.004, 0.004, 0.004, 0.008, 0.020, 0.020, 0.020, 0.020, 0.020, 0.003, 0.002, 0.002, 0.002, 0.002
38, 0.011, 0.011, 0.011, 0.011, 0.017, 0.009, 0.009, 0.009, 0.010, 0.013, 0.011, 0.011, 0.011, 0.011, 0.011, 0.006, 0.006, 0.010, 0.006, 0.006, 0.033, 0.033, 0.032, 0.031, 0.033, 0.003, 0.003, 0.003, 0.003, 0.003
58, 0.017, 0.017, 0.021, 0.017, 0.017, 0.013, 0.016, 0.016, 0.016, 0.014, 0.018, 0.017, 0.017, 0.021, 0.017, 0.008, 0.009, 0.009, 0.013, 0.009, 0.053, 0.063, 0.057, 0.057, 0.055, 0.004, 0.004, 0.004, 0.004, 0.008
87, 0.026, 0.025, 0.025, 0.025, 0.025, 0.022, 0.030, 0.028, 0.023, 0.025, 0.030, 0.025, 0.025, 0.025, 0.026, 0.013, 0.013, 0.018, 0.013, 0.014, 0.101, 0.097, 0.099, 0.097, 0.101, 0.006, 0.006, 0.005, 0.006, 0.005
131, 0.039, 0.038, 0.038, 0.042, 0.038, 0.034, 0.039, 0.029, 0.037, 0.040, 0.043, 0.039, 0.038, 0.039, 0.038, 0.024, 0.021, 0.022, 0.021, 0.021, 0.167, 0.168, 0.198, 0.199, 0.177, 0.009, 0.008, 0.012, 0.008, 0.012
196, 0.058, 0.062, 0.058, 0.058, 0.062, 0.059, 0.055, 0.056, 0.053, 0.056, 0.059, 0.058, 0.065, 0.058, 0.059, 0.038, 0.034, 0.033, 0.033, 0.035, 0.275, 0.267, 0.277, 0.274, 0.258, 0.013, 0.012, 0.012, 0.015, 0.012
295, 0.090, 0.091, 0.091, 0.090, 0.090, 0.089, 0.111, 0.098, 0.093, 0.096, 0.095, 0.094, 0.095, 0.094, 0.095, 0.057, 0.057, 0.054, 0.054, 0.055, 0.449, 0.459, 0.494, 0.444, 0.462, 0.028, 0.022, 0.023, 0.022, 0.023
443, 0.145, 0.145, 0.145, 0.141, 0.147, 0.156, 0.164, 0.157, 0.148, 0.131, 0.141, 0.145, 0.145, 0.144, 0.144, 0.091, 0.090, 0.091, 0.094, 0.093, 0.720, 0.741, 0.763, 0.737, 0.729, 0.032, 0.033, 0.029, 0.033, 0.029
666, 0.220, 0.220, 0.220, 0.219, 0.219, 0.261, 0.264, 0.274, 0.275, 0.252, 0.222, 0.220, 0.220, 0.221, 0.278, 0.156, 0.155, 0.152, 0.165, 0.154, 1.181, 1.176, 1.191, 1.190, 1.197, 0.050, 0.050, 0.050, 0.049, 0.050
999, 0.342, 0.342, 0.341, 0.337, 0.340, 0.360, 0.489, 0.387, 0.441, 0.455, 0.346, 0.343, 0.346, 0.455, 0.458, 0.430, 0.430, 0.412, 0.406, 0.458, 2.574, 2.147, 1.973, 1.981, 1.971, 0.085, 0.085, 0.084, 0.082, 0.080
1501, 0.550, 0.545, 0.552, 0.580, 0.546, 0.645, 0.719, 0.758, 0.721, 0.685, 0.555, 0.582, 0.552, 0.552, 0.556, 0.481, 0.516, 0.500, 0.510, 0.494, 3.188, 3.215, 3.213, 3.251, 3.236, 0.135, 0.133, 0.135, 0.132, 0.135
2253, 0.854, 0.848, 0.854, 0.858, 0.871, 1.059, 0.998, 1.240, 1.252, 1.114, 0.860, 0.852, 0.852, 0.859, 0.852, 0.874, 0.916, 0.889, 0.902, 0.898, 5.130, 5.200, 5.193, 5.143, 5.151, 0.215, 0.217, 0.217, 0.215, 0.217
3383, 1.291, 1.302, 1.301, 1.311, 1.311, 1.732, 1.672, 1.679, 1.677, 1.956, 1.302, 1.300, 1.303, 1.312, 1.349, 1.530, 1.560, 1.581, 1.592, 1.597, 8.077, 8.115, 8.102, 7.974, 7.910, 0.336, 0.340, 0.341, 0.339, 0.338
5080, 2.080, 2.063, 2.027, 2.034, 2.030, 2.705, 2.968, 3.015, 3.006, 2.672, 2.038, 2.027, 2.034, 2.104, 2.135, 2.637, 2.873, 2.864, 2.768, 2.864, 13.209, 13.202, 13.280, 13.242, 12.897, 0.592, 0.564, 0.573, 0.565, 0.572
7626, 3.192, 3.201, 3.197, 3.195, 3.208, 5.294, 4.834, 5.268, 5.012, 4.330, 3.220, 3.190, 3.188, 3.214, 3.192, 4.249, 4.596, 4.596, 4.673, 4.767, 24.475, 20.969, 20.840, 20.902, 20.223, 0.989, 1.013, 1.050, 1.013, 1.023
11450, 5.212, 5.123, 5.204, 5.127, 5.007, 7.726, 7.886, 7.538, 7.871, 8.587, 5.107, 5.047, 5.036, 5.064, 5.093, 7.721, 8.385, 8.179, 8.330, 8.017, 32.579, 32.398, 32.288, 32.471, 32.595, 1.717, 1.790, 1.799, 1.808, 1.792
17190, 8.500, 8.083, 8.288, 9.938, 8.053, 11.461, 13.603, 13.417, 12.689, 14.160, 8.305, 8.210, 7.943, 7.981, 7.984, 13.367, 14.572, 14.287, 14.921, 15.452, 52.771, 51.547, 53.589, 53.993, 51.944, 3.001, 3.076, 3.083, 3.095, 3.066
25808, 13.787, 14.466, 13.292, 13.645, 13.376, 22.236, 20.997, 21.329, 23.401, 23.057, 13.348, 13.624, 13.473, 13.388, 15.612, 24.899, 27.316, 29.028, 28.479, 27.424, 85.425, 86.352, 85.728, 87.863, 89.733, 4.878, 5.362, 5.367, 5.482, 5.389
