op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.007, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.002, 0.002, 0.003, 0.002, 0.003, 0.002, 0.003, 0.003, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
5, 0.004, 0.003, 0.003, 0.004, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.004, 0.003, 0.004, 0.003, 0.003, 0.003, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.004, 0.004, 0.005, 0.004, 0.003, 0.005, 0.004, 0.004, 0.004, 0.005, 0.004, 0.005, 0.004, 0.003, 0.004, 0.006, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
11, 0.006, 0.005, 0.005, 0.005, 0.006, 0.007, 0.007, 0.011, 0.006, 0.008, 0.006, 0.006, 0.005, 0.005, 0.005, 0.007, 0.007, 0.007, 0.005, 0.006, 0.005, 0.007, 0.007, 0.006, 0.006, 0.002, 0.002, 0.002, 0.002, 0.002
17, 0.008, 0.008, 0.007, 0.007, 0.008, 0.008, 0.009, 0.011, 0.007, 0.009, 0.007, 0.007, 0.008, 0.007, 0.007, 0.008, 0.008, 0.008, 0.010, 0.007, 0.009, 0.009, 0.014, 0.009, 0.007, 0.003, 0.003, 0.002, 0.003, 0.002
25, 0.012, 0.012, 0.011, 0.011, 0.013, 0.011, 0.013, 0.014, 0.016, 0.014, 0.012, 0.011, 0.011, 0.011, 0.013, 0.015, 0.015, 0.011, 0.015, 0.018, 0.014, 0.018, 0.016, 0.015, 0.016, 0.003, 0.003, 0.003, 0.003, 0.003
38, 0.016, 0.017, 0.018, 0.018, 0.017, 0.019, 0.027, 0.018, 0.028, 0.024, 0.017, 0.017, 0.016, 0.020, 0.019, 0.022, 0.026, 0.020, 0.016, 0.022, 0.029, 0.028, 0.029, 0.025, 0.027, 0.005, 0.008, 0.004, 0.004, 0.004
58, 0.027, 0.028, 0.029, 0.027, 0.028, 0.039, 0.036, 0.033, 0.041, 0.044, 0.029, 0.026, 0.028, 0.025, 0.031, 0.036, 0.033, 0.036, 0.035, 0.030, 0.055, 0.049, 0.056, 0.053, 0.052, 0.006, 0.005, 0.005, 0.005, 0.009
87, 0.046, 0.046, 0.040, 0.044, 0.044, 0.056, 0.132, 0.062, 0.069, 0.061, 0.044, 0.046, 0.049, 0.044, 0.048, 0.044, 0.132, 0.058, 0.078, 0.075, 0.113, 0.193, 0.098, 0.097, 0.095, 0.009, 0.008, 0.008, 0.012, 0.008
131, 0.074, 0.072, 0.073, 0.082, 0.076, 0.103, 0.100, 0.109, 0.119, 0.085, 0.074, 0.072, 0.070, 0.081, 0.073, 0.096, 0.092, 0.091, 0.100, 0.099, 0.168, 0.165, 0.177, 0.171, 0.178, 0.013, 0.012, 0.016, 0.012, 0.011
196, 0.122, 0.119, 0.119, 0.117, 0.126, 0.160, 0.151, 0.178, 0.171, 0.143, 0.130, 0.122, 0.116, 0.121, 0.115, 0.164, 0.154, 0.173, 0.190, 0.129, 0.312, 0.296, 0.299, 0.308, 0.303, 0.019, 0.018, 0.022, 0.017, 0.018
295, 0.200, 0.193, 0.210, 0.194, 0.145, 0.122, 0.131, 0.134, 0.148, 0.124, 0.091, 0.081, 0.090, 0.086, 0.091, 0.146, 0.144, 0.137, 0.119, 0.134, 0.257, 0.234, 0.248, 0.253, 0.245, 0.027, 0.022, 0.026, 0.023, 0.026
443, 0.146, 0.143, 0.145, 0.145, 0.143, 0.239, 0.220, 0.221, 0.225, 0.226, 0.137, 0.139, 0.138, 0.143, 0.139, 0.222, 0.216, 0.297, 0.220, 0.323, 0.436, 0.432, 0.436, 0.444, 0.519, 0.046, 0.037, 0.121, 0.037, 0.037
666, 0.246, 0.236, 0.234, 0.238, 0.237, 0.355, 0.331, 0.366, 0.358, 0.335, 0.214, 0.223, 0.219, 0.223, 0.217, 0.338, 0.330, 0.358, 0.332, 0.486, 0.725, 0.745, 0.752, 0.748, 0.737, 0.061, 0.058, 0.057, 0.058, 0.058
