op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001
2, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
5, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
7, 0.004, 0.003, 0.003, 0.003, 0.003, 0.004, 0.005, 0.003, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
11, 0.005, 0.005, 0.005, 0.004, 0.004, 0.006, 0.006, 0.006, 0.005, 0.006, 0.005, 0.004, 0.005, 0.005, 0.005, 0.009, 0.006, 0.007, 0.006, 0.005, 0.007, 0.005, 0.005, 0.005, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003
17, 0.007, 0.006, 0.006, 0.007, 0.006, 0.011, 0.009, 0.008, 0.011, 0.008, 0.007, 0.006, 0.006, 0.006, 0.006, 0.009, 0.008, 0.009, 0.008, 0.008, 0.009, 0.007, 0.007, 0.008, 0.008, 0.004, 0.004, 0.004, 0.003, 0.004
25, 0.011, 0.009, 0.009, 0.010, 0.010, 0.015, 0.011, 0.012, 0.011, 0.013, 0.010, 0.009, 0.009, 0.010, 0.010, 0.011, 0.010, 0.011, 0.010, 0.012, 0.012, 0.013, 0.012, 0.013, 0.013, 0.005, 0.005, 0.005, 0.005, 0.005
38, 0.015, 0.015, 0.015, 0.014, 0.014, 0.022, 0.018, 0.017, 0.019, 0.018, 0.015, 0.014, 0.014, 0.013, 0.015, 0.022, 0.015, 0.020, 0.017, 0.021, 0.020, 0.019, 0.022, 0.022, 0.023, 0.008, 0.007, 0.007, 0.007, 0.007
58, 0.024, 0.024, 0.022, 0.022, 0.023, 0.028, 0.031, 0.032, 0.028, 0.033, 0.024, 0.023, 0.023, 0.022, 0.022, 0.033, 0.036, 0.035, 0.033, 0.033, 0.038, 0.034, 0.033, 0.040, 0.038, 0.012, 0.011, 0.011, 0.011, 0.011
87, 0.038, 0.037, 0.034, 0.035, 0.037, 0.051, 0.053, 0.053, 0.045, 0.053, 0.037, 0.034, 0.037, 0.036, 0.033, 0.056, 0.046, 0.048, 0.047, 0.046, 0.070, 0.062, 0.065, 0.065, 0.064, 0.018, 0.018, 0.018, 0.017, 0.018
131, 0.061, 0.057, 0.062, 0.058, 0.057, 0.089, 0.086, 0.086, 0.094, 0.091, 0.063, 0.058, 0.060, 0.059, 0.055, 0.091, 0.085, 0.075, 0.080, 0.082, 0.115, 0.114, 0.110, 0.118, 0.115, 0.031, 0.029, 0.028, 0.029, 0.029
196, 0.099, 0.099, 0.095, 0.096, 0.094, 0.134, 0.141, 0.144, 0.137, 0.132, 0.098, 0.095, 0.093, 0.094, 0.092, 0.122, 0.132, 0.122, 0.124, 0.125, 0.193, 0.198, 0.194, 0.196, 0.193, 0.048, 0.047, 0.046, 0.047, 0.048
295, 0.154, 0.159, 0.155, 0.155, 0.154, 0.231, 0.223, 0.242, 0.252, 0.223, 0.166, 0.150, 0.151, 0.157, 0.150, 0.221, 0.212, 0.228, 0.198, 0.235, 0.347, 0.335, 0.337, 0.347, 0.343, 0.080, 0.077, 0.079, 0.079, 0.077
443, 0.266, 0.272, 0.248, 0.250, 0.257, 0.395, 0.366, 0.353, 0.358, 0.380, 0.248, 0.252, 0.252, 0.256, 0.259, 0.348, 0.377, 0.382, 0.331, 0.358, 0.595, 0.571, 0.595, 0.576, 0.572, 0.131, 0.128, 0.125, 0.132, 0.129
666, 0.441, 0.426, 0.428, 0.432, 0.424, 0.616, 0.653, 0.696, 0.658, 0.632, 0.431, 0.425, 0.424, 0.424, 0.427, 0.622, 0.662, 0.644, 0.584, 0.596, 1.017, 1.017, 0.979, 1.004, 0.998, 0.214, 0.215, 0.217, 0.213, 0.212
999, 0.717, 0.705, 0.692, 0.715, 0.699, 1.002, 1.004, 1.059, 1.019, 1.055, 0.690, 0.704, 0.712, 0.691, 0.693, 1.047, 0.931, 1.030, 1.045, 1.006, 1.712, 1.698, 1.746, 1.709, 1.718, 0.369, 0.363, 0.356, 0.358, 0.351
1501, 1.186, 1.189, 1.172, 1.164, 1.176, 1.774, 1.713, 1.709, 1.744, 1.871, 1.192, 1.201, 1.197, 1.200, 1.175, 1.788, 1.724, 1.813, 1.702, 1.767, 2.982, 2.963, 2.993, 2.950, 2.920, 0.650, 0.638, 0.641, 0.630, 0.620
2253, 1.982, 2.001, 2.021, 1.988, 2.002, 2.876, 3.006, 2.946, 2.935, 3.151, 1.995, 1.952, 1.981, 1.956, 1.977, 2.921, 2.754, 2.993, 2.860, 3.088, 4.900, 5.100, 5.088, 5.096, 5.099, 1.117, 1.140, 1.110, 1.134, 1.101
3383, 3.389, 3.386, 3.438, 3.387, 3.395, 5.228, 4.996, 4.887, 5.178, 5.035, 3.302, 3.234, 3.250, 3.383, 3.337, 4.939, 5.033, 5.389, 5.241, 4.962, 8.409, 8.325, 8.445, 8.389, 8.326, 1.878, 1.928, 1.875, 1.872, 1.859
5080, 5.515, 5.520, 5.498, 5.537, 5.715, 9.125, 8.438, 8.663, 8.323, 8.824, 5.528, 5.558, 5.758, 5.669, 5.704, 8.444, 8.841, 8.682, 9.219, 13.205, 18.786, 14.382, 14.210, 14.376, 14.217, 3.258, 3.294, 3.296, 3.287, 3.259
7626, 9.226, 9.243, 9.313, 9.318, 9.200, 19.968, 14.088, 13.975, 14.031, 14.268, 9.007, 9.337, 9.075, 9.205, 9.158, 14.952, 14.005, 15.144, 14.669, 14.206, 23.480, 23.664, 23.383, 23.127, 23.182, 5.360, 5.354, 5.352, 5.383, 5.365
11450, 15.144, 15.199, 15.187, 15.213, 15.127, 23.072, 23.551, 22.899, 22.530, 23.538, 15.119, 15.084, 15.010, 14.844, 14.717, 23.983, 23.654, 24.049, 24.391, 25.147, 40.099, 40.788, 40.304, 46.582, 39.902, 9.510, 9.290, 9.498, 9.443, 9.188
17190, 26.124, 26.092, 25.966, 26.086, 26.002, 38.260, 39.863, 39.753, 40.768, 40.013, 25.762, 25.727, 25.611, 25.534, 25.444, 46.668, 42.915, 43.395, 43.323, 42.727, 67.096, 73.604, 66.904, 65.299, 65.681, 15.509, 15.831, 16.236, 15.747, 16.238
25808, 42.841, 42.540, 43.069, 42.826, 42.826, 65.851, 65.346, 64.652, 67.281, 65.620, 48.156, 42.292, 43.633, 44.810, 43.877, 76.828, 80.166, 75.067, 78.103, 76.483, 111.247, 109.636, 114.141, 103.072, 102.839, 27.349, 27.295, 26.921, 27.443, 28.250
38746, 72.096, 71.814, 72.332, 90.137, 68.258, 111.661, 109.784, 114.206, 117.584, 120.849, 71.047, 69.931, 71.305, 70.507, 70.397, 145.871, 123.212, 126.296, 128.985, 131.790, 180.797, 182.303, 180.628, 174.225, 187.213, 44.606, 44.498, 49.280, 45.897, 47.326
58170, 116.206, 118.548, 118.765, 118.989, 118.446, 185.147, 188.053, 191.860, 183.605, 194.626, 117.272, 117.464, 116.770, 116.742, 116.834, 213.494, 218.031, 221.307, 215.980, 226.393, 303.994, 299.417, 296.219, 289.643, 280.807, 81.413, 81.916, 80.888, 81.325, 84.466
87332, 218.207, 189.733, 193.532, 194.971, 186.110, 304.392, 328.372, 319.818, 314.980, 320.611, 200.508, 194.989, 197.043, 192.638, 196.605, 363.517, 354.823, 356.201, 367.127, 374.895, 472.779, 467.736, 469.805, 462.818, 441.886, 131.187, 150.652, 143.249, 135.185, 136.631
131113, 301.565, 301.954, 301.960, 320.060, 320.309, 504.205, 509.558, 530.024, 512.449, 513.315, 309.163, 307.072, 317.519, 343.295, 298.675, 573.750, 582.746, 588.834, 601.262, 629.136, 822.308, 798.725, 779.793, 768.750, 741.148, 231.929, 230.269, 235.456, 232.457, 218.589
196841, 599.772, 500.664, 508.337, 511.105, 523.097, 847.241, 893.112, 864.963, 822.233, 876.648, 513.884, 506.712, 508.693, 512.863, 508.680, 1108.356, 1098.369, 1081.802, 994.388, 1046.456, 1230.545, 1242.067, 1281.081, 1274.264, 1210.764, 402.076, 406.190, 413.090, 398.948, 403.753
295520, 1129.703, 951.623, 884.203, 880.525, 832.024, 1377.538, 1378.220, 1343.552, 1333.195, 1417.082, 842.143, 844.288, 847.459, 835.838, 839.940, 1676.742, 1649.486, 1691.503, 1786.440, 1836.797, 2083.204, 2041.072, 2003.087, 2009.153, 1931.871, 668.225, 629.756, 652.960, 637.547, 632.735
443668, 1741.736, 1372.663, 1381.458, 1392.425, 1406.454, 2352.209, 2331.166, 2330.662, 2353.730, 2395.804, 1464.295, 1452.972, 1448.850, 1454.770, 1421.197, 2907.909, 2751.153, 2775.500, 2812.630, 2877.061, 3321.669, 3268.029, 3261.114, 3298.679, 3228.024, 1080.534, 1065.911, 1083.944, 1068.802, 1066.854
666084, 2799.079, 2383.362, 2251.703, 2243.852, 2292.403, 3820.265, 3833.894, 3345.638, 3479.504, 3191.417, 1894.836, 1912.000, 1898.048, 1855.036, 1973.403, 3873.613, 3784.797, 3869.937, 3608.126, 3325.942, 3874.306, 3889.495, 3894.295, 3885.851, 3865.371, 1333.886, 1337.804, 1334.260, 1367.033, 1446.221
1000000, 3419.504, 2834.065, 2972.076, 2971.675, 2933.297, 4844.938, 4730.424, 4634.817, 4484.832, 4621.942, 2781.836, 2798.685, 2813.016, 2755.768, 2736.698, 5956.036, 5715.840, 5721.744, 5782.338, 5649.706, 6357.003, 6427.533, 6402.534, 6380.945, 6382.392, 2242.749, 2395.721, 2224.971, 2230.925, 2307.098
