op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
2, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
3, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
5, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
7, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
11, 0.015, 0.010, 0.010, 0.007, 0.008, 0.005, 0.006, 0.005, 0.005, 0.004, 0.010, 0.006, 0.007, 0.008, 0.007, 0.013, 0.005, 0.007, 0.006, 0.006, 0.008, 0.008, 0.006, 0.005, 0.007, 0.004, 0.003, 0.003, 0.003, 0.003
17, 0.007, 0.007, 0.008, 0.007, 0.008, 0.005, 0.004, 0.004, 0.004, 0.005, 0.007, 0.007, 0.006, 0.008, 0.007, 0.006, 0.006, 0.006, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003
25, 0.017, 0.020, 0.014, 0.015, 0.015, 0.009, 0.010, 0.009, 0.007, 0.007, 0.014, 0.012, 0.013, 0.014, 0.013, 0.011, 0.009, 0.013, 0.014, 0.008, 0.014, 0.014, 0.013, 0.011, 0.011, 0.004, 0.004, 0.004, 0.004, 0.003
38, 0.028, 0.024, 0.019, 0.017, 0.024, 0.015, 0.013, 0.015, 0.013, 0.015, 0.020, 0.019, 0.018, 0.016, 0.018, 0.013, 0.017, 0.019, 0.021, 0.013, 0.022, 0.021, 0.023, 0.022, 0.024, 0.006, 0.005, 0.005, 0.005, 0.005
58, 0.041, 0.037, 0.040, 0.034, 0.035, 0.025, 0.026, 0.030, 0.022, 0.026, 0.036, 0.031, 0.028, 0.030, 0.033, 0.032, 0.028, 0.031, 0.030, 0.026, 0.056, 0.043, 0.042, 0.042, 0.042, 0.008, 0.008, 0.007, 0.007, 0.007
87, 0.065, 0.079, 0.062, 0.072, 0.065, 0.039, 0.039, 0.052, 0.042, 0.047, 0.047, 0.048, 0.045, 0.044, 0.054, 0.056, 0.062, 0.051, 0.052, 0.058, 0.086, 0.085, 0.085, 0.088, 0.079, 0.016, 0.012, 0.011, 0.012, 0.010
131, 0.123, 0.129, 0.104, 0.118, 0.125, 0.067, 0.071, 0.064, 0.082, 0.073, 0.085, 0.084, 0.084, 0.084, 0.083, 0.085, 0.090, 0.083, 0.095, 0.084, 0.172, 0.169, 0.159, 0.161, 0.169, 0.024, 0.017, 0.017, 0.018, 0.017
196, 0.185, 0.186, 0.186, 0.193, 0.190, 0.119, 0.112, 0.121, 0.115, 0.112, 0.133, 0.126, 0.128, 0.125, 0.126, 0.116, 0.144, 0.136, 0.121, 0.133, 0.282, 0.271, 0.282, 0.286, 0.272, 0.028, 0.032, 0.026, 0.027, 0.025
295, 0.317, 0.287, 0.307, 0.308, 0.321, 0.181, 0.197, 0.186, 0.189, 0.183, 0.213, 0.205, 0.203, 0.206, 0.220, 0.208, 0.213, 0.198, 0.199, 0.242, 0.481, 0.497, 0.508, 0.510, 0.504, 0.048, 0.040, 0.043, 0.039, 0.039
443, 0.468, 0.491, 0.498, 0.486, 0.510, 0.282, 0.291, 0.333, 0.328, 0.283, 0.272, 0.200, 0.198, 0.196, 0.209, 0.237, 0.226, 0.206, 0.227, 0.234, 0.548, 0.570, 0.560, 0.550, 0.519, 0.061, 0.050, 0.053, 0.052, 0.051
666, 0.501, 0.479, 0.509, 0.500, 0.490, 0.333, 0.338, 0.319, 0.330, 0.336, 0.333, 0.309, 0.311, 0.333, 0.313, 0.369, 0.372, 0.321, 0.353, 0.352, 0.882, 0.915, 0.887, 0.919, 0.919, 0.093, 0.092, 0.092, 0.092, 0.084
999, 0.818, 0.787, 0.790, 0.806, 0.788, 0.517, 0.516, 0.540, 0.517, 0.487, 0.497, 0.495, 0.501, 0.499, 0.498, 0.546, 0.543, 0.557, 0.535, 0.543, 1.545, 1.536, 1.569, 1.515, 1.535, 0.132, 0.120, 0.121, 0.117, 0.120
1501, 1.272, 1.305, 1.297, 1.268, 1.251, 0.815, 0.870, 0.862, 0.808, 0.854, 0.771, 0.783, 0.798, 0.785, 0.774, 0.882, 0.856, 0.910, 0.878, 0.870, 2.580, 2.639, 2.623, 2.548, 2.586, 0.197, 0.194, 0.186, 0.188, 0.181
2253, 2.060, 2.030, 2.042, 2.030, 2.049, 1.417, 1.362, 1.256, 1.350, 1.288, 1.242, 1.215, 1.237, 1.348, 1.199, 1.305, 1.303, 1.422, 1.521, 1.476, 4.212, 4.226, 4.269, 4.302, 4.233, 0.299, 0.317, 0.288, 0.287, 0.288
3383, 3.235, 3.182, 3.153, 3.263, 3.187, 2.228, 2.202, 2.035, 2.124, 2.071, 1.970, 1.972, 1.943, 1.916, 1.929, 2.202, 2.189, 2.436, 2.311, 2.289, 6.964, 6.885, 6.928, 6.911, 6.884, 0.463, 0.449, 0.450, 0.451, 0.450
5080, 5.052, 5.065, 4.976, 5.035, 5.107, 3.423, 3.472, 3.452, 3.486, 3.385, 3.019, 3.076, 3.036, 2.974, 3.047, 3.760, 3.648, 3.715, 3.850, 3.754, 11.419, 11.442, 11.464, 11.409, 11.465, 0.735, 0.737, 0.738, 0.726, 0.728
7626, 8.238, 8.212, 8.067, 8.097, 8.065, 5.795, 5.726, 5.240, 5.418, 5.484, 4.815, 4.805, 4.726, 4.799, 4.915, 5.891, 6.137, 6.148, 5.895, 5.974, 18.453, 18.468, 18.461, 18.438, 18.329, 1.140, 1.109, 1.110, 1.102, 1.111
11450, 12.843, 13.064, 12.837, 12.766, 12.947, 8.839, 9.505, 9.748, 8.976, 8.852, 7.596, 7.448, 7.552, 7.572, 7.464, 9.966, 9.501, 9.673, 15.563, 12.887, 30.115, 30.140, 30.237, 30.035, 30.261, 1.824, 1.859, 1.842, 1.849, 1.834
17190, 25.011, 31.779, 21.635, 20.632, 20.590, 14.089, 14.655, 13.830, 14.480, 14.631, 11.900, 11.909, 11.525, 11.732, 11.333, 16.016, 15.974, 16.502, 16.453, 16.425, 49.153, 49.521, 49.249, 49.122, 48.893, 3.048, 2.991, 3.011, 3.014, 2.992
