op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001
2, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002, 0.002, 0.002, 0.004, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.002
3, 0.003, 0.022, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001
5, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002, 0.003, 0.003, 0.002, 0.002, 0.003, 0.001, 0.002, 0.001, 0.001, 0.001
7, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.004, 0.004, 0.006, 0.004, 0.002, 0.003, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.002, 0.002, 0.002, 0.001, 0.001
11, 0.007, 0.006, 0.006, 0.006, 0.006, 0.003, 0.002, 0.002, 0.003, 0.002, 0.006, 0.005, 0.005, 0.007, 0.007, 0.005, 0.004, 0.004, 0.004, 0.003, 0.008, 0.007, 0.005, 0.005, 0.005, 0.002, 0.002, 0.002, 0.002, 0.002
17, 0.010, 0.010, 0.009, 0.012, 0.016, 0.007, 0.007, 0.005, 0.005, 0.006, 0.015, 0.012, 0.014, 0.013, 0.012, 0.010, 0.008, 0.010, 0.010, 0.009, 0.014, 0.013, 0.013, 0.013, 0.012, 0.004, 0.003, 0.004, 0.004, 0.004
25, 0.022, 0.023, 0.024, 0.022, 0.023, 0.009, 0.008, 0.008, 0.007, 0.008, 0.020, 0.020, 0.018, 0.019, 0.017, 0.014, 0.013, 0.014, 0.014, 0.014, 0.023, 0.022, 0.025, 0.021, 0.021, 0.004, 0.005, 0.005, 0.004, 0.005
38, 0.036, 0.036, 0.038, 0.036, 0.037, 0.012, 0.012, 0.012, 0.013, 0.013, 0.029, 0.030, 0.029, 0.028, 0.027, 0.018, 0.022, 0.022, 0.022, 0.016, 0.038, 0.046, 0.037, 0.041, 0.049, 0.008, 0.007, 0.005, 0.007, 0.005
58, 0.060, 0.060, 0.061, 0.059, 0.058, 0.019, 0.019, 0.018, 0.018, 0.017, 0.044, 0.043, 0.041, 0.043, 0.045, 0.032, 0.026, 0.024, 0.034, 0.032, 0.071, 0.074, 0.080, 0.073, 0.069, 0.010, 0.010, 0.008, 0.010, 0.009
87, 0.096, 0.094, 0.095, 0.096, 0.094, 0.034, 0.031, 0.029, 0.029, 0.027, 0.067, 0.067, 0.066, 0.068, 0.065, 0.046, 0.043, 0.049, 0.049, 0.054, 0.152, 0.141, 0.174, 0.144, 0.157, 0.016, 0.014, 0.014, 0.012, 0.010
131, 0.152, 0.155, 0.153, 0.153, 0.152, 0.044, 0.051, 0.045, 0.044, 0.045, 0.105, 0.106, 0.100, 0.099, 0.102, 0.074, 0.073, 0.073, 0.065, 0.066, 0.234, 0.260, 0.229, 0.324, 0.229, 0.019, 0.017, 0.019, 0.016, 0.017
196, 0.235, 0.235, 0.232, 0.236, 0.230, 0.075, 0.075, 0.070, 0.072, 0.065, 0.155, 0.154, 0.151, 0.150, 0.146, 0.109, 0.103, 0.090, 0.096, 0.102, 0.437, 0.447, 0.385, 0.399, 0.376, 0.020, 0.019, 0.018, 0.018, 0.018
295, 0.309, 0.337, 0.292, 0.265, 0.267, 0.074, 0.079, 0.077, 0.078, 0.081, 0.158, 0.161, 0.166, 0.158, 0.158, 0.104, 0.096, 0.099, 0.095, 0.098, 0.589, 0.547, 0.559, 0.566, 0.544, 0.028, 0.026, 0.026, 0.025, 0.025
443, 0.423, 0.436, 0.425, 0.485, 0.448, 0.153, 0.128, 0.127, 0.135, 0.127, 0.248, 0.241, 0.242, 0.243, 0.242, 0.156, 0.161, 0.161, 0.156, 0.149, 0.885, 1.026, 1.039, 0.934, 0.908, 0.042, 0.040, 0.039, 0.039, 0.039
666, 0.678, 0.667, 0.671, 0.664, 0.669, 0.194, 0.224, 0.205, 0.212, 0.207, 0.376, 0.378, 0.372, 0.381, 0.375, 0.251, 0.246, 0.241, 0.246, 0.259, 1.513, 1.797, 1.994, 1.552, 1.412, 0.063, 0.060, 0.059, 0.059, 0.059
999, 1.071, 1.057, 1.071, 1.068, 1.056, 0.364, 0.344, 0.336, 0.324, 0.377, 0.573, 0.576, 0.574, 0.595, 0.581, 0.391, 0.386, 0.388, 0.378, 0.381, 2.444, 2.634, 2.858, 3.104, 2.907, 0.097, 0.093, 0.093, 0.093, 0.092
1501, 1.679, 1.688, 1.680, 1.685, 1.691, 0.561, 0.510, 0.571, 0.547, 0.568, 0.906, 0.891, 0.890, 0.897, 0.891, 0.613, 0.617, 0.618, 0.613, 0.631, 5.728, 4.525, 5.008, 4.567, 5.154, 0.152, 0.148, 0.147, 0.147, 0.147
2253, 2.694, 2.655, 2.645, 2.696, 2.672, 0.836, 0.907, 0.971, 0.904, 0.887, 1.401, 1.436, 1.406, 1.411, 1.425, 1.029, 1.000, 1.010, 1.000, 1.020, 7.373, 8.668, 7.372, 7.644, 7.950, 0.235, 0.234, 0.236, 0.234, 0.232
3383, 4.382, 4.312, 4.259, 4.312, 4.302, 1.391, 1.441, 1.513, 1.330, 1.402, 2.151, 2.149, 2.184, 2.137, 3.846, 2.417, 1.660, 1.655, 1.666, 1.608, 13.102, 13.690, 13.102, 12.760, 13.298, 0.380, 0.378, 0.392, 0.388, 0.380
5080, 6.742, 6.900, 6.670, 6.658, 6.759, 2.170, 2.216, 2.401, 2.449, 2.228, 3.434, 3.373, 3.352, 3.407, 3.318, 2.680, 2.810, 2.714, 2.637, 2.715, 20.514, 21.322, 21.588, 20.032, 19.749, 0.652, 0.631, 0.637, 0.634, 0.636
7626, 11.443, 10.875, 10.706, 10.697, 10.566, 3.771, 4.034, 3.714, 4.022, 3.780, 5.368, 5.341, 5.308, 5.153, 5.250, 4.365, 4.440, 4.197, 4.356, 4.420, 33.575, 30.624, 33.283, 34.570, 35.862, 1.014, 1.028, 1.062, 1.045, 1.077
11450, 18.671, 18.803, 17.235, 17.547, 17.638, 6.390, 6.399, 6.974, 6.947, 6.821, 8.429, 8.416, 8.379, 8.528, 8.321, 7.535, 7.487, 7.371, 7.545, 7.708, 54.358, 52.499, 57.677, 54.525, 54.575, 1.732, 1.735, 1.723, 1.721, 1.762
17190, 28.739, 30.421, 29.306, 27.773, 28.647, 10.803, 11.362, 11.238, 11.866, 10.928, 13.270, 13.860, 13.603, 17.440, 13.403, 13.714, 13.758, 13.187, 14.324, 17.307, 87.036, 94.624, 87.255, 88.590, 107.333, 2.912, 2.906, 2.838, 2.878, 2.881
25808, 50.687, 48.171, 48.863, 46.007, 46.262, 19.624, 19.183, 19.571, 18.172, 19.762, 21.631, 21.301, 22.378, 22.584, 22.596, 25.254, 24.636, 24.911, 23.722, 24.732, 143.158, 140.960, 140.498, 141.928, 142.598, 4.784, 4.918, 4.972, 5.275, 5.288
38746, 75.742, 75.019, 80.084, 90.834, 75.974, 42.104, 31.704, 31.006, 30.848, 29.217, 33.866, 34.284, 34.906, 34.733, 35.377, 43.874, 44.115, 51.251, 43.216, 44.987, 231.713, 223.627, 227.652, 256.469, 224.968, 9.097, 9.996, 8.436, 8.425, 8.181
58170, 119.650, 121.632, 127.470, 129.506, 128.683, 55.930, 53.075, 52.155, 50.851, 52.304, 58.602, 56.206, 60.962, 58.128, 59.244, 72.549, 76.570, 74.592, 78.440, 74.428, 358.924, 358.953, 364.521, 364.668, 387.404, 17.566, 19.219, 21.009, 17.675, 18.951
87332, 194.145, 199.794, 204.719, 201.072, 213.891, 101.589, 101.131, 97.956, 112.331, 88.218, 94.820, 98.093, 108.571, 97.039, 95.702, 134.074, 127.281, 129.868, 133.591, 138.129, 572.075, 588.966, 608.788, 586.295, 613.367, 30.783, 32.821, 34.319, 30.935, 27.868
131113, 320.219, 310.211, 368.318, 322.018, 308.504, 186.913, 177.424, 170.044, 159.783, 159.334, 153.029, 159.906, 153.653, 168.858, 161.107, 225.076, 220.136, 226.611, 229.262, 228.695, 954.977, 931.611, 934.272, 941.863, 946.980, 73.550, 64.112, 62.844, 51.575, 61.600
196841, 578.379, 520.949, 532.820, 576.135, 505.826, 373.006, 285.083, 283.901, 256.072, 274.334, 248.154, 256.946, 253.073, 251.241, 249.725, 417.083, 355.092, 391.567, 398.390, 391.640, 1505.295, 1485.731, 1487.340, 1485.890, 1487.187, 125.011, 107.160, 123.855, 129.396, 123.614
295520, 840.355, 844.916, 817.429, 823.146, 824.835, 477.853, 455.721, 477.012, 457.751, 406.043, 398.238, 421.564, 405.797, 409.984, 428.107, 607.857, 642.990, 648.102, 629.487, 643.460, 2352.122, 2416.677, 2391.976, 2415.639, 2391.536, 219.027, 190.010, 214.409, 226.045, 221.813
