op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.002
2, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.004, 0.003, 0.003, 0.003, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.004, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.004, 0.004, 0.004, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
5, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.005, 0.004, 0.004, 0.005, 0.004, 0.007, 0.006, 0.005, 0.005, 0.006, 0.006, 0.005, 0.004, 0.005, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003
7, 0.009, 0.024, 0.008, 0.011, 0.010, 0.013, 0.006, 0.006, 0.006, 0.005, 0.006, 0.006, 0.006, 0.006, 0.005, 0.008, 0.010, 0.007, 0.007, 0.006, 0.008, 0.008, 0.007, 0.007, 0.007, 0.004, 0.004, 0.004, 0.004, 0.004
11, 0.012, 0.013, 0.012, 0.012, 0.012, 0.009, 0.008, 0.008, 0.009, 0.010, 0.009, 0.009, 0.009, 0.009, 0.009, 0.013, 0.014, 0.015, 0.011, 0.016, 0.012, 0.012, 0.011, 0.011, 0.011, 0.006, 0.006, 0.006, 0.005, 0.005
17, 0.021, 0.020, 0.020, 0.019, 0.022, 0.014, 0.015, 0.014, 0.014, 0.014, 0.015, 0.014, 0.014, 0.014, 0.014, 0.017, 0.021, 0.024, 0.018, 0.018, 0.022, 0.022, 0.023, 0.023, 0.020, 0.009, 0.009, 0.008, 0.009, 0.008
25, 0.035, 0.033, 0.033, 0.034, 0.036, 0.026, 0.023, 0.026, 0.021, 0.026, 0.024, 0.022, 0.023, 0.023, 0.021, 0.032, 0.040, 0.033, 0.030, 0.030, 0.032, 0.032, 0.035, 0.034, 0.033, 0.013, 0.012, 0.012, 0.012, 0.012
38, 0.056, 0.058, 0.055, 0.057, 0.059, 0.043, 0.043, 0.043, 0.038, 0.039, 0.035, 0.034, 0.036, 0.035, 0.035, 0.049, 0.057, 0.051, 0.051, 0.052, 0.058, 0.057, 0.058, 0.067, 0.060, 0.019, 0.020, 0.020, 0.019, 0.020
58, 0.095, 0.097, 0.092, 0.092, 0.101, 0.122, 0.043, 0.043, 0.040, 0.039, 0.037, 0.036, 0.036, 0.037, 0.036, 0.054, 0.062, 0.055, 0.058, 0.076, 0.062, 0.067, 0.065, 0.065, 0.093, 0.026, 0.025, 0.020, 0.019, 0.020
87, 0.090, 0.090, 0.085, 0.088, 0.090, 0.061, 0.066, 0.067, 0.062, 0.061, 0.058, 0.058, 0.057, 0.058, 0.057, 0.081, 0.087, 0.078, 0.083, 0.076, 0.102, 0.103, 0.107, 0.102, 0.101, 0.031, 0.031, 0.032, 0.030, 0.032
131, 0.142, 0.139, 0.140, 0.137, 0.139, 0.105, 0.104, 0.100, 0.102, 0.099, 0.089, 0.092, 0.111, 0.090, 0.089, 0.125, 0.129, 0.124, 0.127, 0.131, 0.170, 0.175, 0.170, 0.166, 0.173, 0.050, 0.049, 0.049, 0.049, 0.048
196, 0.234, 0.252, 0.223, 0.229, 0.228, 0.157, 0.163, 0.161, 0.170, 0.165, 0.161, 0.205, 0.147, 0.146, 0.141, 0.215, 0.207, 0.203, 0.207, 0.195, 0.292, 0.282, 0.284, 0.285, 0.278, 0.078, 0.078, 0.077, 0.077, 0.078
295, 0.383, 0.366, 0.368, 0.362, 0.360, 0.272, 0.256, 0.260, 0.269, 0.280, 0.228, 0.255, 0.224, 0.228, 0.229, 0.343, 0.330, 0.324, 0.331, 0.333, 0.463, 0.474, 0.465, 0.473, 0.475, 0.130, 0.127, 0.128, 0.130, 0.127
443, 0.596, 0.587, 0.596, 0.594, 0.584, 0.447, 0.421, 0.457, 0.431, 0.426, 0.361, 0.369, 0.364, 0.370, 0.357, 0.536, 0.534, 0.537, 0.530, 0.517, 0.766, 0.773, 0.758, 0.764, 0.762, 0.206, 0.205, 0.205, 0.203, 0.207
666, 0.942, 0.950, 0.951, 0.971, 0.935, 0.726, 0.715, 0.731, 0.699, 0.701, 0.564, 0.576, 0.575, 0.578, 0.566, 0.805, 0.826, 0.819, 0.826, 0.853, 1.262, 1.268, 1.266, 1.261, 1.259, 0.331, 0.327, 0.336, 0.335, 0.336
999, 1.529, 1.497, 1.512, 1.529, 1.506, 1.153, 1.137, 1.170, 1.125, 1.130, 0.901, 0.901, 0.907, 0.892, 0.909, 1.354, 1.338, 1.357, 1.373, 1.349, 2.033, 2.029, 2.051, 2.049, 2.034, 0.538, 0.534, 0.533, 0.526, 0.531
1501, 2.472, 2.393, 2.413, 2.407, 2.426, 1.827, 1.875, 1.868, 1.908, 1.843, 1.440, 1.437, 1.446, 1.471, 1.445, 2.272, 2.184, 2.223, 2.147, 2.377, 3.369, 3.341, 3.340, 3.406, 3.344, 0.870, 0.861, 0.863, 0.880, 0.874
2253, 3.990, 3.851, 3.917, 3.912, 3.952, 3.117, 3.161, 3.187, 2.965, 3.012, 2.355, 2.390, 2.376, 2.371, 2.363, 3.623, 3.592, 3.638, 3.807, 3.794, 5.446, 5.467, 5.519, 5.484, 5.466, 1.520, 1.467, 1.414, 1.417, 1.434
3383, 6.490, 6.458, 6.488, 6.360, 6.388, 5.142, 4.983, 5.192, 5.325, 5.193, 3.953, 3.943, 3.947, 3.883, 3.928, 5.789, 6.013, 5.979, 5.828, 6.049, 8.829, 8.872, 8.931, 9.087, 9.029, 2.442, 2.416, 2.444, 2.437, 2.467
5080, 12.968, 10.770, 10.443, 10.490, 14.868, 13.895, 8.791, 8.569, 8.450, 8.782, 6.661, 6.555, 6.835, 6.540, 6.361, 10.860, 10.445, 10.468, 9.924, 9.781, 14.613, 14.914, 14.880, 15.013, 15.042, 4.354, 4.255, 4.287, 4.202, 4.239
7626, 22.292, 17.348, 17.380, 17.235, 17.655, 14.659, 14.865, 14.048, 14.417, 14.651, 11.070, 11.072, 11.122, 10.664, 10.639, 17.675, 17.400, 16.960, 17.076, 17.502, 24.623, 24.501, 24.778, 24.621, 24.945, 7.301, 7.537, 7.528, 7.306, 7.411
11450, 36.643, 28.566, 29.187, 28.873, 29.243, 24.819, 24.315, 23.837, 26.030, 25.878, 18.585, 18.408, 17.968, 17.761, 17.938, 30.194, 29.173, 30.396, 29.502, 29.626, 40.477, 40.241, 40.981, 41.334, 41.626, 12.436, 12.784, 13.166, 12.127, 13.276
17190, 60.304, 48.675, 49.262, 48.212, 47.027, 42.295, 42.203, 43.546, 43.123, 45.281, 34.428, 32.626, 30.112, 29.677, 29.767, 52.105, 50.148, 50.426, 50.902, 50.644, 65.459, 84.351, 68.367, 68.381, 68.323, 22.714, 21.291, 22.647, 22.382, 21.835
25808, 99.015, 80.197, 79.287, 75.935, 76.693, 71.337, 73.431, 74.430, 74.450, 73.936, 49.304, 50.139, 48.838, 49.583, 49.158, 88.805, 85.516, 82.829, 87.468, 86.988, 109.433, 109.377, 112.359, 113.066, 111.260, 37.819, 41.915, 36.517, 52.841, 51.231
38746, 199.647, 126.766, 125.376, 126.175, 126.569, 125.096, 129.098, 133.323, 125.328, 117.515, 83.119, 79.757, 83.133, 81.493, 81.723, 156.978, 143.642, 155.559, 146.729, 148.970, 178.145, 180.613, 183.438, 188.277, 190.505, 63.832, 72.563, 72.005, 66.573, 61.705
58170, 307.149, 216.130, 254.148, 206.523, 218.186, 210.033, 228.953, 209.069, 194.774, 188.979, 133.620, 134.484, 133.409, 132.587, 136.800, 256.567, 252.269, 266.470, 247.361, 294.608, 294.821, 291.043, 310.429, 303.987, 311.479, 111.251, 105.457, 106.941, 105.499, 107.597
87332, 492.451, 340.685, 347.323, 370.013, 349.398, 365.419, 360.938, 367.742, 317.541, 314.644, 276.679, 231.231, 281.134, 232.684, 219.990, 481.341, 414.272, 411.558, 447.915, 419.856, 481.869, 498.005, 513.756, 516.922, 505.566, 175.446, 185.105, 183.074, 176.050, 178.071
131113, 796.765, 553.545, 569.164, 631.487, 612.629, 579.472, 598.829, 523.981, 517.981, 519.101, 361.087, 341.581, 362.906, 385.270, 365.764, 748.453, 706.142, 698.826, 709.144, 734.491, 802.269, 812.051, 827.251, 781.289, 776.996, 289.011, 286.201, 291.418, 303.199, 292.807
