op_count, AVL_tree_split_0, AVL_tree_split_1, AVL_tree_split_2, AVL_tree_split_3, AVL_tree_split_4, Cartesian_tree_split_0, Cartesian_tree_split_1, Cartesian_tree_split_2, Cartesian_tree_split_3, Cartesian_tree_split_4, Red-Black_tree_split_0, Red-Black_tree_split_1, Red-Black_tree_split_2, Red-Black_tree_split_3, Red-Black_tree_split_4, Skip_list_split_0, Skip_list_split_1, Skip_list_split_2, Skip_list_split_3, Skip_list_split_4, Splay_tree_split_0, Splay_tree_split_1, Splay_tree_split_2, Splay_tree_split_3, Splay_tree_split_4, Stdlib_set_split_0, Stdlib_set_split_1, Stdlib_set_split_2, Stdlib_set_split_3, Stdlib_set_split_4
1, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001
2, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002
3, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.002
5, 0.005, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.003, 0.004, 0.005, 0.005, 0.005, 0.004, 0.004, 0.003, 0.004, 0.003, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.002, 0.002, 0.002, 0.002, 0.002
7, 0.006, 0.006, 0.006, 0.006, 0.006, 0.004, 0.004, 0.003, 0.003, 0.003, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.005, 0.005, 0.005, 0.004, 0.007, 0.005, 0.005, 0.006, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003
11, 0.009, 0.009, 0.009, 0.009, 0.009, 0.005, 0.005, 0.005, 0.006, 0.005, 0.010, 0.009, 0.008, 0.009, 0.008, 0.009, 0.007, 0.008, 0.007, 0.007, 0.009, 0.011, 0.009, 0.008, 0.009, 0.004, 0.004, 0.004, 0.004, 0.004
17, 0.015, 0.015, 0.015, 0.014, 0.015, 0.008, 0.008, 0.008, 0.008, 0.008, 0.013, 0.012, 0.012, 0.013, 0.012, 0.011, 0.009, 0.011, 0.020, 0.015, 0.017, 0.021, 0.022, 0.015, 0.013, 0.006, 0.007, 0.006, 0.005, 0.005
25, 0.023, 0.023, 0.022, 0.024, 0.022, 0.012, 0.011, 0.011, 0.012, 0.011, 0.018, 0.020, 0.018, 0.018, 0.018, 0.018, 0.015, 0.017, 0.016, 0.016, 0.026, 0.025, 0.028, 0.025, 0.026, 0.009, 0.009, 0.008, 0.008, 0.008
38, 0.037, 0.037, 0.037, 0.037, 0.036, 0.019, 0.019, 0.019, 0.019, 0.018, 0.031, 0.029, 0.028, 0.028, 0.030, 0.024, 0.024, 0.023, 0.023, 0.027, 0.040, 0.039, 0.044, 0.040, 0.047, 0.013, 0.012, 0.012, 0.012, 0.012
58, 0.060, 0.061, 0.058, 0.061, 0.061, 0.034, 0.029, 0.030, 0.030, 0.030, 0.048, 0.048, 0.048, 0.045, 0.046, 0.035, 0.040, 0.037, 0.040, 0.040, 0.097, 0.075, 0.079, 0.086, 0.076, 0.020, 0.020, 0.019, 0.020, 0.020
87, 0.100, 0.097, 0.096, 0.097, 0.097, 0.049, 0.049, 0.050, 0.047, 0.050, 0.075, 0.128, 0.104, 0.070, 0.072, 0.056, 0.068, 0.069, 0.063, 0.060, 0.137, 0.167, 0.135, 0.203, 0.202, 0.035, 0.032, 0.032, 0.032, 0.032
131, 0.167, 0.164, 0.161, 0.160, 0.160, 0.081, 0.084, 0.084, 0.084, 0.081, 0.118, 0.118, 0.118, 0.116, 0.120, 0.095, 0.100, 0.107, 0.095, 0.102, 0.262, 0.252, 0.257, 0.317, 0.280, 0.054, 0.053, 0.052, 0.052, 0.077
196, 0.283, 0.275, 0.265, 0.263, 0.258, 0.137, 0.136, 0.143, 0.130, 0.135, 0.188, 0.184, 0.187, 0.188, 0.185, 0.169, 0.170, 0.175, 0.190, 0.155, 0.483, 0.494, 0.576, 0.550, 0.601, 0.089, 0.087, 0.086, 0.085, 0.084
295, 0.429, 0.424, 0.422, 0.424, 0.420, 0.239, 0.230, 0.228, 0.220, 0.234, 0.291, 0.291, 0.294, 0.298, 0.287, 0.303, 0.271, 0.277, 0.270, 0.272, 0.842, 0.868, 0.837, 0.863, 0.961, 0.144, 0.141, 0.143, 0.139, 0.141
443, 0.722, 0.695, 0.691, 0.688, 0.688, 0.371, 0.360, 0.377, 0.366, 0.401, 0.472, 0.465, 0.493, 0.465, 0.458, 0.453, 0.430, 0.482, 0.461, 0.440, 1.450, 1.509, 1.529, 1.438, 1.712, 0.245, 0.236, 0.238, 0.237, 0.232
666, 1.129, 1.152, 1.131, 1.131, 1.124, 0.643, 0.641, 0.629, 0.646, 0.613, 0.759, 0.754, 0.762, 0.754, 0.757, 0.748, 0.806, 0.736, 0.777, 0.728, 2.639, 2.345, 2.901, 2.497, 2.447, 0.393, 0.387, 0.390, 0.392, 0.384
999, 1.872, 1.854, 1.906, 1.858, 1.866, 1.126, 1.115, 1.091, 1.103, 1.105, 1.236, 1.241, 1.232, 1.249, 1.254, 1.283, 1.244, 1.358, 1.274, 1.261, 4.079, 4.340, 4.315, 4.155, 4.525, 0.703, 0.668, 0.673, 0.674, 0.665
1501, 3.078, 3.079, 3.056, 3.071, 3.123, 1.871, 1.846, 1.861, 1.818, 1.921, 2.050, 2.094, 2.085, 2.079, 2.074, 2.226, 2.247, 2.381, 2.150, 2.086, 7.197, 7.307, 7.551, 6.960, 7.558, 1.207, 1.180, 1.172, 1.200, 1.220
